record_id,marital-status,native-country,occupation,relationship,sex,age,capital-loss,education,hours-per-week,workclass
10311,Never-married,United-States,Other-service,Own-child,Female,26,0,HS-grad,30,Private
10313,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,64,0,HS-grad,40,Federal-gov
10507,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,27,0,HS-grad,55,Private
10614,Divorced,United-States,Adm-clerical,Unmarried,Female,39,0,11th,40,Local-gov
10656,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,40,0,HS-grad,40,Private
10660,Married-civ-spouse,United-States,Other-service,Husband,Male,52,0,Some-college,50,Federal-gov
10691,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,53,0,HS-grad,40,Federal-gov
10757,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,39,0,Masters,50,Private
11020,Divorced,United-States,Exec-managerial,Not-in-family,Male,49,0,Some-college,50,Private
11231,Never-married,United-States,Sales,Own-child,Male,23,0,Some-college,45,Private
11278,Divorced,United-States,Transport-moving,Not-in-family,Male,58,0,10th,50,Private
11282,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,40,0,HS-grad,40,Private
11377,Married-civ-spouse,United-States,Craft-repair,Husband,Male,31,0,HS-grad,52,Private
11474,Divorced,United-States,?,Not-in-family,Male,54,0,HS-grad,20,?
11488,Never-married,United-States,Exec-managerial,Not-in-family,Female,27,0,Assoc-acdm,58,State-gov
11538,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,47,0,Prof-school,60,Private
11582,Married-civ-spouse,United-States,Craft-repair,Husband,Male,51,0,Some-college,40,Private
11922,Never-married,United-States,Farming-fishing,Own-child,Male,19,0,HS-grad,40,Private
11927,Married-civ-spouse,United-States,Other-service,Wife,Female,36,0,HS-grad,35,Local-gov
11956,Married-civ-spouse,United-States,Transport-moving,Husband,Male,52,0,HS-grad,22,Self-emp-not-inc
1207,Married-civ-spouse,United-States,Sales,Husband,Male,38,0,Bachelors,42,Private
12217,Widowed,United-States,Adm-clerical,Not-in-family,Female,57,0,HS-grad,36,Private
12316,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,46,1672,HS-grad,50,Self-emp-not-inc
12319,Married-civ-spouse,United-States,Prof-specialty,Own-child,Male,29,0,Bachelors,75,Private
12370,Separated,United-States,Exec-managerial,Not-in-family,Male,69,0,Bachelors,40,Self-emp-inc
12395,Divorced,United-States,Exec-managerial,Not-in-family,Male,68,0,Some-college,30,Private
12416,Never-married,United-States,Craft-repair,Not-in-family,Male,57,0,Assoc-voc,40,Private
12431,Married-civ-spouse,United-States,Craft-repair,Husband,Male,43,0,HS-grad,40,Private
12918,Married-civ-spouse,United-States,?,Husband,Male,61,0,Assoc-acdm,2,?
12980,Married-civ-spouse,Germany,Machine-op-inspct,Husband,Male,43,0,HS-grad,40,Private
13004,Married-civ-spouse,United-States,Craft-repair,Husband,Male,38,0,Some-college,40,Private
13057,Never-married,United-States,Machine-op-inspct,Not-in-family,Female,43,0,9th,20,Private
