record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10028,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,35
101,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,44
10101,United-States,Male,White,Never-married,Private,11th,Other-service,Not-in-family,26
10177,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,60
1044,United-States,Female,White,Never-married,Private,Some-college,Tech-support,Not-in-family,24
10489,United-States,Male,White,Married-civ-spouse,Federal-gov,Masters,Exec-managerial,Husband,52
10588,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,19
10708,United-States,Female,White,Widowed,Federal-gov,Some-college,Tech-support,Not-in-family,45
10915,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,56
11081,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,43
11179,United-States,Male,White,Never-married,Local-gov,HS-grad,Handlers-cleaners,Own-child,20
11190,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,18
11216,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,66
11281,United-States,Female,White,Never-married,Private,11th,Adm-clerical,Own-child,18
11381,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,56
1144,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Sales,Husband,56
11444,Mexico,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,34
1146,United-States,Female,White,Never-married,Self-emp-inc,Some-college,Exec-managerial,Not-in-family,30
11598,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,30
11604,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Protective-serv,Husband,46
1164,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Wife,50
11827,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,30
11967,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,76
12182,Puerto-Rico,Male,White,Married-civ-spouse,Private,9th,Machine-op-inspct,Husband,57
12642,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Other-service,Wife,30
12714,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,47
12770,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Prof-specialty,Husband,41
12860,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,51
12938,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Other-relative,65
1308,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,43
13130,United-States,Female,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Wife,51
1316,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Prof-specialty,Husband,35
13397,United-States,Female,White,Divorced,Local-gov,Masters,Prof-specialty,Not-in-family,49
13408,United-States,Female,White,Divorced,Private,Assoc-acdm,Prof-specialty,Unmarried,26
13412,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,36
13520,United-States,Male,Black,Never-married,Private,HS-grad,Other-service,Own-child,24
13558,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,38
13609,United-States,Male,White,Married-civ-spouse,Private,10th,Transport-moving,Husband,54
13618,United-States,Male,Black,Never-married,Private,Assoc-voc,Other-service,Unmarried,33
13661,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,43
13895,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,37
13967,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
13999,United-States,Male,White,Married-civ-spouse,Private,11th,Transport-moving,Husband,37
14062,United-States,Female,Black,Never-married,Private,Some-college,Adm-clerical,Unmarried,25
14120,United-States,Female,White,Never-married,Private,Prof-school,Prof-specialty,Not-in-family,40
14390,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,45
1446,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Sales,Husband,45
14711,United-States,Female,White,Widowed,Local-gov,Assoc-voc,Adm-clerical,Not-in-family,84
14758,United-States,Male,Black,Never-married,Private,Some-college,Craft-repair,Not-in-family,32
1496,United-States,Male,White,Divorced,Private,11th,Sales,Not-in-family,32
15002,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,52
15328,United-States,Male,White,Divorced,Self-emp-not-inc,HS-grad,Craft-repair,Unmarried,41
15426,United-States,Male,White,Never-married,?,Masters,?,Not-in-family,34
15481,United-States,Female,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Wife,41
1559,United-States,Female,Black,Never-married,Private,Some-college,Other-service,Other-relative,21
15596,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,68
15597,United-States,Female,White,Divorced,Private,Assoc-acdm,Machine-op-inspct,Not-in-family,32
15700,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,36
15744,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,47
15846,United-States,Male,White,Divorced,?,7th-8th,?,Not-in-family,66
15872,United-States,Male,White,Divorced,State-gov,Bachelors,Prof-specialty,Not-in-family,49
1604,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Tech-support,Husband,46
1611,United-States,Female,White,Married-civ-spouse,Private,Assoc-acdm,Prof-specialty,Wife,36
16115,United-States,Male,White,Married-civ-spouse,Private,Some-college,Farming-fishing,Husband,28
16331,United-States,Male,Black,Married-civ-spouse,Federal-gov,Assoc-voc,Craft-repair,Husband,44
16423,United-States,Female,Amer-Indian-Eskimo,Divorced,Private,HS-grad,Adm-clerical,Unmarried,55
16467,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,25
16474,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,54
