record_id,age,education,occupation,workclass,capital-loss,marital-status,native-country,race,relationship
10086,34,HS-grad,Farming-fishing,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
10211,44,Bachelors,Protective-serv,State-gov,0,Married-civ-spouse,United-States,White,Husband
10242,41,Some-college,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
10391,43,Some-college,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
10934,42,Assoc-voc,Transport-moving,Private,0,Married-civ-spouse,United-States,White,Husband
10991,30,Bachelors,Prof-specialty,Private,0,Never-married,United-States,White,Not-in-family
11015,35,HS-grad,Machine-op-inspct,Private,0,Married-civ-spouse,United-States,White,Husband
11184,41,Bachelors,Prof-specialty,State-gov,0,Married-civ-spouse,United-States,White,Wife
11219,70,Some-college,Sales,Self-emp-inc,0,Married-civ-spouse,United-States,White,Husband
11422,42,Some-college,Adm-clerical,Private,0,Married-civ-spouse,United-States,White,Wife
11552,61,HS-grad,Other-service,Local-gov,0,Married-civ-spouse,United-States,White,Husband
11584,53,Bachelors,Prof-specialty,Private,0,Divorced,United-States,White,Not-in-family
11796,62,Some-college,Adm-clerical,Private,0,Married-civ-spouse,United-States,White,Wife
11959,59,11th,Farming-fishing,Private,0,Divorced,United-States,White,Not-in-family
11962,51,Bachelors,Prof-specialty,Federal-gov,0,Married-civ-spouse,United-States,White,Husband
11965,46,Some-college,Adm-clerical,Private,0,Divorced,United-States,White,Unmarried
12002,22,HS-grad,Transport-moving,Private,0,Never-married,United-States,White,Own-child
1205,61,Masters,Sales,Self-emp-inc,0,Married-civ-spouse,United-States,White,Husband
1207,38,Bachelors,Sales,Private,0,Married-civ-spouse,United-States,White,Husband
12089,39,Some-college,Adm-clerical,State-gov,0,Divorced,United-States,White,Unmarried
12315,52,Bachelors,Exec-managerial,Private,0,Divorced,?,White,Not-in-family
12336,29,Masters,Prof-specialty,Private,0,Never-married,United-States,White,Not-in-family
12354,60,Masters,Prof-specialty,Local-gov,0,Married-civ-spouse,United-States,White,Husband
12591,56,Some-college,Exec-managerial,Private,0,Married-civ-spouse,United-States,Black,Husband
12745,39,Some-college,Sales,Private,0,Married-civ-spouse,United-States,White,Husband
12896,37,Bachelors,Machine-op-inspct,Private,1719,Never-married,United-States,Black,Not-in-family
13016,40,Prof-school,Prof-specialty,Local-gov,0,Separated,United-States,Black,Own-child
13582,26,HS-grad,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Husband
13737,28,HS-grad,Craft-repair,Federal-gov,0,Never-married,United-States,White,Not-in-family
13755,23,Some-college,Sales,Private,0,Never-married,United-States,White,Own-child
13766,61,10th,Farming-fishing,Private,0,Married-civ-spouse,United-States,White,Husband
13800,40,HS-grad,Adm-clerical,Private,0,Divorced,United-States,White,Unmarried
13892,64,Bachelors,Prof-specialty,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
13967,50,HS-grad,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
14011,38,Some-college,Sales,Private,0,Never-married,United-States,Black,Unmarried
14023,23,Bachelors,Adm-clerical,Private,0,Never-married,United-States,White,Not-in-family
14024,20,Some-college,Adm-clerical,Private,0,Never-married,Haiti,Black,Own-child
14077,40,Some-college,Tech-support,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
14098,37,HS-grad,Adm-clerical,Private,0,Never-married,United-States,White,Own-child
1413,53,Some-college,Exec-managerial,Private,0,Married-civ-spouse,United-States,White,Husband
14264,46,9th,Machine-op-inspct,Private,0,Married-civ-spouse,Guatemala,White,Husband
14316,22,Some-college,Adm-clerical,Private,0,Never-married,United-States,White,Own-child
1458,76,HS-grad,?,?,0,Widowed,United-States,Black,Not-in-family
14976,37,HS-grad,Transport-moving,Private,0,Married-civ-spouse,United-States,White,Husband
1520,47,Bachelors,Protective-serv,Local-gov,0,Married-civ-spouse,United-States,White,Husband
15224,34,HS-grad,Adm-clerical,Private,0,Never-married,United-States,White,Not-in-family
15286,70,Assoc-voc,?,?,0,Never-married,United-States,White,Not-in-family
15374,25,Some-college,Craft-repair,Self-emp-not-inc,0,Never-married,United-States,White,Own-child
15399,20,Some-college,Farming-fishing,Private,0,Never-married,United-States,White,Not-in-family
15425,31,Bachelors,Exec-managerial,Self-emp-inc,0,Married-civ-spouse,United-States,White,Husband
15489,45,Bachelors,Exec-managerial,Private,1977,Married-civ-spouse,United-States,White,Husband
15693,68,HS-grad,Farming-fishing,Self-emp-not-inc,0,Married-civ-spouse,United-States,White,Husband
15796,21,HS-grad,Other-service,Private,0,Never-married,United-States,White,Not-in-family
1581,31,Bachelors,Sales,Private,0,Never-married,?,Asian-Pac-Islander,Own-child
15817,52,Some-college,Craft-repair,Private,0,Married-civ-spouse,United-States,White,Husband
