record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10092,United-States,Male,Other,Never-married,State-gov,Some-college,Adm-clerical,Not-in-family,22
10363,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,65
10390,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Protective-serv,Husband,64
10560,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,21
10609,United-States,Male,Black,Married-civ-spouse,Federal-gov,Bachelors,Adm-clerical,Husband,60
10708,United-States,Female,White,Widowed,Federal-gov,Some-college,Tech-support,Not-in-family,45
10802,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,52
10844,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,27
11028,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Exec-managerial,Husband,48
11048,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Unmarried,45
11159,United-States,Female,White,Married-civ-spouse,?,Some-college,?,Wife,33
11301,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
11367,United-States,Female,Black,Never-married,Private,Assoc-acdm,Adm-clerical,Not-in-family,43
11525,United-States,Female,White,Divorced,Private,Masters,Exec-managerial,Unmarried,43
11630,United-States,Male,Black,Never-married,Federal-gov,Some-college,Exec-managerial,Not-in-family,22
11809,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,45
11828,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,23
11927,United-States,Female,White,Married-civ-spouse,Local-gov,HS-grad,Other-service,Wife,36
11976,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,30
12011,Ireland,Female,White,Divorced,Private,Some-college,Handlers-cleaners,Not-in-family,51
12027,United-States,Male,White,Married-civ-spouse,State-gov,Assoc-voc,Protective-serv,Husband,31
12443,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,28
1246,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Prof-school,Prof-specialty,Husband,54
12514,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,34
12605,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,56
12653,United-States,Male,White,Never-married,Private,Some-college,Farming-fishing,Unmarried,23
12666,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,44
12903,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,50
13013,United-States,Female,White,Never-married,Self-emp-inc,Assoc-acdm,Sales,Not-in-family,51
13031,United-States,Male,Asian-Pac-Islander,Never-married,Private,Bachelors,Sales,Not-in-family,35
13148,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,49
13150,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Other-service,Husband,48
13264,United-States,Male,White,Divorced,Private,Some-college,Sales,Not-in-family,38
13287,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,34
13366,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,54
13399,United-States,Female,White,Divorced,Local-gov,HS-grad,Adm-clerical,Unmarried,46
13552,United-States,Male,White,Never-married,?,HS-grad,?,Own-child,19
1364,United-States,Female,White,Never-married,Federal-gov,Assoc-voc,Exec-managerial,Not-in-family,31
13933,South,Female,Asian-Pac-Islander,Never-married,?,HS-grad,?,Other-relative,23
13945,United-States,Female,White,Divorced,Private,Assoc-voc,Prof-specialty,Not-in-family,47
14133,United-States,Male,White,Divorced,Private,HS-grad,Other-service,Own-child,32
14348,United-States,Female,White,Divorced,?,Some-college,?,Unmarried,29
14377,United-States,Female,White,Never-married,Private,Assoc-acdm,Adm-clerical,Own-child,22
14489,United-States,Male,White,Never-married,Private,Assoc-voc,Tech-support,Not-in-family,23
14659,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,27
14830,United-States,Female,White,Married-civ-spouse,Self-emp-inc,HS-grad,Adm-clerical,Wife,60
14853,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,36
14855,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Prof-specialty,Husband,58
14899,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,Local-gov,HS-grad,Other-service,Husband,35
15324,United-States,Male,White,Never-married,Private,Some-college,Sales,Not-in-family,23
1541,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,62
15595,Mexico,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Exec-managerial,Husband,48
15624,United-States,Female,Other,Divorced,Private,Bachelors,Other-service,Unmarried,29
15626,United-States,Male,White,Never-married,Private,Prof-school,Prof-specialty,Not-in-family,59
15644,Hong,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,35
15777,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,48
15780,United-States,Male,White,Married-civ-spouse,Local-gov,Assoc-acdm,Craft-repair,Husband,33
15821,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,27
15873,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,58
15897,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,30
16114,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,60
16198,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,70
16206,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,30
16247,United-States,Male,White,Divorced,Private,Assoc-voc,Craft-repair,Not-in-family,36
16333,United-States,Female,White,Married-civ-spouse,Private,Masters,Prof-specialty,Wife,50
16355,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Own-child,30
16375,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,41
16392,Cuba,Male,White,Never-married,Private,Masters,Exec-managerial,Not-in-family,57
16656,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,51
16894,United-States,Male,White,Divorced,Self-emp-not-inc,Bachelors,Sales,Not-in-family,50
17097,United-States,Female,White,Divorced,Private,HS-grad,Machine-op-inspct,Unmarried,30
17232,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,43
17240,United-States,Male,White,Married-civ-spouse,Private,Masters,Tech-support,Husband,52
17361,United-States,Male,White,Never-married,Private,Bachelors,Tech-support,Not-in-family,29
17363,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Tech-support,Husband,26
17405,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,22
17409,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Wife,36
1760,United-States,Female,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Wife,42
17833,United-States,Male,Black,Married-civ-spouse,Private,Assoc-acdm,Machine-op-inspct,Husband,36
17850,United-States,Female,Black,Divorced,Private,Assoc-acdm,Other-service,Unmarried,39
17859,United-States,Male,White,Never-married,Private,12th,Transport-moving,Not-in-family,28
17939,United-States,Male,White,Never-married,Private,Some-college,Other-service,Not-in-family,20
1827,United-States,Female,Black,Divorced,Local-gov,HS-grad,Adm-clerical,Unmarried,37
18271,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Sales,Husband,45
18467,United-States,Female,Black,Separated,Private,11th,Other-service,Unmarried,44
18691,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,Local-gov,HS-grad,Transport-moving,Husband,51
18753,United-States,Female,White,Never-married,?,Some-college,?,Own-child,18
18975,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Farming-fishing,Husband,62
19016,United-States,Male,White,Never-married,Local-gov,10th,Transport-moving,Other-relative,31
19047,Portugal,Female,Asian-Pac-Islander,Divorced,Private,10th,Machine-op-inspct,Not-in-family,38
19162,United-States,Male,Black,Married-civ-spouse,Private,9th,Machine-op-inspct,Husband,44
19225,United-States,Male,White,Never-married,Private,Masters,Exec-managerial,Not-in-family,33
19318,United-States,Male,White,Never-married,?,Bachelors,?,Not-in-family,24
19406,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,20
19414,?,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,34
19569,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,47
19654,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,31
19754,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Assoc-voc,Exec-managerial,Husband,32
1976,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,23
19789,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,32
19977,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,49
20011,Dominican-Republic,Male,Other,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,35
20019,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Adm-clerical,Husband,61
20491,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Sales,Husband,43
20557,Canada,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,33
20583,United-States,Male,White,Divorced,Private,HS-grad,Farming-fishing,Not-in-family,63
20650,United-States,Male,White,Married-civ-spouse,Private,11th,Machine-op-inspct,Husband,48
20687,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Protective-serv,Husband,45
2096,Japan,Male,Asian-Pac-Islander,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,26
21099,United-States,Male,White,Never-married,Federal-gov,HS-grad,Adm-clerical,Own-child,22
21293,United-States,Male,Black,Divorced,Private,HS-grad,Other-service,Not-in-family,35
21333,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Wife,29
21356,United-States,Male,White,Married-civ-spouse,?,Some-college,?,Husband,77
21493,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,31
2158,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Sales,Husband,57
21792,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,33
22102,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Other-service,Husband,33
22235,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,32
22266,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,56
22280,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,59
22529,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,22
22585,United-States,Male,Black,Divorced,Federal-gov,HS-grad,Craft-repair,Not-in-family,53
22605,United-States,Male,Black,Married-civ-spouse,State-gov,Some-college,Protective-serv,Husband,42
23184,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,29
23337,United-States,Female,White,Never-married,Private,Some-college,Sales,Not-in-family,23
2334,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,51
23561,United-States,Female,White,Separated,Private,HS-grad,Adm-clerical,Unmarried,35
23637,?,Female,White,Widowed,Self-emp-inc,Bachelors,Exec-managerial,Not-in-family,46
2368,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,25
23722,Italy,Male,White,Married-civ-spouse,Private,5th-6th,Machine-op-inspct,Husband,58
23759,United-States,Female,White,Widowed,?,10th,?,Unmarried,39
238,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Exec-managerial,Husband,38
23868,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Exec-managerial,Husband,77
23871,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Own-child,20
24125,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,50
24138,United-States,Female,White,Widowed,Private,Some-college,Craft-repair,Unmarried,56
24263,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,27
24478,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,20
24571,United-States,Female,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Wife,29
24700,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,27
24871,United-States,Female,White,Never-married,Local-gov,Bachelors,Transport-moving,Not-in-family,27
2489,United-States,Female,White,Divorced,Private,Some-college,Sales,Unmarried,54
24992,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,32
24994,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,52
25035,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Prof-specialty,Husband,49
25235,?,Male,White,Divorced,Private,HS-grad,Transport-moving,Unmarried,36
25309,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,42
25577,China,Male,Asian-Pac-Islander,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,41
25876,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Craft-repair,Husband,62
25886,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Transport-moving,Husband,62
26003,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,33
26167,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,41
26234,?,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,27
26302,United-States,Male,White,Married-civ-spouse,Private,9th,Transport-moving,Husband,42
26512,United-States,Male,White,Widowed,?,Masters,?,Not-in-family,66
26680,United-States,Female,White,Divorced,Private,Some-college,Sales,Unmarried,32
26729,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,51
26731,United-States,Female,White,Widowed,Private,HS-grad,Prof-specialty,Not-in-family,84
26778,United-States,Female,White,Widowed,Private,Some-college,Adm-clerical,Not-in-family,65
26829,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,32
26952,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Sales,Husband,49
27051,United-States,Female,White,Never-married,?,Some-college,?,Own-child,20
27186,Mexico,Male,White,Never-married,Private,10th,Other-service,Other-relative,20
27254,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Protective-serv,Husband,49
27274,United-States,Male,White,Married-civ-spouse,State-gov,11th,Craft-repair,Husband,39
27431,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,24
275,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,43
27534,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,35
27577,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,42
27648,Columbia,Male,Other,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,52
27734,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,38
