record_id,race,relationship,sex,workclass,education
100,White,Husband,Male,Private,Masters
10000,White,Not-in-family,Female,Private,Some-college
10005,White,Husband,Male,Private,Assoc-acdm
10036,White,Husband,Male,Self-emp-inc,Some-college
10055,White,Husband,Male,State-gov,Bachelors
10112,White,Other-relative,Female,Private,HS-grad
10162,White,Husband,Male,Private,Some-college
10181,White,Not-in-family,Female,Private,Some-college
10458,White,Not-in-family,Male,Self-emp-not-inc,Some-college
10473,White,Husband,Male,Private,HS-grad
1048,White,Not-in-family,Female,Private,Some-college
10494,White,Husband,Male,Private,Some-college
10829,White,Husband,Male,Private,Assoc-voc
10834,White,Not-in-family,Female,Private,Bachelors
10932,White,Not-in-family,Male,?,12th
10938,White,Not-in-family,Female,Private,Bachelors
1096,White,Husband,Male,Private,10th
10993,White,Own-child,Male,Private,HS-grad
11030,White,Not-in-family,Male,Self-emp-not-inc,HS-grad
11080,White,Husband,Male,Private,Bachelors
11177,White,Husband,Male,Private,Assoc-voc
11197,Black,Husband,Male,Private,10th
11249,White,Husband,Male,Private,HS-grad
11392,White,Husband,Male,Private,Assoc-acdm
11498,White,Husband,Male,Private,Bachelors
11624,White,Husband,Male,Local-gov,Masters
1163,White,Husband,Male,Private,Assoc-acdm
11728,White,Unmarried,Female,Private,HS-grad
1176,White,Own-child,Female,Private,Assoc-voc
11855,White,Own-child,Male,Private,Some-college
11926,White,Unmarried,Female,Private,Some-college
12145,White,Husband,Male,Private,HS-grad
12155,White,Unmarried,Female,Private,HS-grad
12162,White,Unmarried,Female,Private,HS-grad
12220,Amer-Indian-Eskimo,Not-in-family,Female,Local-gov,Masters
12445,White,Husband,Male,Private,Masters
1247,White,Not-in-family,Male,Private,HS-grad
12547,White,Husband,Male,Local-gov,Bachelors
12977,White,Husband,Male,Private,HS-grad
13013,White,Not-in-family,Female,Self-emp-inc,Assoc-acdm
1308,White,Husband,Male,Private,HS-grad
13275,White,Not-in-family,Male,Private,Bachelors
13331,White,Husband,Male,Private,Some-college
13428,White,Own-child,Female,Private,HS-grad
13614,White,Other-relative,Female,Private,Bachelors
13688,White,Husband,Male,Private,HS-grad
1382,White,Not-in-family,Male,Local-gov,Bachelors
13833,White,Own-child,Female,Private,Some-college
14350,White,Husband,Male,Private,Some-college
1444,White,Husband,Male,Self-emp-not-inc,HS-grad
14458,White,Own-child,Male,Private,Bachelors
14510,Black,Unmarried,Female,Private,HS-grad
14558,White,Unmarried,Female,Self-emp-not-inc,Doctorate
14606,White,Husband,Male,Private,Some-college
1475,White,Husband,Male,Private,HS-grad
14778,Black,Not-in-family,Male,Private,HS-grad
14790,White,Other-relative,Male,Private,10th
14814,White,Husband,Male,Self-emp-not-inc,10th
1503,White,Husband,Male,Self-emp-inc,Bachelors
15307,White,Unmarried,Male,Private,HS-grad
15366,White,Husband,Male,Private,HS-grad
15382,White,Husband,Male,Private,Masters
15414,White,Own-child,Female,?,HS-grad
15449,White,Own-child,Female,Private,HS-grad
15501,Black,Unmarried,Female,Private,10th
15701,White,Husband,Male,Private,Some-college
15921,White,Husband,Male,Private,Some-college
16015,White,Not-in-family,Male,Private,HS-grad
16110,White,Own-child,Male,Private,Some-college
16122,White,Husband,Male,Private,HS-grad
16136,White,Husband,Male,?,11th
16210,White,Husband,Male,Private,9th
16238,White,Husband,Male,Private,Some-college
1676,White,Husband,Male,?,HS-grad
16858,Black,Unmarried,Female,Local-gov,Some-college
16913,White,Husband,Male,Private,Some-college
16945,White,Wife,Female,Private,Assoc-voc
16966,White,Husband,Male,?,7th-8th
17031,White,Husband,Male,Private,12th
1713,White,Husband,Male,Private,Bachelors
17444,White,Wife,Female,Private,Bachelors
17701,White,Husband,Male,Private,Some-college
18032,White,Husband,Male,Self-emp-not-inc,10th
18127,White,Unmarried,Male,Private,HS-grad
18376,White,Husband,Male,Private,HS-grad
18393,White,Not-in-family,Male,Private,11th
18532,White,Husband,Male,Self-emp-not-inc,11th
18564,White,Own-child,Female,?,Some-college
18582,Black,Husband,Male,Private,HS-grad
18667,Black,Not-in-family,Female,Private,HS-grad
18723,White,Own-child,Female,Private,Bachelors
18732,White,Not-in-family,Female,Local-gov,Bachelors
18780,Black,Unmarried,Female,Private,Bachelors
18917,White,Husband,Male,Private,HS-grad
18946,White,Not-in-family,Male,Private,Assoc-voc
19096,White,Own-child,Male,Private,Some-college
19190,White,Own-child,Male,Private,12th
19393,White,Not-in-family,Male,Local-gov,HS-grad
19558,White,Not-in-family,Male,Private,11th
19630,White,Not-in-family,Female,Private,Bachelors
1981,White,Husband,Male,Federal-gov,HS-grad
19869,White,Not-in-family,Female,Private,HS-grad
20233,Black,Not-in-family,Female,Private,Some-college
20254,Black,Not-in-family,Female,Local-gov,HS-grad
