record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10369,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Protective-serv,Own-child,38
10409,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,39
10497,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,24
10546,United-States,Male,White,Married-civ-spouse,?,7th-8th,?,Husband,78
10648,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
10713,United-States,Male,White,Never-married,Private,Assoc-acdm,Tech-support,Own-child,26
10764,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,20
10791,United-States,Female,White,Separated,Private,HS-grad,Other-service,Unmarried,24
10850,United-States,Female,White,Widowed,Private,7th-8th,Other-service,Unmarried,35
10946,United-States,Female,White,Never-married,Private,Assoc-voc,Adm-clerical,Own-child,29
10997,Mexico,Male,White,Married-civ-spouse,Private,7th-8th,Farming-fishing,Husband,33
11111,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,28
11213,Germany,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,62
11338,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,40
11462,United-States,Female,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,25
11474,United-States,Male,White,Divorced,?,HS-grad,?,Not-in-family,54
11529,United-States,Male,White,Never-married,Self-emp-inc,HS-grad,Sales,Own-child,27
11617,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Assoc-voc,Sales,Husband,37
12038,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Not-in-family,39
12090,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Assoc-voc,Farming-fishing,Husband,65
1211,United-States,Male,White,Separated,Private,Some-college,Adm-clerical,Own-child,37
12116,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,43
12208,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Machine-op-inspct,Husband,50
12312,United-States,Female,Black,Never-married,Private,7th-8th,Machine-op-inspct,Not-in-family,52
12359,United-States,Female,Black,Divorced,Federal-gov,Bachelors,Exec-managerial,Unmarried,39
12457,United-States,Male,White,Never-married,Private,HS-grad,Tech-support,Own-child,23
1247,United-States,Male,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,49
12675,Philippines,Female,Asian-Pac-Islander,Divorced,Private,Some-college,Sales,Own-child,22
12743,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Unmarried,49
12843,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Wife,57
13165,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Adm-clerical,Husband,28
1321,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Own-child,20
13279,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,48
13667,United-States,Female,White,Never-married,State-gov,Bachelors,Tech-support,Own-child,22
13676,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,24
1382,United-States,Male,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,25
13824,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,53
13839,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,47
13847,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,23
14063,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,36
14190,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Other-service,Husband,69
14253,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Machine-op-inspct,Husband,36
14264,Guatemala,Male,White,Married-civ-spouse,Private,9th,Machine-op-inspct,Husband,46
14336,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,45
14371,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Sales,Husband,49
14432,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,21
14439,United-States,Male,White,Married-civ-spouse,Private,11th,Transport-moving,Husband,28
14444,United-States,Male,White,Never-married,Private,HS-grad,Tech-support,Not-in-family,25
14519,United-States,Male,White,Never-married,Private,Masters,Prof-specialty,Not-in-family,39
14610,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,24
14621,United-States,Female,White,Never-married,Private,Some-college,Other-service,Not-in-family,23
14766,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,35
1538,United-States,Female,White,Married-civ-spouse,Private,10th,Machine-op-inspct,Wife,22
15388,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,35
1558,United-States,Male,White,Never-married,Private,HS-grad,Transport-moving,Not-in-family,25
15678,?,Male,White,Never-married,Self-emp-not-inc,Bachelors,Prof-specialty,Not-in-family,42
15731,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Sales,Husband,41
15772,United-States,Male,White,Never-married,Private,7th-8th,Craft-repair,Own-child,21
15836,England,Female,White,Divorced,Private,Bachelors,Prof-specialty,Unmarried,51
15994,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,50
1600,United-States,Male,White,Married-civ-spouse,Private,11th,Craft-repair,Husband,30
16032,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,37
16189,United-States,Female,White,Never-married,Private,11th,Adm-clerical,Not-in-family,33
16276,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,24
16340,United-States,Female,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Wife,40
16367,Mexico,Male,White,Married-civ-spouse,Private,5th-6th,Machine-op-inspct,Husband,28
16375,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,41
16393,United-States,Female,White,Divorced,Private,Bachelors,Exec-managerial,Not-in-family,32
16450,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,49
16506,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,21
16567,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,33
16585,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,44
16609,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,23
16620,United-States,Female,Asian-Pac-Islander,Never-married,Private,Bachelors,Tech-support,Not-in-family,35
16869,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,43
16945,United-States,Female,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Wife,25
17022,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Exec-managerial,Husband,42
17076,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,37
17100,United-States,Male,White,Separated,Private,10th,Transport-moving,Own-child,40
17102,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,61
17172,Taiwan,Male,Asian-Pac-Islander,Married-civ-spouse,Self-emp-inc,Prof-school,Prof-specialty,Husband,57
17439,United-States,Male,White,Divorced,Private,HS-grad,Other-service,Not-in-family,43
17526,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Tech-support,Husband,36
17569,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,47
17687,United-States,Female,Black,Never-married,Private,Bachelors,Adm-clerical,Own-child,26
17893,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,35
17974,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,46
1798,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Adm-clerical,Husband,50
18011,United-States,Female,White,Widowed,Local-gov,Some-college,Adm-clerical,Unmarried,44
18125,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Assoc-voc,Farming-fishing,Husband,33
18179,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,26
18436,United-States,Female,White,Married-civ-spouse,Federal-gov,Some-college,Tech-support,Wife,33
1848,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,34
18571,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,53
18612,United-States,Female,White,Widowed,Private,Bachelors,Prof-specialty,Unmarried,30
18662,United-States,Male,White,Divorced,Local-gov,HS-grad,Craft-repair,Not-in-family,64
18667,United-States,Female,Black,Never-married,Private,HS-grad,Farming-fishing,Not-in-family,31
18805,Canada,Female,White,Married-civ-spouse,?,Bachelors,?,Wife,31
18932,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Transport-moving,Husband,63
19096,Canada,Male,White,Never-married,Private,Some-college,Other-service,Own-child,25
19269,United-States,Female,White,Divorced,Private,Some-college,Sales,Not-in-family,36
19292,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,44
19303,United-States,Male,White,Never-married,Private,9th,Other-service,Own-child,31
19364,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Prof-specialty,Wife,33
19559,United-States,Male,Black,Never-married,Federal-gov,Some-college,Exec-managerial,Not-in-family,36
19635,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,37
19668,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,36
19710,United-States,Female,White,Divorced,Self-emp-not-inc,Masters,Prof-specialty,Unmarried,60
19819,United-States,Male,White,Married-civ-spouse,?,11th,?,Husband,64
20109,United-States,Male,White,Never-married,Private,Assoc-voc,Priv-house-serv,Not-in-family,44
20185,United-States,Female,White,Never-married,Federal-gov,HS-grad,Exec-managerial,Not-in-family,47
20315,United-States,Female,White,Divorced,Private,10th,Machine-op-inspct,Unmarried,40
20377,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,47
20400,United-States,Female,White,Separated,Private,HS-grad,Sales,Unmarried,24
20417,India,Male,Asian-Pac-Islander,Divorced,Self-emp-inc,Masters,Exec-managerial,Unmarried,42
20423,Japan,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Doctorate,Exec-managerial,Husband,44
20463,United-States,Female,White,Widowed,Self-emp-not-inc,HS-grad,Sales,Not-in-family,85
20466,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,25
20495,United-States,Female,Black,Never-married,Private,HS-grad,Sales,Own-child,22
20531,?,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,34
20536,United-States,Female,Black,Divorced,Local-gov,Bachelors,Prof-specialty,Unmarried,43
21018,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,23
21059,United-States,Male,White,Divorced,Private,11th,Transport-moving,Not-in-family,35
21115,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,22
21129,United-States,Male,White,Never-married,Private,Some-college,Other-service,Not-in-family,33
21274,United-States,Female,White,Married-civ-spouse,?,Bachelors,?,Wife,43
21447,United-States,Male,Black,Married-civ-spouse,State-gov,HS-grad,Transport-moving,Husband,41
2156,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,26
21641,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Exec-managerial,Husband,52
21668,?,Male,Black,Married-civ-spouse,Private,12th,Craft-repair,Husband,42
21755,United-States,Male,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,24
21870,United-States,Female,White,Divorced,Self-emp-not-inc,HS-grad,Farming-fishing,Not-in-family,49
21927,United-States,Female,Asian-Pac-Islander,Married-civ-spouse,Private,Some-college,Prof-specialty,Wife,30
21948,United-States,Female,White,Never-married,Private,9th,Other-service,Not-in-family,45
22283,United-States,Male,White,Separated,Private,Some-college,Adm-clerical,Unmarried,59
22336,United-States,Female,White,Divorced,Private,11th,Adm-clerical,Own-child,26
22388,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Craft-repair,Husband,46
22620,Canada,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,47
22635,United-States,Male,White,Separated,Private,Bachelors,Prof-specialty,Not-in-family,51
22703,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Exec-managerial,Husband,47
22892,United-States,Male,White,Never-married,Self-emp-inc,Bachelors,Exec-managerial,Own-child,24
22954,Cuba,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,34
23043,United-States,Male,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,26
23096,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,21
23139,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Not-in-family,22
23201,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,24
23281,United-States,Female,White,Never-married,?,Bachelors,?,Own-child,36
23319,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,45
23392,United-States,Female,White,Divorced,Private,11th,Machine-op-inspct,Unmarried,32
23450,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,45
23472,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,31
23479,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Exec-managerial,Husband,49
23567,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,48
23577,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Not-in-family,52
23795,United-States,Female,White,Divorced,Private,HS-grad,Sales,Unmarried,31
24053,United-States,Female,White,Married-civ-spouse,?,Some-college,?,Wife,48
24124,El-Salvador,Female,Black,Divorced,Private,Some-college,Adm-clerical,Not-in-family,41
24136,United-States,Male,White,Married-civ-spouse,Federal-gov,Prof-school,Exec-managerial,Husband,55
24186,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,31
24265,Puerto-Rico,Female,White,Divorced,State-gov,HS-grad,Adm-clerical,Unmarried,37
