record_id,age,education,sex,capital-gain,capital-loss,hours-per-week,race,relationship,workclass
10034,49,Some-college,Female,0,0,40,White,Not-in-family,Private
10057,42,Some-college,Male,0,0,60,White,Husband,Self-emp-not-inc
10129,37,HS-grad,Male,0,0,50,White,Husband,Private
10172,68,HS-grad,Male,0,0,40,White,Husband,Self-emp-inc
10235,29,HS-grad,Male,0,0,40,White,Not-in-family,Private
10286,51,Doctorate,Male,4386,0,52,White,Husband,Federal-gov
10338,62,HS-grad,Female,0,0,38,Black,Other-relative,Private
10360,41,Masters,Male,0,0,40,White,Unmarried,Self-emp-not-inc
10426,29,Some-college,Male,0,0,40,White,Husband,Private
10503,43,HS-grad,Male,0,0,45,White,Unmarried,Self-emp-not-inc
10558,41,Some-college,Male,0,0,40,Black,Not-in-family,Private
10867,34,Assoc-acdm,Male,0,0,50,White,Not-in-family,Private
11007,52,Some-college,Male,0,1977,50,White,Husband,Private
11160,26,Some-college,Male,0,0,40,White,Husband,Private
11253,34,Prof-school,Female,0,0,40,Asian-Pac-Islander,Not-in-family,Private
11311,29,HS-grad,Female,0,0,60,Black,Own-child,Private
11364,44,Some-college,Male,2202,0,45,Black,Not-in-family,Self-emp-inc
11468,56,Some-college,Male,0,0,41,White,Husband,Local-gov
11583,20,Some-college,Female,0,0,30,White,Own-child,Private
11593,42,Masters,Male,0,0,55,White,Husband,Local-gov
11796,62,Some-college,Female,0,0,40,White,Wife,Private
11856,43,Assoc-voc,Male,0,0,40,White,Husband,Private
12042,31,HS-grad,Female,0,0,40,White,Unmarried,Self-emp-not-inc
12200,57,Some-college,Female,0,0,60,White,Wife,Self-emp-not-inc
12416,57,Assoc-voc,Male,0,0,40,White,Not-in-family,Private
12422,17,11th,Female,0,0,32,White,Own-child,Private
12590,31,Some-college,Female,3908,0,40,White,Wife,Private
12618,44,Some-college,Female,0,0,40,White,Unmarried,Private
12671,21,HS-grad,Male,0,0,35,White,Own-child,Private
12727,20,Some-college,Female,0,0,35,White,Not-in-family,Private
12811,52,HS-grad,Female,0,0,40,White,Own-child,Private
13035,60,12th,Male,0,0,40,White,Husband,Private
1305,37,Bachelors,Male,0,0,43,White,Husband,Private
13185,39,HS-grad,Male,0,0,60,White,Husband,Private
13190,32,Assoc-voc,Male,0,0,40,White,Husband,Private
13509,41,HS-grad,Male,0,0,40,White,Husband,Private
13566,43,HS-grad,Male,0,0,60,White,Husband,Self-emp-not-inc
13674,45,HS-grad,Male,0,0,40,White,Husband,Federal-gov
13792,46,Some-college,Male,0,0,40,White,Own-child,Private
13865,72,HS-grad,Female,0,0,16,White,Not-in-family,Private
13948,38,Some-college,Female,0,0,40,Black,Own-child,Private
14305,25,Masters,Male,0,0,40,White,Own-child,Private
14324,24,HS-grad,Male,0,0,40,White,Not-in-family,Private
14420,51,Doctorate,Male,7298,0,40,White,Husband,State-gov
14618,38,7th-8th,Male,0,0,45,White,Husband,?
14710,23,HS-grad,Female,0,0,40,White,Not-in-family,Self-emp-not-inc
14787,37,Assoc-voc,Female,0,0,48,Black,Wife,Private
14790,32,10th,Male,0,0,45,White,Other-relative,Private
14936,21,10th,Male,0,0,40,White,Own-child,Private
14990,52,Doctorate,Male,0,1887,70,White,Husband,State-gov
14994,25,Bachelors,Female,0,0,15,White,Own-child,Private
14998,34,HS-grad,Male,0,0,40,White,Husband,Private
15144,26,Assoc-voc,Female,0,0,40,White,Not-in-family,Private
15315,60,Doctorate,Male,7688,0,60,White,Husband,State-gov
15421,33,Assoc-voc,Male,0,0,40,White,Husband,Private
15433,31,Bachelors,Female,0,0,40,White,Unmarried,Private
15669,31,Bachelors,Male,0,1887,40,Black,Husband,Private
15855,30,Assoc-acdm,Female,0,0,40,White,Own-child,Private
15982,44,HS-grad,Female,0,0,40,White,Not-in-family,Private
16024,57,Some-college,Female,0,0,40,White,Not-in-family,Private
16417,43,Bachelors,Female,0,0,40,Black,Wife,Private
16452,33,HS-grad,Male,0,0,40,White,Husband,Private
1664,44,HS-grad,Male,0,0,40,Black,Husband,Private
16658,22,Bachelors,Female,0,0,30,White,Unmarried,Private
16894,50,Bachelors,Male,0,0,50,White,Not-in-family,Self-emp-not-inc
16948,27,Bachelors,Female,4865,0,36,White,Not-in-family,Private
