record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10024,United-States,Female,White,Separated,Private,Assoc-voc,Prof-specialty,Own-child,49
1003,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Own-child,23
10108,United-States,Female,White,Married-civ-spouse,Private,Some-college,Other-service,Wife,24
10240,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Own-child,29
10291,United-States,Male,Black,Married-civ-spouse,Private,10th,Transport-moving,Husband,59
10326,United-States,Female,White,Never-married,Private,Masters,Prof-specialty,Unmarried,50
10935,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,58
11020,United-States,Male,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,49
11089,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,31
11123,United-States,Female,White,Never-married,Federal-gov,Bachelors,Prof-specialty,Not-in-family,39
11637,Cambodia,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Sales,Husband,51
11659,?,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,59
1174,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,47
11784,United-States,Male,White,Married-civ-spouse,State-gov,Masters,Exec-managerial,Husband,38
1205,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Sales,Husband,61
12205,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,61
12212,United-States,Male,White,Divorced,Local-gov,Bachelors,Protective-serv,Not-in-family,45
12229,United-States,Male,White,Separated,Private,Some-college,Craft-repair,Not-in-family,23
12265,United-States,Male,Black,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,25
12305,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,30
12524,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,11th,Transport-moving,Husband,37
12609,United-States,Male,White,Never-married,?,10th,?,Own-child,18
12711,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,48
13085,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Husband,44
13208,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Adm-clerical,Husband,36
13251,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,44
13397,United-States,Female,White,Divorced,Local-gov,Masters,Prof-specialty,Not-in-family,49
13400,United-States,Male,White,Divorced,Private,HS-grad,Sales,Not-in-family,37
13464,United-States,Male,White,Divorced,Private,Some-college,Transport-moving,Not-in-family,45
13761,United-States,Female,White,Never-married,Private,HS-grad,Sales,Not-in-family,36
13795,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Exec-managerial,Husband,41
13871,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Farming-fishing,Husband,55
14135,United-States,Male,White,Never-married,Private,Some-college,Sales,Own-child,21
14166,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Not-in-family,55
