record_id,age,education,sex,capital-gain,capital-loss,marital-status,native-country,occupation,race,relationship
10034,49,Some-college,Female,0,0,Married-spouse-absent,United-States,Adm-clerical,White,Not-in-family
10057,42,Some-college,Male,0,0,Married-civ-spouse,United-States,Farming-fishing,White,Husband
10129,37,HS-grad,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
10172,68,HS-grad,Male,0,0,Married-civ-spouse,United-States,Sales,White,Husband
10235,29,HS-grad,Male,0,0,Never-married,United-States,Exec-managerial,White,Not-in-family
10286,51,Doctorate,Male,4386,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband
10338,62,HS-grad,Female,0,0,Never-married,United-States,Other-service,Black,Other-relative
10360,41,Masters,Male,0,0,Divorced,Peru,Handlers-cleaners,White,Unmarried
10426,29,Some-college,Male,0,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband
10503,43,HS-grad,Male,0,0,Divorced,United-States,Other-service,White,Unmarried
10558,41,Some-college,Male,0,0,Separated,United-States,Craft-repair,Black,Not-in-family
10867,34,Assoc-acdm,Male,0,0,Divorced,United-States,Craft-repair,White,Not-in-family
11007,52,Some-college,Male,0,1977,Married-civ-spouse,United-States,Exec-managerial,White,Husband
11160,26,Some-college,Male,0,0,Married-civ-spouse,Puerto-Rico,Craft-repair,White,Husband
11253,34,Prof-school,Female,0,0,Never-married,United-States,Prof-specialty,Asian-Pac-Islander,Not-in-family
11311,29,HS-grad,Female,0,0,Never-married,United-States,Adm-clerical,Black,Own-child
11364,44,Some-college,Male,2202,0,Never-married,United-States,Exec-managerial,Black,Not-in-family
11468,56,Some-college,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
11583,20,Some-college,Female,0,0,Separated,United-States,Other-service,White,Own-child
11593,42,Masters,Male,0,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband
11796,62,Some-college,Female,0,0,Married-civ-spouse,United-States,Adm-clerical,White,Wife
11856,43,Assoc-voc,Male,0,0,Married-civ-spouse,United-States,Farming-fishing,White,Husband
12042,31,HS-grad,Female,0,0,Never-married,United-States,Other-service,White,Unmarried
12200,57,Some-college,Female,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Wife
12416,57,Assoc-voc,Male,0,0,Never-married,United-States,Craft-repair,White,Not-in-family
12422,17,11th,Female,0,0,Never-married,United-States,Adm-clerical,White,Own-child
12590,31,Some-college,Female,3908,0,Married-civ-spouse,United-States,Prof-specialty,White,Wife
12618,44,Some-college,Female,0,0,Separated,United-States,Adm-clerical,White,Unmarried
12671,21,HS-grad,Male,0,0,Never-married,United-States,Other-service,White,Own-child
12727,20,Some-college,Female,0,0,Never-married,United-States,Sales,White,Not-in-family
12811,52,HS-grad,Female,0,0,Widowed,United-States,Craft-repair,White,Own-child
13035,60,12th,Male,0,0,Married-civ-spouse,United-States,Adm-clerical,White,Husband
1305,37,Bachelors,Male,0,0,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband
13185,39,HS-grad,Male,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
13190,32,Assoc-voc,Male,0,0,Married-civ-spouse,United-States,Transport-moving,White,Husband
13509,41,HS-grad,Male,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
13566,43,HS-grad,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
13674,45,HS-grad,Male,0,0,Married-civ-spouse,United-States,Adm-clerical,White,Husband
13792,46,Some-college,Male,0,0,Never-married,United-States,Craft-repair,White,Own-child
13865,72,HS-grad,Female,0,0,Divorced,United-States,Other-service,White,Not-in-family
13948,38,Some-college,Female,0,0,Never-married,United-States,Adm-clerical,Black,Own-child
14305,25,Masters,Male,0,0,Never-married,United-States,Adm-clerical,White,Own-child
14324,24,HS-grad,Male,0,0,Never-married,United-States,Transport-moving,White,Not-in-family
14420,51,Doctorate,Male,7298,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
14618,38,7th-8th,Male,0,0,Married-civ-spouse,United-States,?,White,Husband
14710,23,HS-grad,Female,0,0,Divorced,United-States,Other-service,White,Not-in-family
14787,37,Assoc-voc,Female,0,0,Married-civ-spouse,United-States,Adm-clerical,Black,Wife
14790,32,10th,Male,0,0,Never-married,United-States,Craft-repair,White,Other-relative
14936,21,10th,Male,0,0,Separated,United-States,Machine-op-inspct,White,Own-child
14990,52,Doctorate,Male,0,1887,Married-civ-spouse,Germany,Prof-specialty,White,Husband
14994,25,Bachelors,Female,0,0,Never-married,United-States,Prof-specialty,White,Own-child
14998,34,HS-grad,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
15144,26,Assoc-voc,Female,0,0,Never-married,United-States,Other-service,White,Not-in-family
15315,60,Doctorate,Male,7688,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband
15421,33,Assoc-voc,Male,0,0,Married-civ-spouse,United-States,Sales,White,Husband
15433,31,Bachelors,Female,0,0,Divorced,United-States,Exec-managerial,White,Unmarried
15669,31,Bachelors,Male,0,1887,Married-civ-spouse,United-States,Exec-managerial,Black,Husband
15855,30,Assoc-acdm,Female,0,0,Never-married,United-States,Prof-specialty,White,Own-child
15982,44,HS-grad,Female,0,0,Never-married,United-States,Exec-managerial,White,Not-in-family
16024,57,Some-college,Female,0,0,Separated,United-States,Sales,White,Not-in-family
16417,43,Bachelors,Female,0,0,Married-civ-spouse,?,Exec-managerial,Black,Wife
16452,33,HS-grad,Male,0,0,Married-civ-spouse,United-States,Other-service,White,Husband
1664,44,HS-grad,Male,0,0,Married-civ-spouse,United-States,Handlers-cleaners,Black,Husband
16658,22,Bachelors,Female,0,0,Never-married,United-States,Exec-managerial,White,Unmarried
16894,50,Bachelors,Male,0,0,Divorced,United-States,Sales,White,Not-in-family
16948,27,Bachelors,Female,4865,0,Never-married,United-States,Prof-specialty,White,Not-in-family
16960,62,Some-college,Male,0,1977,Married-civ-spouse,United-States,Exec-managerial,White,Husband
16968,46,7th-8th,Male,0,0,Married-civ-spouse,United-States,Transport-moving,White,Husband
17201,44,Masters,Female,0,0,Divorced,?,Prof-specialty,White,Unmarried
17232,43,Some-college,Male,0,0,Married-civ-spouse,United-States,Adm-clerical,White,Husband
17266,34,Assoc-voc,Female,1639,0,Never-married,United-States,Prof-specialty,White,Not-in-family
17277,36,Masters,Male,0,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband
17346,70,Some-college,Male,0,2246,Married-civ-spouse,United-States,Exec-managerial,White,Husband
17448,23,HS-grad,Male,0,0,Never-married,United-States,Craft-repair,White,Not-in-family
17476,62,HS-grad,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
17568,52,HS-grad,Female,0,0,Married-civ-spouse,China,Machine-op-inspct,Asian-Pac-Islander,Wife
17719,22,HS-grad,Male,0,0,Never-married,United-States,Craft-repair,White,Own-child
17779,23,Some-college,Male,0,0,Divorced,United-States,Adm-clerical,Black,Not-in-family
17844,46,Some-college,Female,0,0,Never-married,United-States,Machine-op-inspct,White,Not-in-family
17903,58,HS-grad,Female,0,0,Divorced,United-States,Adm-clerical,White,Unmarried
1792,47,9th,Female,0,0,Never-married,United-States,Other-service,White,Unmarried
17947,41,Some-college,Female,0,0,Divorced,United-States,Sales,Asian-Pac-Islander,Not-in-family
18334,43,Assoc-voc,Male,0,0,Divorced,United-States,Craft-repair,White,Not-in-family
18426,34,HS-grad,Male,0,0,Divorced,United-States,Craft-repair,White,Unmarried
1853,28,Bachelors,Male,0,0,Divorced,United-States,Craft-repair,White,Unmarried
18621,58,11th,Female,0,0,Widowed,United-States,Machine-op-inspct,White,Not-in-family
18740,44,HS-grad,Male,0,0,Married-civ-spouse,United-States,Farming-fishing,White,Husband
19002,47,Prof-school,Male,15024,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband
19111,27,Some-college,Female,0,0,Never-married,United-States,Exec-managerial,White,Own-child
19195,62,HS-grad,Female,0,0,Widowed,United-States,Sales,White,Not-in-family
19217,23,Assoc-acdm,Female,0,0,Never-married,United-States,Exec-managerial,White,Unmarried
1928,20,HS-grad,Male,0,0,Never-married,United-States,Craft-repair,White,Own-child
19367,43,Prof-school,Male,15024,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband
19376,34,HS-grad,Female,0,0,Separated,United-States,Other-service,White,Not-in-family
19477,41,HS-grad,Female,0,0,Divorced,United-States,Adm-clerical,White,Unmarried
19592,28,HS-grad,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
20215,52,Some-college,Male,0,0,Never-married,United-States,Adm-clerical,White,Unmarried
20252,39,Bachelors,Male,3103,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
20289,40,9th,Male,0,0,Never-married,United-States,Craft-repair,Black,Other-relative
20321,65,Bachelors,Male,0,0,Married-civ-spouse,Italy,?,White,Husband
20337,18,11th,Female,0,0,Never-married,United-States,?,White,Own-child
20359,41,Some-college,Male,0,0,Never-married,United-States,Farming-fishing,White,Not-in-family
2040,23,Bachelors,Male,0,0,Never-married,United-States,Exec-managerial,White,Unmarried
20462,55,Some-college,Female,0,0,Divorced,United-States,Exec-managerial,Amer-Indian-Eskimo,Not-in-family
20636,23,HS-grad,Male,4650,0,Divorced,Ireland,Craft-repair,White,Not-in-family
20772,71,11th,Female,0,0,Never-married,United-States,Priv-house-serv,White,Not-in-family
20893,45,Assoc-voc,Male,0,0,Married-civ-spouse,United-States,Protective-serv,White,Husband
20900,29,HS-grad,Male,0,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband
20960,35,HS-grad,Male,0,0,Married-civ-spouse,United-States,Transport-moving,White,Husband
21064,42,7th-8th,Male,0,2205,Never-married,United-States,Handlers-cleaners,Black,Not-in-family
21249,33,Assoc-voc,Male,0,0,Married-civ-spouse,United-States,Transport-moving,White,Husband
21402,62,HS-grad,Male,0,0,Divorced,United-States,Exec-managerial,Black,Not-in-family
21412,30,11th,Male,0,0,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband
21433,59,HS-grad,Male,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
21481,59,HS-grad,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
2173,51,9th,Male,0,0,Married-civ-spouse,United-States,Transport-moving,White,Husband
2180,36,Assoc-acdm,Female,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Wife
21962,34,HS-grad,Male,0,0,Never-married,United-States,Craft-repair,White,Not-in-family
21990,51,Assoc-voc,Female,0,0,Separated,United-States,Prof-specialty,White,Unmarried
221,64,1st-4th,Male,0,0,Divorced,United-States,?,White,Not-in-family
22187,59,Some-college,Male,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
22211,22,HS-grad,Male,0,0,Never-married,United-States,Adm-clerical,White,Own-child
22282,42,HS-grad,Male,0,0,Married-civ-spouse,United-States,Tech-support,White,Husband
22308,24,Some-college,Male,0,0,Never-married,United-States,Handlers-cleaners,White,Own-child
22362,52,Some-college,Male,0,0,Married-civ-spouse,United-States,Transport-moving,White,Husband
22444,37,Some-college,Male,0,0,Married-civ-spouse,United-States,Transport-moving,White,Husband
22567,47,HS-grad,Female,0,0,Divorced,United-States,Priv-house-serv,White,Not-in-family
22666,21,Some-college,Male,0,0,Never-married,United-States,Adm-clerical,White,Own-child
2280,21,Some-college,Female,0,0,Never-married,United-States,Prof-specialty,White,Not-in-family
2296,22,HS-grad,Male,0,0,Never-married,United-States,Craft-repair,White,Other-relative
230,35,11th,Male,3674,0,Separated,United-States,Transport-moving,Black,Not-in-family
23154,34,HS-grad,Male,0,0,Married-civ-spouse,United-States,Other-service,White,Husband
23279,50,Masters,Female,0,0,Divorced,United-States,Sales,White,Not-in-family
23402,23,HS-grad,Female,0,0,Married-civ-spouse,United-States,Machine-op-inspct,White,Wife
23406,35,HS-grad,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
23720,27,Bachelors,Male,0,0,Never-married,United-States,Exec-managerial,White,Not-in-family
23760,51,HS-grad,Male,0,1887,Married-civ-spouse,United-States,Craft-repair,White,Husband
23789,48,HS-grad,Female,0,1848,Married-civ-spouse,United-States,Tech-support,White,Wife
23840,26,HS-grad,Male,0,0,Never-married,United-States,Sales,Asian-Pac-Islander,Other-relative
24133,35,Some-college,Female,0,0,Married-civ-spouse,United-States,?,White,Own-child
24186,31,Some-college,Male,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
24320,49,HS-grad,Male,0,1902,Married-civ-spouse,United-States,Exec-managerial,White,Husband
24378,44,Some-college,Male,0,0,Married-civ-spouse,Philippines,Sales,Asian-Pac-Islander,Husband
24381,39,Bachelors,Male,0,0,Married-civ-spouse,United-States,Prof-specialty,White,Husband
24420,43,10th,Male,0,0,Never-married,United-States,Machine-op-inspct,Black,Not-in-family
24442,54,Bachelors,Male,0,0,Married-civ-spouse,United-States,Sales,White,Husband
24483,39,Masters,Male,0,0,Divorced,Japan,Exec-managerial,Asian-Pac-Islander,Not-in-family
24547,32,HS-grad,Male,0,0,Married-civ-spouse,United-States,Transport-moving,White,Husband
24729,37,HS-grad,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
24767,51,HS-grad,Female,0,0,Divorced,United-States,Other-service,White,Not-in-family
24882,39,Some-college,Female,0,0,Divorced,United-States,Exec-managerial,White,Unmarried
2503,52,HS-grad,Female,0,0,Divorced,United-States,Craft-repair,White,Unmarried
25040,18,12th,Female,0,0,Never-married,United-States,Sales,White,Own-child
25205,22,HS-grad,Male,0,0,Never-married,United-States,Transport-moving,Black,Own-child
25284,47,HS-grad,Male,0,0,Married-civ-spouse,United-States,Tech-support,White,Husband
25317,21,5th-6th,Male,0,0,Never-married,Mexico,Handlers-cleaners,White,Not-in-family
25318,31,Some-college,Male,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
25327,52,HS-grad,Male,0,0,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband
25497,26,Assoc-acdm,Female,0,0,Never-married,United-States,Adm-clerical,White,Unmarried
25757,25,Assoc-voc,Male,0,0,Never-married,United-States,Craft-repair,Amer-Indian-Eskimo,Unmarried
25858,37,Assoc-voc,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
25869,35,Masters,Female,0,0,Never-married,United-States,Prof-specialty,White,Unmarried
26125,32,HS-grad,Male,0,0,Divorced,United-States,Handlers-cleaners,White,Not-in-family
26219,42,Masters,Male,0,0,Divorced,United-States,Exec-managerial,White,Not-in-family
26280,38,HS-grad,Male,0,0,Married-civ-spouse,United-States,Sales,White,Husband
26339,32,Bachelors,Male,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
26428,34,Some-college,Male,0,0,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband
26513,63,Bachelors,Female,0,0,Married-civ-spouse,United-States,?,Black,Wife
26659,20,Some-college,Female,0,0,Never-married,United-States,Adm-clerical,Other,Own-child
26803,53,Masters,Male,0,0,Married-civ-spouse,United-States,Adm-clerical,White,Husband
26906,46,Bachelors,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
26971,38,HS-grad,Male,0,0,Married-civ-spouse,United-States,Other-service,White,Husband
27028,43,Bachelors,Male,0,1887,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband
27057,32,10th,Male,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
27130,22,HS-grad,Female,0,0,Never-married,United-States,Sales,White,Unmarried
27232,44,Assoc-voc,Male,8614,0,Divorced,United-States,Exec-managerial,White,Not-in-family
27236,30,HS-grad,Male,0,0,Married-civ-spouse,United-States,Tech-support,White,Husband
27250,48,Some-college,Male,0,0,Never-married,United-States,Other-service,White,Not-in-family
27432,30,Prof-school,Female,0,0,Married-civ-spouse,United-States,Prof-specialty,White,Wife
27701,38,Masters,Female,0,0,Never-married,United-States,Prof-specialty,White,Other-relative
2787,20,Some-college,Female,0,0,Never-married,United-States,Sales,White,Not-in-family
27930,47,HS-grad,Female,0,0,Divorced,United-States,Machine-op-inspct,White,Unmarried
28203,33,Some-college,Male,0,0,Married-civ-spouse,United-States,Craft-repair,White,Husband
28508,35,Bachelors,Male,0,0,Divorced,United-States,Sales,White,Not-in-family
28623,33,11th,Male,0,0,Never-married,United-States,Craft-repair,White,Not-in-family
28636,55,HS-grad,Male,0,0,Married-civ-spouse,United-States,Exec-managerial,White,Husband
28724,38,HS-grad,Male,0,0,Married-civ-spouse,United-States,Adm-clerical,White,Husband
