record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
100,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,76
10000,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Not-in-family,34
10005,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,51
10036,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Prof-specialty,Husband,39
10055,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Prof-specialty,Husband,39
10112,United-States,Female,White,Never-married,Private,HS-grad,Sales,Other-relative,18
10162,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,38
10181,United-States,Female,White,Never-married,Private,Some-college,Exec-managerial,Not-in-family,43
10458,Puerto-Rico,Male,White,Divorced,Self-emp-not-inc,Some-college,Craft-repair,Not-in-family,51
10473,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,31
1048,United-States,Female,White,Never-married,Private,Some-college,Sales,Not-in-family,20
10494,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,37
10829,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Tech-support,Husband,50
10834,United-States,Female,White,Divorced,Private,Bachelors,Prof-specialty,Not-in-family,35
10932,United-States,Male,White,Never-married,?,12th,?,Not-in-family,18
10938,United-States,Female,White,Never-married,Private,Bachelors,Tech-support,Not-in-family,28
1096,United-States,Male,White,Married-civ-spouse,Private,10th,Machine-op-inspct,Husband,62
10993,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,23
11030,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Craft-repair,Not-in-family,27
11080,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,49
11177,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,32
11197,United-States,Male,Black,Married-civ-spouse,Private,10th,Machine-op-inspct,Husband,48
11249,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,35
11392,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,42
11498,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,33
11624,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Adm-clerical,Husband,49
1163,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,54
11728,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,30
1176,United-States,Female,White,Never-married,Private,Assoc-voc,Adm-clerical,Own-child,22
11855,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Own-child,19
11926,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,43
12145,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,64
12155,United-States,Female,White,Separated,Private,HS-grad,Adm-clerical,Unmarried,53
12162,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Unmarried,35
12220,United-States,Female,Amer-Indian-Eskimo,Divorced,Local-gov,Masters,Prof-specialty,Not-in-family,50
12445,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,46
1247,United-States,Male,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,49
12547,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Protective-serv,Husband,30
12977,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,44
13013,United-States,Female,White,Never-married,Self-emp-inc,Assoc-acdm,Sales,Not-in-family,51
1308,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,43
13275,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,27
13331,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,40
13428,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,25
13614,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Other-relative,22
13688,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,42
1382,United-States,Male,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,25
13833,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Own-child,27
14350,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,23
1444,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Other-service,Husband,56
14458,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,25
14510,United-States,Female,Black,Never-married,Private,HS-grad,Other-service,Unmarried,38
14558,United-States,Female,White,Never-married,Self-emp-not-inc,Doctorate,Prof-specialty,Unmarried,48
14606,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,55
1475,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,47
14778,United-States,Male,Black,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,37
14790,United-States,Male,White,Never-married,Private,10th,Craft-repair,Other-relative,32
14814,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,10th,Sales,Husband,55
1503,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,64
15307,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Unmarried,39
15366,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,31
15382,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,51
15414,United-States,Female,White,Never-married,?,HS-grad,?,Own-child,18
15449,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Own-child,19
15501,United-States,Female,Black,Never-married,Private,10th,Other-service,Unmarried,35
15701,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,34
15921,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,30
16015,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,57
16110,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,18
16122,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,34
16136,United-States,Male,White,Married-civ-spouse,?,11th,?,Husband,69
16210,United-States,Male,White,Married-civ-spouse,Private,9th,Other-service,Husband,62
16238,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,56
1676,?,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,64
16858,United-States,Female,Black,Never-married,Local-gov,Some-college,Adm-clerical,Unmarried,25
16913,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,50
16945,United-States,Female,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Wife,25
16966,United-States,Male,White,Married-civ-spouse,?,7th-8th,?,Husband,47
17031,United-States,Male,White,Married-civ-spouse,Private,12th,Craft-repair,Husband,24
1713,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,38
17444,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Wife,28
17701,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,28
18032,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,10th,Farming-fishing,Husband,53
18127,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Unmarried,36
18376,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,31
18393,United-States,Male,White,Divorced,Private,11th,Adm-clerical,Not-in-family,54
18532,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,11th,Craft-repair,Husband,59
18564,United-States,Female,White,Never-married,?,Some-college,?,Own-child,30
18582,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,45
18667,United-States,Female,Black,Never-married,Private,HS-grad,Farming-fishing,Not-in-family,31
18723,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Own-child,26
18732,United-States,Female,White,Divorced,Local-gov,Bachelors,Prof-specialty,Not-in-family,36
18780,United-States,Female,Black,Never-married,Private,Bachelors,Prof-specialty,Unmarried,26
18917,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,47
18946,United-States,Male,White,Never-married,Private,Assoc-voc,Exec-managerial,Not-in-family,29
19096,Canada,Male,White,Never-married,Private,Some-college,Other-service,Own-child,25
19190,United-States,Male,White,Never-married,Private,12th,Handlers-cleaners,Own-child,17
19393,Canada,Male,White,Never-married,Local-gov,HS-grad,Craft-repair,Not-in-family,38
19558,United-States,Male,White,Never-married,Private,11th,Transport-moving,Not-in-family,43
19630,United-States,Female,White,Never-married,Private,Bachelors,Sales,Not-in-family,22
1981,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Adm-clerical,Husband,49
19869,United-States,Female,White,Never-married,Private,HS-grad,Sales,Not-in-family,32
20233,United-States,Female,Black,Separated,Private,Some-college,Exec-managerial,Not-in-family,51
20254,United-States,Female,Black,Widowed,Local-gov,HS-grad,Adm-clerical,Not-in-family,69
