record_id,age,native-country,relationship
10007,27,United-States,Wife
10230,28,United-States,Husband
10279,28,United-States,Not-in-family
10318,35,United-States,Husband
10389,34,United-States,Husband
10687,33,United-States,Husband
10783,19,United-States,Other-relative
10917,30,United-States,Husband
11096,36,United-States,Own-child
11115,47,United-States,Unmarried
11240,45,United-States,Husband
11335,50,United-States,Husband
11475,28,United-States,Husband
11560,19,United-States,Not-in-family
1176,22,United-States,Own-child
11809,45,United-States,Husband
1188,24,United-States,Not-in-family
11938,20,United-States,Own-child
11941,58,United-States,Husband
12076,34,United-States,Husband
12143,31,United-States,Husband
12217,57,United-States,Not-in-family
12291,72,United-States,Not-in-family
12323,30,Japan,Husband
12328,38,United-States,Unmarried
12714,47,United-States,Husband
12798,46,United-States,Unmarried
1294,36,United-States,Husband
12955,45,United-States,Husband
13291,59,United-States,Husband
13387,29,United-States,Husband
13510,57,United-States,Husband
13718,21,United-States,Own-child
13818,52,United-States,Own-child
13948,38,United-States,Own-child
14068,56,United-States,Wife
14070,60,United-States,Not-in-family
14207,58,United-States,Husband
14249,37,United-States,Not-in-family
14396,39,Japan,Husband
14457,21,United-States,Own-child
14501,22,United-States,Unmarried
14521,27,United-States,Own-child
1461,46,United-States,Not-in-family
14804,32,United-States,Husband
14837,21,United-States,Not-in-family
14949,36,United-States,Wife
15157,26,United-States,Not-in-family
1531,40,United-States,Husband
15418,48,United-States,Husband
15730,45,United-States,Not-in-family
15781,37,United-States,Own-child
15825,32,United-States,Husband
15889,43,United-States,Husband
16089,22,United-States,Not-in-family
16130,20,United-States,Not-in-family
16170,39,United-States,Unmarried
1618,32,United-States,Other-relative
16289,44,United-States,Not-in-family
1640,52,United-States,Other-relative
16595,28,United-States,Not-in-family
16606,23,United-States,Unmarried
16616,37,United-States,Husband
16636,42,United-States,Unmarried
16644,44,United-States,Not-in-family
16668,37,United-States,Husband
16780,37,United-States,Not-in-family
16845,23,United-States,Husband
16973,26,United-States,Husband
16988,21,United-States,Own-child
17131,24,United-States,Own-child
17505,78,United-States,Husband
17619,32,United-States,Unmarried
17628,52,Dominican-Republic,Husband
17650,28,United-States,Husband
17662,33,United-States,Husband
17719,22,United-States,Own-child
17746,27,Germany,Not-in-family
17837,62,United-States,Not-in-family
17986,55,United-States,Husband
18028,50,United-States,Husband
18119,64,United-States,Husband
18434,58,United-States,Unmarried
18574,24,United-States,Own-child
18631,46,United-States,Own-child
18954,50,United-States,Husband
19151,53,United-States,Husband
19223,73,United-States,Other-relative
19287,29,United-States,Not-in-family
19397,46,United-States,Unmarried
19398,34,United-States,Not-in-family
