record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10124,United-States,Male,White,Widowed,Self-emp-not-inc,7th-8th,Farming-fishing,Not-in-family,80
10151,United-States,Female,Black,Married-civ-spouse,Local-gov,HS-grad,Other-service,Wife,52
10165,United-States,Male,White,Married-civ-spouse,Private,Masters,Other-service,Husband,36
1020,Japan,Male,White,Never-married,Private,Some-college,Craft-repair,Not-in-family,41
10294,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,31
10372,United-States,Male,White,Never-married,Private,Some-college,Machine-op-inspct,Not-in-family,24
10494,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,37
10516,United-States,Female,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,46
10760,United-States,Male,Other,Married-civ-spouse,Federal-gov,HS-grad,Adm-clerical,Husband,26
10767,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,41
10854,United-States,Female,White,Divorced,Private,Bachelors,Priv-house-serv,Unmarried,38
11048,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Unmarried,45
11183,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,40
11387,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,38
11425,United-States,Male,White,Never-married,Private,12th,Handlers-cleaners,Own-child,17
1150,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Own-child,25
11500,United-States,Female,White,Never-married,?,Some-college,?,Not-in-family,22
11536,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Craft-repair,Husband,63
11779,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,31
11790,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Sales,Husband,53
11828,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,23
11955,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,44
11965,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,46
12023,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Wife,24
12311,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,36
12393,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,41
12405,United-States,Female,White,Never-married,?,HS-grad,?,Own-child,18
12407,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Husband,71
12422,United-States,Female,White,Never-married,Private,11th,Adm-clerical,Own-child,17
12614,United-States,Female,Asian-Pac-Islander,Never-married,Private,Some-college,Adm-clerical,Unmarried,36
12620,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,43
12639,United-States,Female,White,Never-married,Private,Bachelors,Other-service,Not-in-family,35
12640,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Handlers-cleaners,Husband,36
12673,United-States,Female,White,Never-married,Private,Assoc-acdm,Tech-support,Not-in-family,30
12897,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,38
13099,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,47
1311,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,28
1321,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Own-child,20
13229,Japan,Female,Asian-Pac-Islander,Never-married,Private,Bachelors,Other-service,Not-in-family,53
13482,United-States,Female,White,Divorced,Local-gov,HS-grad,Adm-clerical,Not-in-family,75
13531,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
13541,United-States,Male,White,Never-married,Private,7th-8th,Other-service,Other-relative,59
13621,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,33
1364,United-States,Female,White,Never-married,Federal-gov,Assoc-voc,Exec-managerial,Not-in-family,31
13754,United-States,Female,White,Never-married,Private,Some-college,Exec-managerial,Not-in-family,42
13812,United-States,Male,White,Never-married,Private,10th,Sales,Own-child,17
13821,Vietnam,Male,Asian-Pac-Islander,Never-married,Private,10th,Machine-op-inspct,Other-relative,30
13951,United-States,Male,White,Never-married,Private,Assoc-voc,Craft-repair,Own-child,30
14114,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,33
14230,Canada,Female,White,Widowed,Local-gov,HS-grad,Other-service,Not-in-family,62
14441,United-States,Male,White,Never-married,?,HS-grad,?,Own-child,18
14478,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,47
1463,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,39
14709,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,32
14775,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,State-gov,HS-grad,Transport-moving,Husband,42
14846,Greece,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,53
14851,United-States,Female,White,Never-married,Self-emp-inc,9th,Sales,Own-child,17
15032,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Not-in-family,35
15270,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,58
15276,United-States,Male,Amer-Indian-Eskimo,Never-married,Private,HS-grad,Craft-repair,Not-in-family,31
15286,United-States,Male,White,Never-married,?,Assoc-voc,?,Not-in-family,70
15328,United-States,Male,White,Divorced,Self-emp-not-inc,HS-grad,Craft-repair,Unmarried,41
15498,United-States,Female,Black,Never-married,Local-gov,7th-8th,Other-service,Unmarried,55
15738,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,32
15756,United-States,Male,Black,Never-married,Private,HS-grad,Transport-moving,Not-in-family,27
15799,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,19
15832,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,60
16048,Puerto-Rico,Male,White,Married-civ-spouse,Private,7th-8th,Protective-serv,Husband,59
16302,United-States,Male,White,Widowed,Self-emp-not-inc,HS-grad,Exec-managerial,Not-in-family,83
16313,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,28
16487,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,27
16727,Mexico,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Not-in-family,30
16902,United-States,Male,White,Divorced,Private,HS-grad,Transport-moving,Not-in-family,52
17057,United-States,Female,White,Widowed,Private,11th,Other-service,Unmarried,45
17216,United-States,Male,White,Married-civ-spouse,Local-gov,Assoc-acdm,Handlers-cleaners,Husband,33
17377,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Masters,Prof-specialty,Wife,51
17698,United-States,Female,White,Divorced,Private,HS-grad,Sales,Not-in-family,49
1774,United-States,Female,Black,Married-civ-spouse,Private,HS-grad,Other-service,Wife,49
17842,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,57
17907,United-States,Female,White,Never-married,Private,11th,Prof-specialty,Own-child,18
1831,United-States,Female,White,Widowed,Private,HS-grad,Sales,Not-in-family,52
18312,United-States,Male,White,Divorced,Private,7th-8th,Exec-managerial,Not-in-family,37
1836,United-States,Male,White,Married-civ-spouse,Private,Masters,Sales,Husband,58
18507,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Exec-managerial,Husband,27
18515,United-States,Male,Black,Never-married,Private,Some-college,Other-service,Own-child,25
1861,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,46
18749,United-States,Female,White,Never-married,Private,Some-college,Prof-specialty,Not-in-family,22
18899,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Exec-managerial,Wife,58
18927,United-States,Female,White,Married-civ-spouse,Private,Some-college,Other-service,Wife,35
18978,United-States,Female,White,Widowed,Private,Bachelors,Adm-clerical,Not-in-family,46
19149,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,22
19157,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,27
1937,United-States,Female,White,Married-spouse-absent,Private,Bachelors,Exec-managerial,Unmarried,35
19407,United-States,Female,White,Never-married,Private,Bachelors,Other-service,Own-child,23
19621,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Sales,Husband,36
19642,United-States,Female,White,Never-married,Private,Some-college,Exec-managerial,Not-in-family,25
19673,United-States,Female,White,Divorced,Local-gov,Bachelors,Prof-specialty,Unmarried,46
19944,United-States,Female,White,Never-married,Private,Assoc-acdm,Other-service,Not-in-family,35
20415,Jamaica,Female,Black,Divorced,Private,Assoc-acdm,Exec-managerial,Not-in-family,41
20435,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Sales,Husband,57
20648,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,42
20694,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,36
20765,United-States,Male,White,Married-civ-spouse,Private,9th,Farming-fishing,Husband,55
20863,United-States,Male,White,Divorced,Private,Some-college,Machine-op-inspct,Not-in-family,42
20949,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
21118,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,20
21149,United-States,Female,White,Never-married,Private,Some-college,Sales,Own-child,19
21185,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,37
21297,United-States,Female,White,Divorced,Private,Assoc-voc,Adm-clerical,Unmarried,39
21448,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,39
21668,?,Male,Black,Married-civ-spouse,Private,12th,Craft-repair,Husband,42
22054,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,22
22069,United-States,Female,White,Never-married,Private,Prof-school,Tech-support,Own-child,30
22072,United-States,Male,White,Married-civ-spouse,Private,11th,Craft-repair,Husband,36
2213,United-States,Male,White,Married-civ-spouse,?,5th-6th,?,Husband,60
22224,United-States,Male,White,Never-married,Local-gov,Masters,Prof-specialty,Not-in-family,38
2230,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,59
22360,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,40
22386,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,37
22426,United-States,Female,White,Never-married,Private,11th,Sales,Own-child,17
22580,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,55
22616,United-States,Male,White,Never-married,State-gov,Some-college,Prof-specialty,Own-child,23
22700,Italy,Male,White,Married-civ-spouse,Private,Assoc-acdm,Adm-clerical,Husband,31
22716,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,40
22768,United-States,Male,White,Divorced,Local-gov,HS-grad,Exec-managerial,Not-in-family,53
22774,Canada,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,28
22990,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,23
23007,Mexico,Male,White,Married-civ-spouse,Local-gov,11th,Craft-repair,Husband,27
23100,United-States,Male,Black,Divorced,Private,9th,Farming-fishing,Not-in-family,68
23336,United-States,Male,White,Widowed,?,HS-grad,?,Unmarried,71
2338,United-States,Female,White,Never-married,Private,HS-grad,Tech-support,Own-child,23
23422,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Prof-school,Prof-specialty,Husband,51
23439,United-States,Male,White,Married-civ-spouse,State-gov,Masters,Prof-specialty,Husband,45
23507,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Own-child,19
23569,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,29
23602,United-States,Female,White,Divorced,State-gov,Some-college,Adm-clerical,Unmarried,31
23770,United-States,Female,White,Divorced,State-gov,Assoc-acdm,Prof-specialty,Not-in-family,39
23942,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,43
23990,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Assoc-acdm,Other-service,Wife,31
24012,United-States,Male,White,Never-married,Private,Some-college,Transport-moving,Not-in-family,26
24067,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Prof-school,Prof-specialty,Husband,38
24221,United-States,Female,White,Never-married,Private,Some-college,Craft-repair,Not-in-family,41
24476,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,31
24530,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,60
24549,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,48
24645,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,28
24661,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Own-child,20
24805,United-States,Female,White,Never-married,Self-emp-inc,Bachelors,Adm-clerical,Not-in-family,26
24916,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Exec-managerial,Husband,44
25003,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,39
25067,United-States,Male,White,Never-married,?,HS-grad,?,Own-child,18
25125,United-States,Female,Amer-Indian-Eskimo,Widowed,State-gov,HS-grad,Adm-clerical,Unmarried,61
25154,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,35
25302,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,53
25487,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,33
2569,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,56
25691,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,57
25835,United-States,Male,White,Never-married,?,10th,?,Own-child,17
26324,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Own-child,18
26379,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,56
26418,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,32
26437,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,34
26482,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Unmarried,54
26568,Vietnam,Female,Asian-Pac-Islander,Never-married,Private,Some-college,Adm-clerical,Own-child,21
26751,United-States,Male,White,Divorced,Private,HS-grad,Transport-moving,Not-in-family,31
26775,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Sales,Wife,62
26819,United-States,Male,White,Never-married,Local-gov,10th,Other-service,Own-child,18
2686,United-States,Male,White,Divorced,Private,HS-grad,Prof-specialty,Not-in-family,49
26869,United-States,Female,Black,Never-married,Federal-gov,Bachelors,Tech-support,Not-in-family,28
26879,Taiwan,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,41
2691,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Adm-clerical,Husband,64
27007,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,61
27166,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Sales,Husband,46
27228,United-States,Female,White,Married-AF-spouse,Private,HS-grad,Other-service,Wife,38
27313,United-States,Female,White,Divorced,Private,Assoc-voc,Tech-support,Not-in-family,42
27424,United-States,Female,Black,Never-married,Private,Bachelors,Other-service,Own-child,23
27435,United-States,Male,White,Married-civ-spouse,Federal-gov,Some-college,Exec-managerial,Husband,57
27445,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,59
27571,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,67
27621,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,19
27738,United-States,Male,Black,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,52
27816,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,33
2800,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,47
28117,United-States,Male,Black,Never-married,Private,HS-grad,Craft-repair,Not-in-family,44
28211,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,20
28310,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,57
28684,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Not-in-family,20
28711,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,33
28823,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,40
28939,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,52
29073,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,32
29226,United-States,Female,White,Never-married,Private,10th,Sales,Own-child,17
29243,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,30
29269,United-States,Female,White,Divorced,Local-gov,Bachelors,Prof-specialty,Unmarried,31
29399,United-States,Male,White,Never-married,Private,Some-college,Sales,Other-relative,21
2940,United-States,Female,Black,Never-married,Private,HS-grad,Sales,Unmarried,25
29525,Philippines,Male,White,Married-civ-spouse,Federal-gov,Some-college,Adm-clerical,Husband,37
29566,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,44
29636,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Sales,Husband,30
29702,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Sales,Wife,33
2981,United-States,Male,White,Never-married,Private,9th,Handlers-cleaners,Other-relative,22
29907,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,35
29999,United-States,Male,White,Never-married,Private,HS-grad,Tech-support,Not-in-family,36
30029,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,37
30084,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,52
30092,United-States,Male,White,Widowed,Self-emp-not-inc,10th,Farming-fishing,Unmarried,68
30144,United-States,Female,White,Never-married,Private,11th,Sales,Own-child,18
30159,United-States,Male,White,Divorced,Private,Assoc-acdm,Sales,Unmarried,41
30347,South,Male,Asian-Pac-Islander,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,39
30621,United-States,Female,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Wife,32
30637,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,32
30658,United-States,Male,White,Divorced,Private,HS-grad,Handlers-cleaners,Unmarried,42
3089,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,51
3125,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,55
31434,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,39
31438,United-States,Female,Black,Never-married,Private,Assoc-voc,Adm-clerical,Unmarried,21
31597,United-States,Female,White,Never-married,Local-gov,Masters,Prof-specialty,Not-in-family,49
31728,United-States,Male,White,Never-married,Local-gov,Assoc-voc,Protective-serv,Own-child,25
31953,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Wife,37
31993,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,19
3204,United-States,Male,White,Widowed,Self-emp-inc,Bachelors,Sales,Unmarried,50
32048,United-States,Male,Black,Never-married,Private,HS-grad,Handlers-cleaners,Other-relative,21
32092,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,39
32183,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,44
32228,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Exec-managerial,Husband,40
32265,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Other-service,Husband,37
3482,United-States,Female,White,Divorced,Private,HS-grad,Sales,Unmarried,27
