record_id,age,native-country,sex,capital-loss,education,hours-per-week,marital-status,occupation,race,relationship
10000,34,United-States,Female,0,Some-college,50,Divorced,Adm-clerical,White,Not-in-family
10080,31,United-States,Male,0,Bachelors,60,Married-civ-spouse,Sales,White,Husband
10147,43,United-States,Male,0,HS-grad,40,Married-civ-spouse,Exec-managerial,White,Husband
10247,21,United-States,Male,0,HS-grad,32,Married-civ-spouse,Handlers-cleaners,White,Husband
10253,17,United-States,Male,0,10th,40,Never-married,?,White,Own-child
10256,45,United-States,Female,0,10th,40,Divorced,Other-service,Black,Unmarried
10333,47,United-States,Female,0,Bachelors,70,Separated,Prof-specialty,White,Not-in-family
10400,19,United-States,Female,0,Some-college,30,Never-married,Adm-clerical,White,Own-child
10537,20,United-States,Male,0,Some-college,40,Never-married,Craft-repair,White,Unmarried
10620,37,United-States,Male,0,10th,40,Married-civ-spouse,Craft-repair,White,Husband
10711,20,United-States,Female,0,Some-college,40,Separated,Sales,Black,Unmarried
10736,30,India,Male,0,Prof-school,20,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Husband
10819,44,United-States,Male,0,Some-college,60,Separated,Sales,White,Unmarried
11116,52,United-States,Male,0,Masters,60,Married-civ-spouse,Prof-specialty,White,Husband
1115,60,?,Male,2415,Assoc-voc,70,Married-civ-spouse,Machine-op-inspct,White,Husband
1133,37,United-States,Female,0,Assoc-voc,38,Never-married,Adm-clerical,White,Own-child
11463,45,United-States,Male,0,HS-grad,40,Never-married,Transport-moving,White,Not-in-family
11495,36,Cuba,Female,0,Some-college,40,Divorced,Craft-repair,White,Unmarried
11516,18,United-States,Male,0,12th,40,Never-married,?,Other,Own-child
11555,29,United-States,Male,0,Bachelors,50,Never-married,Sales,White,Not-in-family
11593,42,United-States,Male,0,Masters,55,Married-civ-spouse,Prof-specialty,White,Husband
11760,35,United-States,Male,1977,Masters,45,Married-civ-spouse,Prof-specialty,White,Husband
11779,31,United-States,Male,1579,Some-college,40,Married-civ-spouse,Craft-repair,White,Husband
11785,35,United-States,Female,0,HS-grad,35,Married-civ-spouse,Adm-clerical,White,Wife
11842,35,United-States,Male,0,Masters,60,Married-civ-spouse,Exec-managerial,White,Husband
12053,36,United-States,Male,0,Some-college,45,Divorced,Adm-clerical,White,Not-in-family
1214,20,United-States,Male,0,Some-college,16,Never-married,Other-service,White,Own-child
12178,22,United-States,Male,0,10th,30,Never-married,Craft-repair,White,Other-relative
12198,18,United-States,Male,0,11th,16,Never-married,?,White,Own-child
12333,18,United-States,Female,0,10th,40,Never-married,Sales,Black,Other-relative
12439,44,United-States,Male,0,Some-college,50,Married-civ-spouse,Exec-managerial,White,Husband
12444,34,United-States,Male,0,HS-grad,40,Divorced,Transport-moving,White,Not-in-family
12556,40,United-States,Male,0,Assoc-voc,50,Married-civ-spouse,Exec-managerial,White,Husband
12614,36,United-States,Female,0,Some-college,40,Never-married,Adm-clerical,Asian-Pac-Islander,Unmarried
12647,27,United-States,Male,0,Bachelors,45,Married-civ-spouse,Exec-managerial,White,Husband
12666,44,United-States,Male,0,Bachelors,40,Married-civ-spouse,Prof-specialty,White,Husband
12785,25,Poland,Male,0,HS-grad,40,Married-spouse-absent,Machine-op-inspct,White,Not-in-family
1282,65,United-States,Male,0,HS-grad,40,Married-civ-spouse,?,White,Husband
12838,17,United-States,Male,0,12th,7,Never-married,Prof-specialty,White,Own-child
12848,29,Japan,Female,0,Some-college,40,Never-married,Adm-clerical,White,Not-in-family
12915,18,United-States,Male,0,HS-grad,25,Never-married,Sales,White,Other-relative
12933,35,United-States,Male,0,Some-college,55,Married-civ-spouse,Exec-managerial,White,Husband
12953,26,United-States,Female,0,Masters,40,Never-married,Prof-specialty,White,Not-in-family
13022,54,Guatemala,Male,0,7th-8th,40,Divorced,Machine-op-inspct,White,Not-in-family
1306,29,United-States,Male,0,Assoc-voc,40,Never-married,Machine-op-inspct,White,Not-in-family
13191,43,United-States,Female,0,Bachelors,60,Never-married,Sales,White,Not-in-family
13254,29,United-States,Female,0,HS-grad,40,Divorced,Adm-clerical,White,Not-in-family
1326,47,?,Male,0,HS-grad,40,Married-civ-spouse,Handlers-cleaners,White,Husband
13267,32,United-States,Male,0,Some-college,40,Married-civ-spouse,Sales,White,Husband
13275,27,United-States,Male,0,Bachelors,45,Never-married,Sales,White,Not-in-family
13289,37,United-States,Male,0,Bachelors,60,Married-civ-spouse,Exec-managerial,White,Husband
13464,45,United-States,Male,0,Some-college,50,Divorced,Transport-moving,White,Not-in-family
13538,28,United-States,Female,0,10th,40,Never-married,Machine-op-inspct,White,Own-child
13548,42,United-States,Male,0,Assoc-voc,40,Married-civ-spouse,Adm-clerical,White,Husband
1357,31,United-States,Male,0,Bachelors,37,Never-married,Tech-support,White,Not-in-family
13643,30,United-States,Male,0,HS-grad,35,Separated,Adm-clerical,Black,Other-relative
13645,40,United-States,Female,0,Some-college,17,Married-civ-spouse,Adm-clerical,White,Wife
13810,41,United-States,Female,0,Bachelors,12,Married-civ-spouse,Sales,White,Wife
13877,42,Germany,Male,0,Some-college,40,Married-civ-spouse,Adm-clerical,White,Husband
13895,37,United-States,Male,1848,HS-grad,48,Married-civ-spouse,Machine-op-inspct,White,Husband
14298,49,United-States,Male,0,9th,38,Separated,Handlers-cleaners,White,Own-child
14329,64,United-States,Female,0,Bachelors,50,Divorced,Exec-managerial,White,Not-in-family
14391,48,United-States,Male,0,HS-grad,60,Married-civ-spouse,Exec-managerial,White,Husband
14494,32,United-States,Male,0,HS-grad,40,Married-civ-spouse,Machine-op-inspct,White,Husband
1459,41,United-States,Male,0,Prof-school,60,Married-civ-spouse,Prof-specialty,White,Husband
14620,56,United-States,Female,0,Assoc-acdm,40,Married-civ-spouse,Farming-fishing,White,Wife
1473,69,United-States,Male,0,Masters,11,Married-civ-spouse,Prof-specialty,White,Husband
14868,19,United-States,Female,1721,HS-grad,40,Never-married,Other-service,White,Own-child
14917,35,United-States,Male,0,Doctorate,60,Married-civ-spouse,Prof-specialty,White,Husband
15058,25,United-States,Male,0,HS-grad,45,Married-civ-spouse,Craft-repair,White,Husband
15113,35,United-States,Female,1980,10th,40,Widowed,Other-service,Black,Not-in-family
15229,53,United-States,Male,0,Some-college,40,Married-civ-spouse,Adm-clerical,White,Husband
15286,70,United-States,Male,0,Assoc-voc,30,Never-married,?,White,Not-in-family
15327,25,United-States,Female,0,Bachelors,50,Never-married,Exec-managerial,White,Not-in-family
15330,57,United-States,Male,1672,Some-college,45,Married-civ-spouse,Craft-repair,White,Husband
1548,41,United-States,Male,1887,Some-college,50,Married-civ-spouse,Craft-repair,White,Husband
15793,36,United-States,Male,0,HS-grad,35,Never-married,Other-service,Black,Own-child
15940,43,United-States,Female,0,Doctorate,40,Separated,Prof-specialty,White,Unmarried
16175,40,United-States,Male,0,Assoc-voc,40,Divorced,Tech-support,White,Not-in-family
16355,30,United-States,Female,0,Bachelors,37,Never-married,Prof-specialty,White,Own-child
16482,42,United-States,Male,0,Doctorate,45,Married-civ-spouse,Prof-specialty,White,Husband
16512,23,United-States,Male,0,HS-grad,30,Married-civ-spouse,Exec-managerial,White,Husband
16513,75,United-States,Male,0,Some-college,30,Married-spouse-absent,Craft-repair,White,Not-in-family
16550,28,United-States,Female,0,Assoc-acdm,40,Never-married,Other-service,Black,Not-in-family
16585,44,United-States,Male,1848,Bachelors,40,Married-civ-spouse,Prof-specialty,White,Husband
16617,40,United-States,Male,0,Assoc-voc,40,Married-civ-spouse,Craft-repair,White,Husband
16637,60,United-States,Male,0,Masters,48,Married-civ-spouse,Prof-specialty,White,Husband
16772,39,United-States,Female,0,Some-college,40,Never-married,Craft-repair,White,Unmarried
17187,58,United-States,Female,0,HS-grad,40,Divorced,Adm-clerical,Black,Unmarried
17224,46,United-States,Male,0,Bachelors,40,Married-civ-spouse,Exec-managerial,White,Husband
17234,57,United-States,Female,0,HS-grad,42,Divorced,Adm-clerical,White,Unmarried
17452,47,?,Male,0,7th-8th,40,Never-married,Craft-repair,Other,Not-in-family
17487,28,United-States,Male,0,HS-grad,40,Married-civ-spouse,Craft-repair,White,Husband
17536,21,United-States,Female,0,Some-college,40,Never-married,Adm-clerical,White,Own-child
17591,56,Italy,Male,0,HS-grad,40,Married-civ-spouse,Machine-op-inspct,White,Husband
17652,31,United-States,Male,0,Bachelors,40,Married-civ-spouse,Exec-managerial,White,Husband
17706,36,United-States,Male,0,HS-grad,40,Married-civ-spouse,Transport-moving,White,Husband
17711,21,United-States,Male,0,HS-grad,42,Never-married,Craft-repair,White,Not-in-family
17902,67,United-States,Female,0,7th-8th,35,Widowed,?,White,Not-in-family
17956,36,United-States,Female,0,HS-grad,17,Separated,Sales,Black,Unmarried
18015,60,United-States,Male,1977,Bachelors,45,Married-civ-spouse,Exec-managerial,White,Husband
1823,19,United-States,Male,0,Some-college,45,Never-married,?,White,Own-child
18435,36,Mexico,Male,0,HS-grad,35,Married-civ-spouse,Craft-repair,White,Husband
18800,17,United-States,Female,0,10th,30,Married-civ-spouse,Sales,White,Own-child
18891,36,United-States,Male,0,Some-college,40,Separated,Adm-clerical,Black,Not-in-family
19350,38,United-States,Male,0,Some-college,43,Married-civ-spouse,Craft-repair,White,Husband
19369,63,United-States,Male,0,Bachelors,40,Never-married,Tech-support,White,Not-in-family
19415,25,United-States,Male,0,Some-college,40,Never-married,Adm-clerical,White,Not-in-family
19523,31,United-States,Male,0,HS-grad,40,Married-civ-spouse,Craft-repair,White,Husband
19694,45,United-States,Female,0,Bachelors,42,Never-married,Exec-managerial,White,Not-in-family
19706,22,United-States,Male,0,12th,48,Never-married,?,White,Not-in-family
19746,41,United-States,Male,0,HS-grad,40,Married-civ-spouse,Farming-fishing,White,Husband
19845,25,United-States,Male,0,Masters,40,Never-married,Exec-managerial,White,Not-in-family
19903,18,United-States,Male,0,HS-grad,40,Never-married,Craft-repair,White,Own-child
20047,48,United-States,Female,0,Masters,40,Married-civ-spouse,Prof-specialty,White,Wife
20312,21,United-States,Female,0,Some-college,40,Never-married,Adm-clerical,White,Not-in-family
20627,34,United-States,Male,0,HS-grad,40,Married-civ-spouse,Transport-moving,White,Husband
20682,68,United-States,Female,0,HS-grad,30,Never-married,Sales,White,Not-in-family
20684,50,United-States,Male,0,Masters,50,Married-civ-spouse,Exec-managerial,White,Husband
20834,47,United-States,Male,0,HS-grad,50,Married-civ-spouse,Craft-repair,White,Husband
20937,33,United-States,Male,0,Bachelors,50,Married-civ-spouse,Exec-managerial,White,Husband
20938,21,United-States,Female,0,Some-college,40,Never-married,?,White,Own-child
20996,29,United-States,Male,0,Some-college,45,Married-civ-spouse,Exec-managerial,White,Other-relative
21016,36,United-States,Male,0,HS-grad,50,Married-civ-spouse,Adm-clerical,White,Husband
21020,31,United-States,Male,0,HS-grad,48,Never-married,Sales,White,Other-relative
21024,43,United-States,Male,0,Bachelors,45,Never-married,Prof-specialty,White,Not-in-family
21050,29,United-States,Male,0,Bachelors,40,Married-civ-spouse,Protective-serv,White,Husband
21244,52,United-States,Female,0,Bachelors,40,Married-civ-spouse,Adm-clerical,White,Wife
21320,51,United-States,Male,0,HS-grad,70,Married-civ-spouse,Exec-managerial,White,Husband
21384,26,United-States,Male,0,Some-college,20,Never-married,Adm-clerical,White,Own-child
21581,23,United-States,Female,0,Bachelors,60,Never-married,Sales,White,Own-child
21642,46,United-States,Female,0,Some-college,17,Divorced,Machine-op-inspct,White,Own-child
21873,35,United-States,Male,0,Some-college,40,Never-married,Adm-clerical,Black,Unmarried
21917,54,United-States,Male,0,12th,40,Married-civ-spouse,Craft-repair,White,Husband
21931,40,United-States,Male,0,Some-college,40,Divorced,Craft-repair,White,Unmarried
21952,17,United-States,Female,0,11th,30,Never-married,Other-service,White,Own-child
21979,38,Mexico,Male,0,7th-8th,40,Married-civ-spouse,Sales,White,Husband
22152,30,United-States,Male,0,HS-grad,65,Married-civ-spouse,Exec-managerial,White,Husband
22227,53,United-States,Male,0,Masters,70,Married-civ-spouse,Exec-managerial,White,Husband
22436,31,United-States,Male,0,Bachelors,50,Married-civ-spouse,Prof-specialty,White,Husband
2252,44,United-States,Male,0,Doctorate,55,Married-civ-spouse,Adm-clerical,White,Husband
22633,25,United-States,Female,0,11th,40,Never-married,?,White,Unmarried
22634,42,United-States,Male,0,Bachelors,44,Married-civ-spouse,Prof-specialty,White,Husband
22830,42,United-States,Female,0,Masters,40,Never-married,Prof-specialty,White,Not-in-family
22938,40,United-States,Female,0,HS-grad,30,Widowed,Machine-op-inspct,White,Own-child
22945,54,United-States,Male,0,10th,40,Married-civ-spouse,Handlers-cleaners,White,Husband
23055,35,United-States,Male,0,Bachelors,48,Married-civ-spouse,Prof-specialty,White,Husband
23068,53,United-States,Female,0,Some-college,30,Widowed,Sales,White,Unmarried
