record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10105,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,52
10313,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Adm-clerical,Husband,64
10420,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Other-service,Husband,37
1056,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,12th,Transport-moving,Husband,30
10598,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,30
10601,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,35
10617,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,42
10729,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Exec-managerial,Husband,42
11081,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,43
11087,United-States,Male,White,Married-civ-spouse,?,9th,?,Husband,69
1123,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,36
11320,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,26
11380,United-States,Female,White,Never-married,Self-emp-not-inc,Some-college,Other-service,Not-in-family,24
11450,United-States,Male,White,Married-civ-spouse,Federal-gov,Doctorate,Prof-specialty,Husband,47
11476,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,28
11562,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,41
11627,United-States,Female,White,Married-civ-spouse,Private,10th,Farming-fishing,Wife,29
11712,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
11775,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,33
11860,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,38
12235,El-Salvador,Male,White,Married-civ-spouse,Private,5th-6th,Other-service,Husband,42
12247,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,75
12349,United-States,Female,White,Married-civ-spouse,Private,7th-8th,Other-service,Wife,34
12426,United-States,Female,Other,Married-spouse-absent,Private,12th,Other-service,Own-child,19
1244,United-States,Male,White,Never-married,Local-gov,Some-college,Other-service,Not-in-family,38
12473,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,25
1264,United-States,Male,White,Never-married,Self-emp-inc,Some-college,Craft-repair,Own-child,22
12819,United-States,Female,White,Divorced,Private,Masters,Exec-managerial,Not-in-family,46
13037,United-States,Male,Black,Married-civ-spouse,Private,7th-8th,Machine-op-inspct,Husband,50
13042,United-States,Male,White,Married-civ-spouse,?,Some-college,?,Husband,71
1306,United-States,Male,White,Never-married,Private,Assoc-voc,Machine-op-inspct,Not-in-family,29
13193,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Prof-specialty,Husband,66
13237,Mexico,Male,White,Never-married,Private,10th,Other-service,Unmarried,23
13349,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,56
1355,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,61
13557,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Sales,Wife,57
1357,United-States,Male,White,Never-married,Private,Bachelors,Tech-support,Not-in-family,31
13659,United-States,Female,White,Widowed,Local-gov,HS-grad,Transport-moving,Unmarried,42
13691,?,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,51
13708,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Farming-fishing,Husband,57
13820,?,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,59
13927,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,60
13936,United-States,Male,White,Never-married,Private,7th-8th,Handlers-cleaners,Other-relative,31
13987,United-States,Female,White,Never-married,Private,Some-college,Prof-specialty,Own-child,20
14011,United-States,Female,Black,Never-married,Private,Some-college,Sales,Unmarried,38
14026,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Not-in-family,39
14254,United-States,Male,White,Never-married,?,Some-college,?,Own-child,21
