record_id,education,native-country,workclass,age,capital-gain,capital-loss,hours-per-week,occupation,relationship
10052,HS-grad,United-States,Private,61,0,0,24,Adm-clerical,Unmarried
10101,11th,United-States,Private,26,0,0,40,Other-service,Not-in-family
10198,HS-grad,United-States,Private,43,0,0,40,Craft-repair,Husband
102,Masters,United-States,Self-emp-not-inc,47,0,0,50,Prof-specialty,Not-in-family
10378,Bachelors,South,Private,26,0,0,40,Sales,Not-in-family
10421,Some-college,United-States,Private,38,0,0,40,Prof-specialty,Husband
10486,Some-college,United-States,?,20,0,0,35,?,Not-in-family
10487,HS-grad,United-States,Private,27,0,1848,45,Prof-specialty,Husband
10619,Bachelors,United-States,Private,37,0,0,40,Handlers-cleaners,Husband
10653,Some-college,United-States,Private,38,0,0,40,Machine-op-inspct,Husband
10697,HS-grad,United-States,State-gov,18,0,0,40,Adm-clerical,Own-child
10724,Bachelors,Philippines,Private,27,0,0,20,Tech-support,Unmarried
10747,Some-college,United-States,Private,48,0,0,43,Adm-clerical,Unmarried
10828,7th-8th,United-States,?,68,0,0,40,?,Husband
10967,HS-grad,United-States,Private,29,0,0,40,Machine-op-inspct,Unmarried
11315,Bachelors,Philippines,Private,66,0,0,30,Craft-repair,Husband
11473,HS-grad,United-States,Private,36,0,0,40,Machine-op-inspct,Not-in-family
11509,10th,United-States,Private,74,0,0,6,Other-service,Not-in-family
1162,Bachelors,United-States,Private,33,0,0,60,Sales,Husband
11658,Some-college,United-States,?,19,0,0,30,?,Own-child
11733,HS-grad,United-States,Private,47,0,1504,35,Adm-clerical,Unmarried
11747,Bachelors,Philippines,Federal-gov,37,7298,0,40,Adm-clerical,Husband
1175,Some-college,United-States,?,58,0,0,40,?,Husband
12102,HS-grad,United-States,Private,34,0,0,40,Adm-clerical,Unmarried
12116,Some-college,United-States,Private,43,4064,0,38,Craft-repair,Husband
12379,Bachelors,United-States,Private,27,0,0,40,Other-service,Not-in-family
12583,HS-grad,United-States,Private,35,0,1741,60,Transport-moving,Not-in-family
12773,Some-college,Ecuador,Private,24,0,0,30,Sales,Unmarried
12782,Masters,United-States,State-gov,31,0,0,50,Prof-specialty,Husband
1282,HS-grad,United-States,?,65,0,0,40,?,Husband
