record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10007,United-States,Female,Black,Married-civ-spouse,State-gov,Bachelors,Protective-serv,Wife,27
10230,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,28
10279,United-States,Female,White,Separated,Private,Some-college,Other-service,Not-in-family,28
10318,United-States,Male,Black,Married-civ-spouse,Federal-gov,Some-college,Protective-serv,Husband,35
10389,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,34
10687,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,33
10783,United-States,Female,Black,Never-married,Private,10th,Other-service,Other-relative,19
10917,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,30
11096,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Own-child,36
11115,United-States,Female,Black,Separated,Private,HS-grad,Craft-repair,Unmarried,47
11240,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Assoc-voc,Farming-fishing,Husband,45
11335,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,50
11475,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Exec-managerial,Husband,28
11560,United-States,Female,White,Never-married,Self-emp-not-inc,Some-college,Craft-repair,Not-in-family,19
1176,United-States,Female,White,Never-married,Private,Assoc-voc,Adm-clerical,Own-child,22
11809,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,45
1188,United-States,Female,White,Never-married,State-gov,Bachelors,Adm-clerical,Not-in-family,24
11938,United-States,Male,White,Never-married,?,HS-grad,?,Own-child,20
11941,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,58
12076,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,34
12143,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,31
12217,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,57
12291,United-States,Female,Black,Divorced,Private,11th,Other-service,Not-in-family,72
12323,Japan,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Adm-clerical,Husband,30
12328,United-States,Female,White,Divorced,State-gov,HS-grad,Other-service,Unmarried,38
12714,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,47
12798,United-States,Male,White,Separated,Local-gov,Bachelors,Prof-specialty,Unmarried,46
1294,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,36
12955,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,45
13291,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,59
13387,United-States,Male,Black,Married-civ-spouse,Local-gov,HS-grad,Transport-moving,Husband,29
13510,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,57
13718,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,21
13818,United-States,Female,Black,Separated,Private,HS-grad,Craft-repair,Own-child,52
13948,United-States,Female,Black,Never-married,Private,Some-college,Adm-clerical,Own-child,38
14068,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Other-service,Wife,56
14070,United-States,Female,White,Divorced,Private,Some-college,Sales,Not-in-family,60
14207,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,58
14249,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,37
14396,Japan,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Prof-specialty,Husband,39
14457,United-States,Male,White,Never-married,Private,Some-college,Sales,Own-child,21
14501,United-States,Female,White,Never-married,Private,HS-grad,Sales,Unmarried,22
14521,United-States,Female,White,Never-married,Private,Masters,Exec-managerial,Own-child,27
