record_id,education,occupation,race,sex
10045,Some-college,Other-service,White,Male
10221,Some-college,Exec-managerial,White,Female
10274,Some-college,Craft-repair,White,Male
1031,Assoc-acdm,Other-service,White,Male
10341,Some-college,Adm-clerical,Asian-Pac-Islander,Male
10593,Bachelors,Other-service,Black,Female
10648,HS-grad,Craft-repair,White,Male
10821,Some-college,Other-service,White,Female
10945,Some-college,Craft-repair,White,Male
11011,Bachelors,Adm-clerical,White,Male
11138,Bachelors,Exec-managerial,White,Male
11201,HS-grad,Exec-managerial,Black,Male
11206,Some-college,Adm-clerical,White,Female
1126,HS-grad,Transport-moving,White,Male
11317,Assoc-voc,Other-service,White,Male
11415,HS-grad,Sales,White,Female
11453,7th-8th,Transport-moving,White,Male
11487,Some-college,Adm-clerical,White,Female
11514,Bachelors,Exec-managerial,White,Male
11577,Bachelors,Exec-managerial,White,Male
11635,HS-grad,Other-service,White,Male
11648,Bachelors,Adm-clerical,White,Male
11876,HS-grad,Craft-repair,White,Male
12006,Assoc-voc,Craft-repair,White,Male
12061,HS-grad,Transport-moving,White,Male
12151,HS-grad,Craft-repair,White,Male
12228,Some-college,Sales,White,Male
12245,Bachelors,Prof-specialty,White,Male
12305,Some-college,Handlers-cleaners,White,Male
12343,Assoc-acdm,Tech-support,White,Female
1236,HS-grad,Sales,White,Female
12582,Bachelors,Prof-specialty,White,Male
12658,Some-college,Adm-clerical,White,Female
12731,HS-grad,Adm-clerical,White,Male
12779,HS-grad,Prof-specialty,Asian-Pac-Islander,Male
1287,10th,Other-service,White,Male
13133,HS-grad,Adm-clerical,White,Female
1331,Some-college,Machine-op-inspct,White,Female
13341,HS-grad,Adm-clerical,White,Female
13359,10th,Machine-op-inspct,White,Male
13441,HS-grad,Craft-repair,White,Male
13673,Some-college,Adm-clerical,White,Male
13689,HS-grad,Adm-clerical,White,Female
13778,Bachelors,Sales,White,Female
13780,Bachelors,Prof-specialty,Asian-Pac-Islander,Female
13903,Some-college,Adm-clerical,White,Female
14096,Masters,Exec-managerial,White,Male
14134,HS-grad,Handlers-cleaners,Black,Male
14158,HS-grad,Craft-repair,White,Male
14223,HS-grad,Machine-op-inspct,Black,Female
14304,10th,Sales,White,Female
14374,HS-grad,Machine-op-inspct,Asian-Pac-Islander,Male
14452,Assoc-acdm,Craft-repair,White,Male
14571,Bachelors,?,White,Male
14585,Some-college,Other-service,White,Male
14806,HS-grad,Machine-op-inspct,White,Male
15025,11th,Handlers-cleaners,Black,Male
15217,HS-grad,Machine-op-inspct,White,Male
1538,10th,Machine-op-inspct,White,Female
15461,Bachelors,Prof-specialty,White,Female
15475,HS-grad,Craft-repair,White,Male
15489,Bachelors,Exec-managerial,White,Male
15583,Assoc-acdm,Other-service,Black,Female
15844,HS-grad,Exec-managerial,White,Male
15911,Some-college,?,White,Male
15937,HS-grad,Other-service,Black,Male
16080,Some-college,Exec-managerial,White,Male
16122,HS-grad,Transport-moving,White,Male
16242,HS-grad,Other-service,White,Female
16331,Assoc-voc,Craft-repair,Black,Male
1642,Masters,Prof-specialty,White,Male
16508,HS-grad,Adm-clerical,White,Female
16519,Bachelors,Prof-specialty,White,Female
16620,Bachelors,Tech-support,Asian-Pac-Islander,Female
16832,Bachelors,Exec-managerial,White,Male
16878,Some-college,?,White,Male
17003,Bachelors,Prof-specialty,White,Female
17026,HS-grad,Craft-repair,White,Male
17035,Assoc-acdm,Other-service,Black,Female
1710,HS-grad,Sales,White,Female
17293,HS-grad,Sales,White,Male
17312,Some-college,Craft-repair,White,Male
17322,HS-grad,Sales,White,Male
17324,Some-college,Adm-clerical,White,Male
17367,Masters,Exec-managerial,White,Male
17419,Bachelors,Prof-specialty,White,Male
17523,Some-college,Machine-op-inspct,White,Female
17553,Some-college,Craft-repair,White,Male
17588,HS-grad,Other-service,Black,Female
17646,Bachelors,Prof-specialty,White,Female
17651,HS-grad,Craft-repair,White,Male
17684,Some-college,Exec-managerial,White,Male
17694,HS-grad,Tech-support,White,Male
18046,HS-grad,Craft-repair,White,Male
18069,HS-grad,Handlers-cleaners,White,Female
18287,Masters,Sales,White,Male
18291,Assoc-voc,Craft-repair,White,Male
1845,HS-grad,Transport-moving,Black,Male
18627,9th,Exec-managerial,White,Male
18899,HS-grad,Exec-managerial,White,Female
18979,HS-grad,Craft-repair,White,Male
19074,HS-grad,Craft-repair,White,Male
19099,Assoc-voc,Tech-support,White,Male
19113,12th,Machine-op-inspct,White,Male
19138,HS-grad,Craft-repair,White,Male
19180,10th,?,White,Male
19228,HS-grad,Other-service,White,Female
19294,HS-grad,Craft-repair,White,Male
19519,Some-college,Machine-op-inspct,White,Male
19557,Assoc-voc,Prof-specialty,White,Female
19563,Masters,Prof-specialty,White,Male
19565,HS-grad,Protective-serv,White,Male
19656,Masters,Adm-clerical,White,Male
19680,7th-8th,Craft-repair,White,Male
19684,10th,Other-service,White,Female
19912,Bachelors,Tech-support,White,Female
20051,Masters,Exec-managerial,White,Male
20252,Bachelors,Exec-managerial,White,Male
20359,Some-college,Farming-fishing,White,Male
20805,HS-grad,Handlers-cleaners,White,Female
20953,HS-grad,?,White,Male
21019,HS-grad,Craft-repair,White,Male
21092,Assoc-acdm,Other-service,White,Female
21108,Prof-school,Prof-specialty,Asian-Pac-Islander,Female
21185,Some-college,Craft-repair,Black,Male
213,HS-grad,Craft-repair,Asian-Pac-Islander,Male
21312,Some-college,Other-service,White,Female
21337,Masters,Prof-specialty,White,Female
21532,Some-college,Adm-clerical,White,Female
21580,11th,Sales,White,Female
21758,HS-grad,Craft-repair,White,Male
21763,Bachelors,Adm-clerical,White,Male
21764,Some-college,Other-service,White,Female
21833,HS-grad,Craft-repair,White,Male
21865,11th,Sales,White,Male
21872,Bachelors,Handlers-cleaners,Black,Male
22030,Masters,Prof-specialty,White,Male
22037,Bachelors,Sales,White,Male
22063,5th-6th,Transport-moving,White,Male
22106,Some-college,Other-service,Asian-Pac-Islander,Male
2214,HS-grad,Other-service,White,Male
22260,Masters,Prof-specialty,White,Male
22328,HS-grad,Machine-op-inspct,White,Female
22445,7th-8th,Machine-op-inspct,White,Female
22500,HS-grad,Machine-op-inspct,White,Male
22799,Some-college,Other-service,White,Female
23066,Bachelors,Adm-clerical,White,Male
23114,Some-college,Sales,White,Female
23123,Assoc-voc,?,White,Male
23231,Bachelors,Exec-managerial,White,Male
23269,Bachelors,Exec-managerial,White,Female
23319,Some-college,Sales,White,Male
23340,Some-college,Other-service,White,Female
2341,Assoc-voc,Craft-repair,White,Male
23530,Some-college,Other-service,White,Female
23629,12th,Transport-moving,White,Male
23657,Some-college,Exec-managerial,White,Female
23712,Bachelors,Adm-clerical,White,Male
23775,HS-grad,Protective-serv,Black,Male
23789,HS-grad,Tech-support,White,Female
23863,Some-college,Craft-repair,White,Male
23942,Assoc-voc,Craft-repair,White,Male
23968,Masters,Prof-specialty,White,Female
24064,HS-grad,Sales,White,Male
24191,Some-college,Craft-repair,White,Male
24224,HS-grad,Sales,White,Male
2423,Bachelors,Sales,White,Male
24276,Some-college,Craft-repair,White,Male
24654,Some-college,Craft-repair,White,Male
24924,HS-grad,Other-service,White,Female
24936,Bachelors,Adm-clerical,White,Male
25036,HS-grad,Other-service,White,Female
25061,Some-college,Craft-repair,White,Male
25297,11th,Adm-clerical,White,Female
25572,Bachelors,Prof-specialty,White,Female
25584,HS-grad,Craft-repair,White,Male
25835,10th,?,White,Male
26061,12th,Transport-moving,White,Male
26063,HS-grad,Other-service,White,Female
26159,Bachelors,Prof-specialty,White,Male
26331,Some-college,?,White,Female
26406,Assoc-voc,Prof-specialty,White,Male
26650,Some-college,Exec-managerial,White,Female
26798,HS-grad,Handlers-cleaners,White,Male
2688,Bachelors,Transport-moving,White,Male
26882,Bachelors,Prof-specialty,White,Male
26888,HS-grad,Other-service,White,Male
26912,Bachelors,Sales,White,Male
27157,Masters,Prof-specialty,White,Female
27510,HS-grad,Adm-clerical,White,Male
27545,5th-6th,Craft-repair,White,Male
27603,HS-grad,Exec-managerial,White,Male
27614,Prof-school,Prof-specialty,White,Male
27725,5th-6th,Handlers-cleaners,White,Male
27768,Some-college,Craft-repair,White,Male
27770,7th-8th,?,White,Male
28020,9th,?,White,Male
28077,Bachelors,Exec-managerial,White,Male
28094,Bachelors,Prof-specialty,White,Female
28610,Some-college,Protective-serv,White,Male
28619,Some-college,Adm-clerical,White,Female
28686,HS-grad,?,White,Male
28723,Masters,Exec-managerial,White,Male
28743,Assoc-voc,Tech-support,White,Female
28793,HS-grad,Craft-repair,White,Male
29018,Some-college,Tech-support,White,Male
29186,HS-grad,Adm-clerical,Black,Female
29217,HS-grad,Handlers-cleaners,White,Male
29315,Bachelors,Sales,White,Female
29441,Some-college,Sales,White,Female
29790,Bachelors,Exec-managerial,White,Male
29914,Bachelors,Exec-managerial,Black,Female
29975,Bachelors,Farming-fishing,White,Male
30025,Some-college,Transport-moving,White,Male
30046,Bachelors,Sales,White,Male
30156,HS-grad,?,White,Male
3016,Bachelors,Adm-clerical,White,Male
30242,Some-college,Craft-repair,White,Male
30291,HS-grad,Other-service,Black,Male
30332,HS-grad,Machine-op-inspct,Black,Male
3046,Some-college,Adm-clerical,White,Male
30696,9th,Craft-repair,White,Male
30738,Bachelors,Prof-specialty,White,Male
3080,Prof-school,Prof-specialty,White,Male
30904,HS-grad,Sales,White,Male
31211,Some-college,Craft-repair,White,Male
31214,Some-college,Sales,Black,Female
31284,Some-college,Exec-managerial,White,Female
31389,HS-grad,Craft-repair,White,Male
31424,HS-grad,Tech-support,White,Female
31662,Some-college,Other-service,White,Female
31883,Some-college,Other-service,White,Female
31934,Some-college,Other-service,White,Male
3211,7th-8th,?,White,Male
32124,HS-grad,Craft-repair,White,Male
32144,Some-college,Prof-specialty,White,Female
32168,HS-grad,Other-service,White,Female
32193,10th,Transport-moving,White,Male
32201,HS-grad,?,White,Female
3225,Bachelors,Farming-fishing,White,Male
32281,Bachelors,Prof-specialty,White,Male
32283,HS-grad,Transport-moving,White,Male
3434,HS-grad,Other-service,White,Female
353,11th,Transport-moving,White,Male
3567,HS-grad,Machine-op-inspct,White,Male
3753,Bachelors,Adm-clerical,Asian-Pac-Islander,Female
3849,Some-college,Exec-managerial,White,Female
3864,HS-grad,Craft-repair,Black,Male
3892,HS-grad,Sales,White,Male
3940,Bachelors,Prof-specialty,Black,Female
4019,Assoc-acdm,Sales,White,Male
4021,Some-college,?,White,Female
4068,Assoc-acdm,Exec-managerial,White,Male
4093,Masters,Prof-specialty,White,Male
4312,Prof-school,Prof-specialty,White,Male
4568,HS-grad,Protective-serv,White,Male
4633,7th-8th,Other-service,White,Female
470,Some-college,Prof-specialty,White,Male
4763,Bachelors,Protective-serv,White,Male
4875,Masters,Exec-managerial,White,Male
4979,HS-grad,Handlers-cleaners,White,Male
514,HS-grad,Craft-repair,White,Male
5216,Bachelors,Sales,White,Male
5312,HS-grad,Exec-managerial,White,Male
5317,5th-6th,Craft-repair,White,Male
5353,HS-grad,Transport-moving,White,Male
5368,Bachelors,Sales,White,Male
5404,Assoc-voc,Craft-repair,White,Male
5697,Bachelors,Adm-clerical,White,Male
5733,HS-grad,Exec-managerial,White,Male
5875,Some-college,Machine-op-inspct,White,Male
6005,Bachelors,Exec-managerial,White,Male
6050,HS-grad,Craft-repair,White,Male
6138,HS-grad,Other-service,White,Female
6450,Some-college,Other-service,White,Female
648,HS-grad,?,White,Male
6496,HS-grad,Adm-clerical,White,Female
6625,Some-college,Exec-managerial,White,Male
6640,Some-college,?,White,Female
6649,Assoc-voc,Craft-repair,White,Male
6720,Some-college,Prof-specialty,White,Male
6775,HS-grad,Exec-managerial,White,Male
6883,11th,Other-service,White,Male
6970,HS-grad,Adm-clerical,White,Female
7149,Assoc-voc,?,White,Male
7268,Some-college,Craft-repair,White,Male
7311,HS-grad,Machine-op-inspct,White,Female
7461,Bachelors,Prof-specialty,Asian-Pac-Islander,Male
7525,11th,Other-service,White,Female
754,HS-grad,Handlers-cleaners,White,Male
