record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10065,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,71
10081,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,25
10180,United-States,Female,White,Never-married,Private,11th,Priv-house-serv,Own-child,17
10416,United-States,Female,White,Divorced,Private,Bachelors,Adm-clerical,Not-in-family,51
10423,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Prof-specialty,Husband,59
10494,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,37
10506,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,47
10745,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,76
10828,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,?,7th-8th,?,Husband,68
10963,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Craft-repair,Husband,52
1112,United-States,Male,White,Never-married,State-gov,Bachelors,Adm-clerical,Not-in-family,37
11250,United-States,Female,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Wife,38
1132,Mexico,Female,White,Never-married,Private,HS-grad,Other-service,Unmarried,31
11331,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,23
11389,Guatemala,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,37
1146,United-States,Female,White,Never-married,Self-emp-inc,Some-college,Exec-managerial,Not-in-family,30
11937,Dominican-Republic,Female,White,Never-married,Private,5th-6th,Machine-op-inspct,Own-child,46
12179,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,24
12289,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,40
12343,United-States,Female,White,Widowed,Private,Assoc-acdm,Tech-support,Unmarried,42
12583,United-States,Male,White,Divorced,Private,HS-grad,Transport-moving,Not-in-family,35
12628,United-States,Female,White,Never-married,Private,HS-grad,Sales,Not-in-family,27
12680,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,43
12907,United-States,Female,Black,Never-married,Private,10th,Sales,Own-child,17
12927,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,26
13011,United-States,Male,White,Never-married,Private,Bachelors,Tech-support,Own-child,36
1305,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Machine-op-inspct,Husband,37
13140,United-States,Female,White,Divorced,Private,Assoc-voc,Prof-specialty,Not-in-family,49
13145,United-States,Male,White,Never-married,Private,Some-college,Exec-managerial,Own-child,19
13196,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Own-child,23
13333,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Own-child,23
13355,United-States,Female,White,Never-married,Private,Some-college,Tech-support,Not-in-family,20
13356,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,42
13455,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,42
1347,United-States,Female,White,Never-married,?,11th,?,Own-child,17
13502,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,30
13522,United-States,Female,White,Never-married,Federal-gov,Some-college,Tech-support,Own-child,20
13686,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,50
13714,United-States,Female,White,Married-civ-spouse,Private,Some-college,Sales,Wife,37
13745,United-States,Male,White,Never-married,Private,11th,Transport-moving,Own-child,19
14032,United-States,Female,White,Widowed,Private,HS-grad,Machine-op-inspct,Unmarried,48
14035,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Transport-moving,Husband,33
14111,United-States,Male,White,Divorced,Private,Some-college,Machine-op-inspct,Not-in-family,37
14534,United-States,Female,Black,Never-married,?,HS-grad,?,Unmarried,21
14606,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,55
14641,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Own-child,22
14651,United-States,Female,Black,Divorced,Local-gov,HS-grad,Tech-support,Not-in-family,43
14737,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,51
14738,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,31
14849,United-States,Female,White,Widowed,Private,Some-college,Priv-house-serv,Unmarried,62
14884,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Farming-fishing,Husband,78
1489,United-States,Male,White,Divorced,Private,Masters,Exec-managerial,Unmarried,37
14911,United-States,Male,White,Married-civ-spouse,?,7th-8th,?,Husband,67
15085,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Protective-serv,Husband,60
15303,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,21
15319,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,21
15327,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,25
15343,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,46
15449,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Own-child,19
15488,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,43
15659,United-States,Male,White,Never-married,Local-gov,Bachelors,Protective-serv,Not-in-family,26
15792,?,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,34
15934,United-States,Female,White,Never-married,Self-emp-not-inc,HS-grad,Other-service,Not-in-family,33
15986,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Not-in-family,38
16062,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,27
16291,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,37
16554,Mexico,Male,Other,Married-civ-spouse,Private,9th,Craft-repair,Husband,35
16583,Taiwan,Male,Asian-Pac-Islander,Never-married,?,Some-college,?,Own-child,21
16855,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,21
16894,United-States,Male,White,Divorced,Self-emp-not-inc,Bachelors,Sales,Not-in-family,50
16905,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,62
16938,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,40
1697,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,35
16993,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,64
17024,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,41
17075,United-States,Female,White,Widowed,Self-emp-not-inc,10th,Transport-moving,Other-relative,51
17273,United-States,Female,Black,Separated,Federal-gov,HS-grad,Adm-clerical,Other-relative,57
17387,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,29
17446,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,40
17462,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,63
17690,United-States,Female,White,Never-married,Local-gov,Masters,Prof-specialty,Not-in-family,31
17767,United-States,Female,White,Never-married,Private,Some-college,Sales,Own-child,19
17926,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Unmarried,35
18259,United-States,Female,White,Never-married,?,Some-college,?,Not-in-family,19
1831,United-States,Female,White,Widowed,Private,HS-grad,Sales,Not-in-family,52
18469,United-States,Male,White,Never-married,Private,10th,Other-service,Own-child,17
18522,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,52
18544,United-States,Male,White,Divorced,Private,HS-grad,Sales,Not-in-family,52
1855,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Own-child,25
18551,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,44
18646,Dominican-Republic,Female,Other,Divorced,Private,5th-6th,Machine-op-inspct,Unmarried,48
18762,United-States,Male,White,Never-married,Private,HS-grad,Prof-specialty,Own-child,31
18850,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Other-service,Wife,27
18998,United-States,Male,White,Never-married,Federal-gov,Bachelors,Adm-clerical,Not-in-family,45
19205,United-States,Male,Other,Never-married,Private,HS-grad,Transport-moving,Not-in-family,28
19221,United-States,Male,Black,Never-married,Local-gov,Some-college,Protective-serv,Not-in-family,30
19248,United-States,Male,White,Never-married,Private,11th,Handlers-cleaners,Own-child,23
19482,United-States,Male,White,Separated,Self-emp-not-inc,Some-college,Prof-specialty,Not-in-family,46
19538,Philippines,Male,Asian-Pac-Islander,Never-married,Private,Some-college,Sales,Own-child,20
19596,United-States,Female,Black,Divorced,Private,Some-college,Prof-specialty,Unmarried,40
19612,United-States,Male,Asian-Pac-Islander,Never-married,Self-emp-not-inc,HS-grad,Farming-fishing,Own-child,18
19645,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,43
19703,United-States,Male,White,Never-married,Private,11th,Other-service,Own-child,18
19985,United-States,Male,White,Never-married,Private,12th,Tech-support,Not-in-family,29
2004,United-States,Male,White,Separated,Private,Bachelors,Sales,Not-in-family,39
20049,United-States,Male,White,Never-married,Private,Some-college,Farming-fishing,Not-in-family,58
