record_id,marital-status,native-country,sex,age,capital-gain,capital-loss,education,hours-per-week,occupation,race,relationship,workclass
10103,Never-married,Germany,Male,20,0,0,Some-college,40,Protective-serv,White,Own-child,Private
10218,Married-civ-spouse,?,Male,52,0,0,Some-college,40,Craft-repair,Asian-Pac-Islander,Husband,Self-emp-not-inc
10226,Divorced,United-States,Female,27,0,0,Some-college,40,Exec-managerial,White,Own-child,Private
10616,Divorced,United-States,Male,51,0,2444,Assoc-voc,39,Tech-support,White,Not-in-family,State-gov
1065,Never-married,United-States,Male,38,0,0,Some-college,40,Other-service,White,Own-child,Private
10684,Widowed,United-States,Female,64,3674,0,11th,35,?,White,Not-in-family,?
10734,Married-civ-spouse,United-States,Male,35,0,0,Some-college,45,Craft-repair,White,Husband,Private
10930,Married-civ-spouse,United-States,Male,59,0,0,10th,40,Machine-op-inspct,White,Husband,Private
10939,Never-married,United-States,Male,25,0,0,Masters,55,Sales,White,Not-in-family,Private
11084,Never-married,El-Salvador,Male,17,0,0,10th,20,Other-service,White,Not-in-family,Private
11187,Divorced,?,Female,65,0,0,Some-college,40,Adm-clerical,White,Unmarried,Private
11213,Widowed,Germany,Female,62,0,0,HS-grad,20,Adm-clerical,White,Not-in-family,Private
1133,Never-married,United-States,Female,37,0,0,Assoc-voc,38,Adm-clerical,White,Own-child,Private
11350,Never-married,United-States,Male,45,0,0,Bachelors,40,Prof-specialty,White,Not-in-family,Self-emp-not-inc
11360,Married-civ-spouse,Mexico,Male,53,0,0,Preschool,40,Other-service,White,Husband,Private
1146,Never-married,United-States,Female,30,0,0,Some-college,60,Exec-managerial,White,Not-in-family,Self-emp-inc
11608,Divorced,United-States,Female,50,0,0,HS-grad,45,Sales,White,Unmarried,Private
11711,Divorced,United-States,Male,49,0,0,Bachelors,40,Adm-clerical,White,Not-in-family,Private
11740,Divorced,United-States,Female,49,0,0,HS-grad,20,Other-service,White,Not-in-family,Private
11917,Divorced,United-States,Female,30,0,0,Assoc-voc,46,Adm-clerical,White,Not-in-family,Private
11970,Married-civ-spouse,United-States,Male,33,0,0,HS-grad,40,Craft-repair,White,Husband,Private
12073,Married-civ-spouse,United-States,Male,32,0,0,HS-grad,40,Protective-serv,White,Husband,State-gov
12089,Divorced,United-States,Female,39,0,0,Some-college,35,Adm-clerical,White,Unmarried,State-gov
1212,Divorced,United-States,Female,31,0,0,Some-college,20,Craft-repair,White,Unmarried,Private
12256,Married-civ-spouse,United-States,Male,73,0,0,11th,15,Machine-op-inspct,White,Husband,Private
12331,Never-married,United-States,Male,36,0,0,Some-college,40,Craft-repair,White,Not-in-family,Private
12373,Never-married,United-States,Male,17,0,0,10th,40,?,White,Own-child,?
12486,Married-civ-spouse,United-States,Male,59,0,1887,Some-college,55,Craft-repair,White,Husband,Private
12512,Married-civ-spouse,United-States,Male,46,0,1628,Some-college,40,Machine-op-inspct,White,Husband,Private
12574,Married-civ-spouse,United-States,Female,56,0,0,HS-grad,35,Sales,White,Wife,Private
1271,Married-civ-spouse,United-States,Male,27,0,0,Some-college,40,Other-service,White,Husband,Private
12810,Married-civ-spouse,United-States,Male,47,0,0,11th,40,Other-service,White,Husband,Private
12908,Married-civ-spouse,United-States,Male,65,1797,0,11th,40,?,White,Husband,?
1324,Married-civ-spouse,United-States,Male,39,0,0,HS-grad,40,Adm-clerical,White,Husband,Private
13250,Divorced,United-States,Female,24,0,0,HS-grad,40,Exec-managerial,White,Not-in-family,Private
13401,Married-civ-spouse,United-States,Male,26,0,0,HS-grad,40,Craft-repair,White,Husband,Private
13567,Never-married,United-States,Female,22,0,0,Assoc-voc,35,Prof-specialty,Black,Unmarried,Private
1357,Never-married,United-States,Male,31,0,0,Bachelors,37,Tech-support,White,Not-in-family,Private
1364,Never-married,United-States,Female,31,0,0,Assoc-voc,40,Exec-managerial,White,Not-in-family,Federal-gov
13684,Married-civ-spouse,United-States,Male,42,0,0,Assoc-voc,40,Craft-repair,White,Husband,Private
13878,Never-married,United-States,Female,18,0,0,Some-college,25,Other-service,White,Own-child,Private
13905,Married-civ-spouse,United-States,Male,47,0,1887,Some-college,40,Transport-moving,White,Husband,Local-gov
13990,Married-civ-spouse,United-States,Male,20,0,0,HS-grad,40,Tech-support,White,Other-relative,Private
14010,Divorced,United-States,Female,45,4687,0,Bachelors,35,Adm-clerical,White,Unmarried,Private
14105,Married-civ-spouse,United-States,Male,51,0,0,HS-grad,40,Machine-op-inspct,Black,Husband,Private
14235,Married-civ-spouse,United-States,Male,48,0,0,Bachelors,55,Craft-repair,White,Husband,Private
14334,Never-married,United-States,Female,73,0,0,HS-grad,36,Other-service,White,Not-in-family,Self-emp-not-inc
14362,Married-civ-spouse,United-States,Male,35,0,0,HS-grad,62,Sales,White,Husband,Self-emp-inc
1441,Married-civ-spouse,United-States,Male,61,0,0,HS-grad,16,?,White,Husband,?
14567,Widowed,United-States,Female,60,0,0,HS-grad,35,Adm-clerical,White,Not-in-family,State-gov
14662,Married-civ-spouse,United-States,Male,55,0,0,11th,45,Exec-managerial,White,Husband,Private
14795,Married-civ-spouse,United-States,Male,59,0,1485,HS-grad,45,Craft-repair,White,Husband,Private
14879,Married-civ-spouse,United-States,Male,51,0,0,7th-8th,40,Transport-moving,White,Husband,Local-gov
14971,Married-civ-spouse,United-States,Male,36,0,0,HS-grad,50,Other-service,White,Husband,Private
14993,Never-married,United-States,Female,36,0,0,Bachelors,35,Prof-specialty,White,Own-child,Private
15051,Married-civ-spouse,United-States,Male,35,0,0,Some-college,40,Sales,White,Husband,Private
15088,Divorced,United-States,Female,53,0,0,HS-grad,35,Sales,White,Not-in-family,Private
15089,Married-civ-spouse,United-States,Male,38,0,0,Bachelors,50,Sales,White,Husband,Private
15103,Married-civ-spouse,United-States,Male,50,5013,0,HS-grad,45,Craft-repair,White,Husband,Private
15280,Married-civ-spouse,United-States,Male,30,0,0,Assoc-acdm,40,Sales,White,Husband,Private
15404,Divorced,United-States,Male,40,0,0,HS-grad,50,Craft-repair,White,Not-in-family,Private
15422,Separated,United-States,Male,42,0,0,HS-grad,15,Machine-op-inspct,White,Not-in-family,Private
15436,Married-civ-spouse,United-States,Male,30,5178,0,Doctorate,75,Prof-specialty,White,Husband,Private
15442,Divorced,United-States,Male,26,0,0,HS-grad,40,Machine-op-inspct,White,Not-in-family,Private
1545,Married-civ-spouse,United-States,Male,27,0,0,Bachelors,40,Craft-repair,White,Husband,Private
1549,Never-married,United-States,Female,27,0,0,10th,40,Machine-op-inspct,White,Unmarried,Private
15571,Married-civ-spouse,United-States,Male,50,0,0,Some-college,40,Exec-managerial,White,Husband,Federal-gov
15598,Married-civ-spouse,United-States,Male,63,0,0,HS-grad,4,?,White,Husband,?
15613,Never-married,?,Female,22,0,0,Assoc-voc,10,Adm-clerical,White,Own-child,Local-gov
15803,Never-married,United-States,Female,20,0,0,Assoc-acdm,25,Sales,White,Own-child,Private
15833,Never-married,United-States,Female,23,0,0,Some-college,40,Sales,White,Own-child,Private
16057,Never-married,United-States,Male,32,0,0,Some-college,40,Handlers-cleaners,White,Own-child,Private
16086,Married-civ-spouse,United-States,Female,53,0,0,12th,40,Adm-clerical,White,Wife,Private
16160,Widowed,United-States,Female,62,0,0,HS-grad,40,Adm-clerical,White,Unmarried,Federal-gov
16272,Married-civ-spouse,United-States,Male,63,0,0,Some-college,40,Prof-specialty,White,Husband,Private
16565,Never-married,United-States,Male,35,0,0,Assoc-voc,40,Craft-repair,White,Not-in-family,Private
16790,Married-civ-spouse,United-States,Male,51,0,0,Bachelors,70,Prof-specialty,White,Husband,Private
16917,Never-married,United-States,Male,36,0,0,HS-grad,40,Handlers-cleaners,White,Own-child,Private
17004,Married-civ-spouse,United-States,Male,52,0,0,HS-grad,40,Sales,White,Husband,Private
17111,Divorced,Germany,Female,45,0,0,Bachelors,40,Adm-clerical,White,Unmarried,Private
17176,Married-civ-spouse,Scotland,Female,40,0,0,Some-college,40,Other-service,White,Wife,Private
17290,Never-married,United-States,Male,31,0,0,HS-grad,40,Other-service,White,Own-child,Private
17334,Married-civ-spouse,Mexico,Male,37,0,0,10th,40,Machine-op-inspct,White,Husband,Private
17380,Divorced,United-States,Female,41,0,0,Assoc-voc,44,Adm-clerical,White,Unmarried,Local-gov
17396,Married-civ-spouse,United-States,Male,58,0,0,HS-grad,20,Farming-fishing,White,Husband,Private
17420,Divorced,United-States,Female,57,0,0,Assoc-acdm,40,Prof-specialty,Black,Not-in-family,Private
17612,Married-civ-spouse,United-States,Male,60,7298,0,Bachelors,60,Exec-managerial,White,Husband,Self-emp-inc
17674,Never-married,United-States,Male,36,0,0,HS-grad,90,Exec-managerial,Black,Unmarried,State-gov
17675,Married-civ-spouse,United-States,Male,68,20051,0,Some-college,40,Sales,White,Husband,Self-emp-not-inc
17928,Married-civ-spouse,Cuba,Female,29,0,0,HS-grad,40,Other-service,White,Wife,Private
18100,Married-civ-spouse,United-States,Male,33,0,0,HS-grad,40,Craft-repair,White,Husband,Private
18141,Married-civ-spouse,United-States,Male,79,0,0,Assoc-voc,20,Sales,White,Husband,Self-emp-not-inc
18249,Divorced,United-States,Male,29,0,0,HS-grad,40,Machine-op-inspct,White,Unmarried,Private
18279,Married-civ-spouse,England,Female,72,0,0,HS-grad,50,Exec-managerial,White,Wife,Private
18285,Married-civ-spouse,United-States,Male,50,0,0,HS-grad,65,Sales,White,Husband,Private
1847,Never-married,Puerto-Rico,Female,21,0,0,Some-college,40,Other-service,White,Own-child,Private
