record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10307,Mexico,Male,White,Married-civ-spouse,Private,5th-6th,Machine-op-inspct,Husband,45
10436,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,25
10519,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,25
10721,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,29
10820,United-States,Female,White,Married-civ-spouse,?,Bachelors,?,Wife,39
10996,United-States,Male,White,Married-civ-spouse,State-gov,Assoc-acdm,Protective-serv,Husband,39
10998,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,65
11320,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,26
11366,United-States,Female,White,Separated,State-gov,HS-grad,Other-service,Unmarried,37
11448,United-States,Male,White,Never-married,Private,Bachelors,Craft-repair,Not-in-family,41
11531,United-States,Female,White,Never-married,Local-gov,HS-grad,Adm-clerical,Not-in-family,45
11583,United-States,Female,White,Separated,Private,Some-college,Other-service,Own-child,20
1170,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,51
11770,United-States,Female,White,Widowed,?,HS-grad,?,Not-in-family,78
12006,United-States,Male,White,Married-civ-spouse,Local-gov,Assoc-voc,Craft-repair,Husband,48
1206,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Protective-serv,Husband,61
12060,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,36
12306,United-States,Female,White,Widowed,Private,7th-8th,Machine-op-inspct,Not-in-family,68
12353,United-States,Male,White,Never-married,Private,Assoc-acdm,Sales,Not-in-family,27
1241,United-States,Female,White,Separated,Private,HS-grad,Adm-clerical,Not-in-family,55
12520,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Other-relative,22
12540,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,50
12571,United-States,Female,White,Never-married,Private,Assoc-voc,Priv-house-serv,Own-child,29
12591,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,56
12610,United-States,Female,White,Divorced,Private,Masters,Adm-clerical,Not-in-family,42
12730,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Prof-school,Prof-specialty,Husband,44
12909,United-States,Female,White,Widowed,Self-emp-not-inc,HS-grad,Adm-clerical,Unmarried,56
12998,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,52
13039,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,41
13064,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Wife,42
13408,United-States,Female,White,Divorced,Private,Assoc-acdm,Prof-specialty,Unmarried,26
13496,France,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,34
13595,United-States,Male,White,Never-married,Self-emp-not-inc,Assoc-acdm,Other-service,Own-child,29
13614,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Other-relative,22
13627,Cuba,Female,White,Married-spouse-absent,Private,HS-grad,Sales,Unmarried,47
13648,Vietnam,Female,White,Divorced,Private,HS-grad,Craft-repair,Other-relative,40
13698,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,37
13839,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,47
13877,Germany,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,42
14218,Mexico,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,47
14652,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Wife,38
14666,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,21
1480,United-States,Male,White,Married-spouse-absent,Self-emp-not-inc,HS-grad,Craft-repair,Not-in-family,43
14864,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Sales,Husband,37
15069,United-States,Female,White,Never-married,?,Some-college,?,Not-in-family,23
15132,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,31
1520,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Protective-serv,Husband,47
15458,United-States,Male,White,Divorced,Private,9th,Adm-clerical,Not-in-family,56
15536,Mexico,Male,Black,Never-married,Private,Some-college,Exec-managerial,Not-in-family,21
15630,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Machine-op-inspct,Husband,27
15813,United-States,Male,White,Married-civ-spouse,Federal-gov,Prof-school,Prof-specialty,Husband,32
15817,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,52
15866,United-States,Female,White,Never-married,State-gov,HS-grad,Other-service,Own-child,23
15975,United-States,Male,White,Never-married,Private,Some-college,Protective-serv,Not-in-family,57
16055,United-States,Female,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Wife,36
16072,United-States,Male,White,Divorced,Private,Some-college,Transport-moving,Not-in-family,41
16079,?,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,51
16133,United-States,Female,Black,Never-married,Local-gov,Bachelors,Adm-clerical,Other-relative,25
16174,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,42
16196,United-States,Female,White,Divorced,?,Some-college,?,Not-in-family,57
16236,United-States,Male,White,Never-married,Private,Assoc-voc,Machine-op-inspct,Not-in-family,27
16297,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,46
16310,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,52
16449,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Handlers-cleaners,Husband,32
16472,United-States,Male,Black,Never-married,Private,Assoc-acdm,Other-service,Own-child,23
16496,United-States,Male,White,Married-civ-spouse,Private,Masters,Sales,Husband,51
16527,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,46
16592,United-States,Male,Black,Separated,Private,HS-grad,Transport-moving,Unmarried,40
16709,United-States,Male,White,Divorced,Private,HS-grad,Transport-moving,Not-in-family,36
16734,United-States,Male,White,Married-civ-spouse,Private,9th,Craft-repair,Husband,27
16742,United-States,Male,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,33
16755,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,38
16800,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,69
16845,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,23
16846,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Not-in-family,35
16849,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,40
16905,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,62
16921,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,9th,Craft-repair,Husband,27
16965,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,44
1702,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,24
17058,United-States,Male,White,Never-married,Private,Assoc-acdm,Exec-managerial,Not-in-family,28
17086,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,45
17633,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Sales,Husband,62
17653,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,34
17680,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Own-child,23
17745,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,62
17847,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Not-in-family,26
18031,Vietnam,Female,Asian-Pac-Islander,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,44
18147,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,58
18188,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,32
18320,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Wife,38
18414,Japan,Female,White,Married-civ-spouse,Private,Prof-school,Exec-managerial,Wife,41
18448,United-States,Male,Black,Separated,Private,10th,Transport-moving,Unmarried,54
18594,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Unmarried,37
18758,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,26
18908,United-States,Female,White,Divorced,Private,HS-grad,Sales,Not-in-family,55
19082,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,51
1911,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Unmarried,39
19115,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,45
19158,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,25
19301,United-States,Female,White,Divorced,Private,Some-college,Prof-specialty,Unmarried,30
19319,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,38
19325,United-States,Male,White,Divorced,Federal-gov,Assoc-voc,Prof-specialty,Unmarried,60
19353,United-States,Male,White,Widowed,Self-emp-not-inc,Masters,Prof-specialty,Not-in-family,67
19573,United-States,Female,Black,Never-married,Private,Some-college,Adm-clerical,Own-child,22
19843,United-States,Female,White,Never-married,Private,Masters,Adm-clerical,Own-child,40
19897,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,29
19913,United-States,Female,White,Divorced,Private,Assoc-acdm,Adm-clerical,Unmarried,35
20129,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Sales,Husband,41
20306,United-States,Female,Black,Never-married,Self-emp-not-inc,HS-grad,Prof-specialty,Own-child,26
20598,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Wife,41
20704,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Adm-clerical,Husband,60
20929,United-States,Female,White,Married-civ-spouse,Private,Some-college,Tech-support,Wife,40
20984,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,47
20986,United-States,Female,White,Married-civ-spouse,Federal-gov,Some-college,Tech-support,Wife,32
21043,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,29
2133,United-States,Female,White,Never-married,Private,Masters,Exec-managerial,Not-in-family,27
21401,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Prof-specialty,Husband,38
21414,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Prof-school,Prof-specialty,Husband,40
21559,United-States,Male,White,Divorced,Private,Some-college,Craft-repair,Not-in-family,40
21660,United-States,Male,Black,Never-married,State-gov,HS-grad,Handlers-cleaners,Not-in-family,34
21835,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Exec-managerial,Husband,88
22217,United-States,Male,Black,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,53
22264,?,Female,White,Never-married,Private,Some-college,Sales,Other-relative,31
22352,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,26
22498,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Handlers-cleaners,Husband,45
22569,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Wife,35
22597,United-States,Female,White,Separated,Private,Some-college,Sales,Unmarried,23
22623,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,11th,Farming-fishing,Husband,60
22718,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,53
22763,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,22
22823,United-States,Female,White,Divorced,State-gov,HS-grad,Protective-serv,Unmarried,35
22993,Nicaragua,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,30
23015,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,42
23460,China,Male,White,Married-civ-spouse,Private,Doctorate,Prof-specialty,Husband,69
23568,United-States,Male,White,Divorced,Private,Some-college,Craft-repair,Not-in-family,41
23575,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Other-service,Husband,43
2372,United-States,Male,White,Married-civ-spouse,?,9th,?,Husband,74
23778,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Other-service,Husband,68
23898,United-States,Male,White,Married-spouse-absent,Private,Some-college,Adm-clerical,Not-in-family,57
239,United-States,Male,White,Never-married,Private,HS-grad,Transport-moving,Own-child,23
24011,United-States,Female,White,Never-married,Private,11th,Tech-support,Own-child,21
24048,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Prof-specialty,Husband,47
24131,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Doctorate,Prof-specialty,Husband,46
24142,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,47
24180,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Sales,Husband,50
24220,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Wife,40
24433,United-States,Female,White,Never-married,Federal-gov,Some-college,Adm-clerical,Own-child,40
24489,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Other-service,Husband,55
24693,Philippines,Male,Asian-Pac-Islander,Never-married,Private,9th,Handlers-cleaners,Own-child,22
24719,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,33
24851,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,23
24890,?,Female,Black,Separated,Private,10th,Craft-repair,Unmarried,32
25050,United-States,Male,White,Never-married,Private,HS-grad,Sales,Own-child,21
25106,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Machine-op-inspct,Husband,51
2512,?,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,47
25311,Germany,Male,White,Never-married,Private,Prof-school,Prof-specialty,Unmarried,29
25317,Mexico,Male,White,Never-married,Private,5th-6th,Handlers-cleaners,Not-in-family,21
25323,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Wife,40
25672,Poland,Male,White,Separated,Private,HS-grad,Handlers-cleaners,Unmarried,42
25735,Vietnam,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Other-relative,30
25895,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,43
25919,United-States,Female,Black,Divorced,Private,HS-grad,Craft-repair,Unmarried,53
25992,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,56
26011,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,28
26230,United-States,Male,White,Never-married,Private,HS-grad,Exec-managerial,Unmarried,54
2624,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Craft-repair,Husband,42
26275,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Exec-managerial,Husband,53
26291,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,39
26377,?,Female,White,Never-married,Local-gov,Assoc-acdm,Adm-clerical,Own-child,24
26434,United-States,Female,White,Never-married,Private,Some-college,Craft-repair,Own-child,24
26441,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,58
26533,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Adm-clerical,Husband,27
26610,United-States,Female,Black,Married-civ-spouse,Local-gov,Some-college,Adm-clerical,Wife,41
26692,Jamaica,Male,Black,Never-married,Private,Assoc-acdm,Handlers-cleaners,Own-child,22
26814,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Craft-repair,Husband,35
26917,United-States,Female,White,Never-married,Private,HS-grad,Exec-managerial,Not-in-family,28
27074,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Transport-moving,Husband,42
27118,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,60
27308,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Doctorate,Prof-specialty,Husband,50
27347,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,39
27439,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,38
27474,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Craft-repair,Husband,30
27590,United-States,Male,White,Never-married,?,Some-college,?,Not-in-family,36
27605,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Sales,Husband,56
277,United-States,Female,White,Never-married,Private,Some-college,Exec-managerial,Not-in-family,35
27963,United-States,Female,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Wife,65
28129,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,41
28318,United-States,Male,Black,Married-civ-spouse,Self-emp-not-inc,Masters,Prof-specialty,Husband,38
28410,United-States,Male,Black,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,23
28585,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Transport-moving,Husband,38
28601,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,44
