record_id,marital-status,relationship,sex,age,capital-loss,education,occupation,race,workclass
10060,Married-civ-spouse,Husband,Male,52,0,HS-grad,Transport-moving,White,Private
10072,Never-married,Not-in-family,Female,18,0,Some-college,Machine-op-inspct,White,Private
10113,Married-civ-spouse,Husband,Male,43,0,Some-college,Machine-op-inspct,Black,Private
10198,Married-civ-spouse,Husband,Male,43,0,HS-grad,Craft-repair,White,Private
10533,Married-civ-spouse,Husband,Male,38,0,Masters,Prof-specialty,White,Private
10631,Never-married,Own-child,Male,20,0,Some-college,Other-service,White,Private
10684,Widowed,Not-in-family,Female,64,0,11th,?,White,?
10973,Divorced,Not-in-family,Female,50,0,Some-college,Craft-repair,Black,Private
10976,Married-civ-spouse,Husband,Male,48,0,HS-grad,Craft-repair,White,Self-emp-not-inc
11468,Married-civ-spouse,Husband,Male,56,0,Some-college,Craft-repair,White,Local-gov
11473,Never-married,Not-in-family,Male,36,0,HS-grad,Machine-op-inspct,White,Private
11477,Never-married,Unmarried,Female,36,0,10th,Sales,White,Private
11582,Married-civ-spouse,Husband,Male,51,0,Some-college,Craft-repair,White,Private
11848,Married-civ-spouse,Husband,Male,40,0,Masters,Prof-specialty,White,Local-gov
12039,Married-civ-spouse,Husband,Male,39,0,HS-grad,Craft-repair,White,Private
12055,Divorced,Not-in-family,Female,55,1617,HS-grad,Adm-clerical,White,State-gov
12460,Married-civ-spouse,Husband,Male,32,0,Some-college,Transport-moving,White,Private
12541,Never-married,Not-in-family,Female,40,0,Prof-school,Exec-managerial,White,Private
12734,Never-married,Own-child,Female,18,0,Some-college,Sales,Black,Private
12787,Never-married,Own-child,Female,17,0,11th,Adm-clerical,White,Local-gov
12835,Separated,Not-in-family,Male,44,0,11th,Tech-support,Black,State-gov
1286,Married-civ-spouse,Husband,Male,47,0,Bachelors,Sales,White,Self-emp-not-inc
1296,Never-married,Not-in-family,Male,21,0,Some-college,Other-service,White,Private
1299,Married-civ-spouse,Husband,Male,22,0,HS-grad,Craft-repair,White,Private
12990,Married-civ-spouse,Husband,Male,48,0,HS-grad,Transport-moving,White,Self-emp-not-inc
13101,Widowed,Unmarried,Female,77,0,7th-8th,Priv-house-serv,White,Private
13192,Married-civ-spouse,Husband,Male,34,0,Bachelors,Adm-clerical,White,Private
13200,Married-civ-spouse,Husband,Male,35,0,Prof-school,Prof-specialty,White,Self-emp-not-inc
13216,Never-married,Not-in-family,Female,54,0,Bachelors,Other-service,White,Private
13235,Divorced,Not-in-family,Female,39,1721,Some-college,Other-service,White,Private
13251,Married-civ-spouse,Husband,Male,44,0,HS-grad,Farming-fishing,White,Self-emp-not-inc
13409,Never-married,Own-child,Male,20,0,Some-college,Craft-repair,White,Private
13433,Divorced,Not-in-family,Male,47,0,Some-college,Craft-repair,White,Self-emp-not-inc
1345,Never-married,Own-child,Female,35,0,Bachelors,Adm-clerical,White,Private
13807,Never-married,Own-child,Female,17,0,11th,Sales,White,Private
13819,Married-civ-spouse,Husband,Male,28,0,HS-grad,Exec-managerial,White,Private
13835,Married-civ-spouse,Husband,Male,24,0,Assoc-voc,Craft-repair,White,Private
14048,Married-civ-spouse,Husband,Male,47,0,HS-grad,Craft-repair,White,Private
14110,Married-civ-spouse,Husband,Male,57,0,Some-college,Craft-repair,White,Private
14146,Married-civ-spouse,Husband,Male,50,0,9th,Machine-op-inspct,White,Private
14164,Never-married,Own-child,Female,20,0,Some-college,Other-service,White,Private
14170,Divorced,Not-in-family,Female,49,0,Some-college,Other-service,White,Private
1422,Never-married,Own-child,Female,40,0,Assoc-acdm,Adm-clerical,White,Private
14448,Never-married,Unmarried,Female,21,0,HS-grad,Other-service,Black,Private
14457,Never-married,Own-child,Male,21,0,Some-college,Sales,White,Private
14557,Never-married,Not-in-family,Male,22,0,Some-college,Sales,Asian-Pac-Islander,Private
14615,Widowed,Not-in-family,Female,67,0,Bachelors,Adm-clerical,White,Federal-gov
14758,Never-married,Not-in-family,Male,32,0,Some-college,Craft-repair,Black,Private
14759,Separated,Unmarried,Female,37,0,Assoc-voc,Prof-specialty,White,Private
14782,Divorced,Unmarried,Female,57,0,HS-grad,Sales,White,Private
14825,Never-married,Not-in-family,Male,29,0,Assoc-voc,Tech-support,White,Private
14827,Married-civ-spouse,Husband,Male,33,0,Bachelors,Prof-specialty,White,Private
