record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10139,United-States,Male,White,Married-civ-spouse,?,5th-6th,?,Husband,77
10149,Puerto-Rico,Female,White,Married-civ-spouse,Private,Bachelors,Sales,Wife,42
10151,United-States,Female,Black,Married-civ-spouse,Local-gov,HS-grad,Other-service,Wife,52
10305,India,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,33
10439,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,18
10692,United-States,Female,White,Married-civ-spouse,Local-gov,HS-grad,Adm-clerical,Wife,38
11054,United-States,Male,White,Never-married,Private,Some-college,Transport-moving,Own-child,19
1113,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Sales,Wife,69
11207,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,65
11234,United-States,Female,White,Never-married,?,11th,?,Own-child,17
11291,United-States,Female,White,Never-married,Private,Assoc-voc,Tech-support,Own-child,28
11350,United-States,Male,White,Never-married,Self-emp-not-inc,Bachelors,Prof-specialty,Not-in-family,45
11387,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,38
1143,United-States,Male,White,Never-married,Private,Bachelors,Other-service,Not-in-family,40
11552,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Other-service,Husband,61
11592,United-States,Male,Black,Never-married,Private,10th,Farming-fishing,Own-child,36
11759,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Other-relative,56
11765,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,23
11941,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,58
11955,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,44
12063,United-States,Male,White,Never-married,Private,5th-6th,Machine-op-inspct,Not-in-family,49
12162,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Unmarried,35
12169,Italy,Male,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,25
12173,United-States,Female,White,Married-civ-spouse,Local-gov,HS-grad,Prof-specialty,Other-relative,55
12228,United-States,Male,White,Divorced,Private,Some-college,Sales,Not-in-family,40
1248,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,34
12560,?,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,34
12605,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,56
12882,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,46
12981,United-States,Male,White,Never-married,?,10th,?,Own-child,17
13066,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Craft-repair,Husband,47
13173,United-States,Female,White,Divorced,Private,Some-college,Machine-op-inspct,Unmarried,39
13342,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,47
13475,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,21
13488,United-States,Female,Black,Never-married,Private,Assoc-voc,Craft-repair,Unmarried,23
1352,United-States,Female,White,Separated,Private,HS-grad,Sales,Own-child,42
13585,United-States,Female,White,Divorced,Private,HS-grad,Prof-specialty,Not-in-family,39
13593,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,28
13901,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Exec-managerial,Husband,55
14046,Puerto-Rico,Female,White,Never-married,Federal-gov,HS-grad,Adm-clerical,Unmarried,61
14218,Mexico,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,47
14301,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Own-child,33
14352,Cuba,Female,White,Married-spouse-absent,Private,Bachelors,Adm-clerical,Not-in-family,44
14366,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,42
14394,United-States,Female,White,Never-married,Local-gov,Masters,Exec-managerial,Not-in-family,43
1453,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Exec-managerial,Husband,49
14604,United-States,Female,White,Widowed,Private,Some-college,Adm-clerical,Not-in-family,80
14677,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,9th,Craft-repair,Husband,35
14974,Jamaica,Female,Black,Never-married,Private,HS-grad,Other-service,Own-child,35
15077,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Assoc-acdm,Sales,Husband,40
15084,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,40
15090,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,49
15165,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Transport-moving,Husband,57
15275,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,25
15376,United-States,Male,White,Divorced,Self-emp-not-inc,HS-grad,Exec-managerial,Not-in-family,55
1547,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,38
15505,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,39
15530,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,26
15604,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,50
15670,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,31
15727,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,38
15941,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Exec-managerial,Husband,58
15966,Portugal,Female,White,Separated,Private,HS-grad,Other-service,Unmarried,24
16007,United-States,Female,White,Never-married,State-gov,Masters,Prof-specialty,Not-in-family,26
16096,United-States,Female,White,Never-married,Private,10th,Sales,Own-child,17
16275,United-States,Female,White,Divorced,Private,HS-grad,Sales,Not-in-family,45
16299,Mexico,Female,White,Never-married,Private,Some-college,Sales,Own-child,22
1638,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Prof-specialty,Husband,34
16685,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,59
16777,United-States,Female,Black,Never-married,Private,HS-grad,Adm-clerical,Own-child,45
16981,United-States,Female,White,Widowed,Private,9th,Sales,Unmarried,71
17048,United-States,Female,White,Married-civ-spouse,Federal-gov,Bachelors,Exec-managerial,Wife,61
1714,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,31
17285,United-States,Male,White,Divorced,Self-emp-not-inc,Some-college,Machine-op-inspct,Not-in-family,29
17438,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Farming-fishing,Husband,51
17577,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,43
17578,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,27
17601,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Sales,Husband,31
17661,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Transport-moving,Husband,27
17684,United-States,Male,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,38
17763,United-States,Female,Black,Separated,Private,Assoc-voc,Machine-op-inspct,Not-in-family,46
17976,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,26
18040,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,53
18084,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Adm-clerical,Husband,34
18094,United-States,Male,White,Never-married,?,Some-college,?,Own-child,20
1823,United-States,Male,White,Never-married,?,Some-college,?,Own-child,19
18370,United-States,Male,White,Married-civ-spouse,Private,11th,Handlers-cleaners,Husband,30
18399,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Sales,Husband,39
18587,United-States,Female,White,Never-married,Private,Some-college,Exec-managerial,Not-in-family,23
18596,United-States,Female,White,Married-spouse-absent,Federal-gov,Bachelors,Exec-managerial,Not-in-family,59
18652,United-States,Male,White,Never-married,Private,11th,Handlers-cleaners,Own-child,17
18777,United-States,Female,White,Divorced,Private,11th,Craft-repair,Own-child,54
18984,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,61
18993,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,31
18995,United-States,Female,White,Divorced,Private,Assoc-acdm,Sales,Unmarried,46
19049,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,28
19404,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,50
19413,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Own-child,23
19445,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,52
19575,United-States,Female,Black,Separated,Private,Some-college,Sales,Other-relative,44
19612,United-States,Male,Asian-Pac-Islander,Never-married,Self-emp-not-inc,HS-grad,Farming-fishing,Own-child,18
19620,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,64
19780,United-States,Female,White,Married-spouse-absent,Private,Assoc-acdm,Adm-clerical,Other-relative,63
19801,United-States,Female,White,Divorced,Private,Some-college,Other-service,Unmarried,37
19822,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,29
19966,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Own-child,19
20051,United-States,Male,White,Divorced,Private,Masters,Exec-managerial,Not-in-family,54
20172,South,Male,Asian-Pac-Islander,Married-civ-spouse,Private,7th-8th,Other-service,Husband,63
20195,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,35
20210,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,43
20212,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Farming-fishing,Husband,41
20726,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,26
20944,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,40
20973,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,21
21025,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Not-in-family,19
21056,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,64
21216,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,42
21426,United-States,Female,Black,Never-married,State-gov,Some-college,Tech-support,Unmarried,36
21640,United-States,Male,Black,Never-married,State-gov,Some-college,Tech-support,Not-in-family,25
21812,United-States,Female,White,Widowed,?,Assoc-voc,?,Not-in-family,82
21982,United-States,Female,White,Never-married,Private,Some-college,Other-service,Not-in-family,18
21990,United-States,Female,White,Separated,Private,Assoc-voc,Prof-specialty,Unmarried,51
22072,United-States,Male,White,Married-civ-spouse,Private,11th,Craft-repair,Husband,36
22107,Mexico,Male,White,Never-married,Private,10th,Other-service,Other-relative,17
22155,Columbia,Female,White,Divorced,Private,Assoc-voc,Other-service,Unmarried,29
22309,United-States,Female,Black,Married-civ-spouse,State-gov,Some-college,Prof-specialty,Wife,30
22431,India,Male,Asian-Pac-Islander,Married-spouse-absent,Private,10th,Protective-serv,Not-in-family,59
22441,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Assoc-voc,Craft-repair,Husband,39
22502,United-States,Female,White,Never-married,?,10th,?,Not-in-family,19
2254,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,63
22551,United-States,Male,White,Never-married,Private,HS-grad,Exec-managerial,Own-child,25
22638,United-States,Female,White,Divorced,Private,Assoc-voc,Adm-clerical,Not-in-family,29
22654,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,32
22701,United-States,Female,White,Divorced,State-gov,Masters,Prof-specialty,Not-in-family,53
22706,United-States,Male,White,Never-married,Private,Bachelors,Sales,Own-child,24
22807,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,53
22875,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,31
22885,United-States,Female,White,Never-married,?,Some-college,?,Own-child,20
22997,United-States,Male,White,Never-married,?,Some-college,?,Own-child,19
23206,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,25
23372,United-States,Male,White,Never-married,Private,HS-grad,Tech-support,Own-child,22
23637,?,Female,White,Widowed,Self-emp-inc,Bachelors,Exec-managerial,Not-in-family,46
23670,United-States,Male,White,Never-married,?,Some-college,?,Own-child,26
23714,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Unmarried,39
24012,United-States,Male,White,Never-married,Private,Some-college,Transport-moving,Not-in-family,26
24058,United-States,Male,White,Never-married,Private,10th,Sales,Not-in-family,18
24180,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Sales,Husband,50
24215,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Transport-moving,Husband,58
24295,United-States,Male,Asian-Pac-Islander,Divorced,Private,Bachelors,Other-service,Not-in-family,31
2430,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,60
24319,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,44
