record_id,native-country,sex,workclass,age,capital-gain,capital-loss,education,hours-per-week,marital-status,race,relationship
10029,United-States,Male,Private,33,0,0,Some-college,40,Never-married,White,Not-in-family
10161,United-States,Male,?,18,0,0,Some-college,30,Never-married,White,Own-child
10168,United-States,Female,Private,28,0,0,Bachelors,40,Never-married,White,Not-in-family
10172,United-States,Male,Self-emp-inc,68,0,0,HS-grad,40,Married-civ-spouse,White,Husband
10211,United-States,Male,State-gov,44,0,0,Bachelors,44,Married-civ-spouse,White,Husband
10259,United-States,Male,Private,45,0,0,Some-college,40,Divorced,White,Not-in-family
10349,United-States,Male,Private,44,0,0,Bachelors,50,Divorced,White,Not-in-family
10377,United-States,Male,Self-emp-inc,44,0,0,HS-grad,96,Married-civ-spouse,White,Husband
10469,United-States,Male,Private,48,0,0,HS-grad,65,Divorced,White,Not-in-family
10558,United-States,Male,Private,41,0,0,Some-college,40,Separated,Black,Not-in-family
10656,United-States,Male,Private,40,0,0,HS-grad,40,Married-civ-spouse,White,Husband
10750,United-States,Male,Private,64,0,0,HS-grad,40,Married-civ-spouse,White,Husband
10783,United-States,Female,Private,19,0,0,10th,20,Never-married,Black,Other-relative
10975,United-States,Male,Private,29,0,0,HS-grad,30,Never-married,Black,Own-child
10984,United-States,Female,Self-emp-not-inc,19,0,0,HS-grad,30,Never-married,Asian-Pac-Islander,Own-child
10986,United-States,Male,Private,38,0,1977,HS-grad,99,Married-civ-spouse,White,Husband
1114,United-States,Female,Private,34,0,0,HS-grad,40,Divorced,White,Own-child
11312,United-States,Female,Private,50,0,0,Bachelors,8,Divorced,White,Not-in-family
11343,United-States,Male,Self-emp-not-inc,37,27828,0,HS-grad,40,Divorced,White,Not-in-family
11414,United-States,Male,Private,41,0,0,HS-grad,44,Never-married,White,Not-in-family
11453,United-States,Male,Private,44,0,0,7th-8th,80,Married-civ-spouse,White,Husband
11550,United-States,Female,?,21,0,0,HS-grad,10,Never-married,White,Own-child
11554,United-States,Male,State-gov,30,0,0,Bachelors,72,Married-civ-spouse,White,Husband
11575,United-States,Female,Private,39,0,0,HS-grad,22,Divorced,White,Unmarried
11712,United-States,Male,Private,36,0,0,HS-grad,40,Married-civ-spouse,White,Husband
12002,United-States,Male,Private,22,0,0,HS-grad,40,Never-married,White,Own-child
12145,United-States,Male,Private,64,0,0,HS-grad,5,Married-civ-spouse,White,Husband
12198,United-States,Male,?,18,0,0,11th,16,Never-married,White,Own-child
12365,United-States,Male,Self-emp-not-inc,30,0,0,HS-grad,25,Married-civ-spouse,White,Husband
12440,United-States,Male,Self-emp-not-inc,31,0,0,Bachelors,48,Married-civ-spouse,White,Husband
1261,United-States,Male,Private,53,0,0,HS-grad,48,Married-civ-spouse,White,Husband
12625,South,Male,Private,51,0,0,Doctorate,99,Married-civ-spouse,Asian-Pac-Islander,Husband
12629,United-States,Male,Federal-gov,48,0,0,Some-college,30,Never-married,White,Not-in-family
12714,United-States,Male,State-gov,47,0,0,Doctorate,40,Married-civ-spouse,White,Husband
12901,Ireland,Male,Private,30,0,0,HS-grad,40,Never-married,White,Not-in-family
1305,United-States,Male,Private,37,0,0,Bachelors,43,Married-civ-spouse,White,Husband
