record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10030,United-States,Male,White,Married-civ-spouse,Private,11th,Sales,Husband,35
10040,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,18
10080,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,31
10167,Mexico,Male,White,Never-married,Private,5th-6th,Machine-op-inspct,Not-in-family,22
10233,South,Male,Asian-Pac-Islander,Never-married,Private,Some-college,Sales,Not-in-family,33
10357,United-States,Female,White,Married-civ-spouse,Private,Some-college,Other-service,Wife,33
10494,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,37
10526,United-States,Female,White,Never-married,State-gov,Bachelors,Prof-specialty,Not-in-family,23
10608,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Husband,28
10635,United-States,Female,White,Married-civ-spouse,Federal-gov,Bachelors,Exec-managerial,Wife,36
10683,United-States,Female,White,Divorced,?,Bachelors,?,Not-in-family,46
11113,United-States,Female,White,Divorced,Private,HS-grad,Sales,Not-in-family,55
11175,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,21
11189,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,59
11240,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Assoc-voc,Farming-fishing,Husband,45
11272,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,40
11335,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,50
1135,Jamaica,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,31
1137,United-States,Male,Black,Married-civ-spouse,Federal-gov,HS-grad,Adm-clerical,Husband,35
11395,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,46
11433,United-States,Male,White,Separated,Private,HS-grad,Other-service,Not-in-family,26
1154,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Husband,43
11582,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,51
1163,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,54
11956,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Transport-moving,Husband,52
12173,United-States,Female,White,Married-civ-spouse,Local-gov,HS-grad,Prof-specialty,Other-relative,55
12200,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Exec-managerial,Wife,57
12519,United-States,Male,Black,Never-married,Private,Some-college,Craft-repair,Not-in-family,33
12604,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,46
12618,United-States,Female,White,Separated,Private,Some-college,Adm-clerical,Unmarried,44
12736,United-States,Female,White,Divorced,Private,Assoc-voc,Adm-clerical,Not-in-family,58
12764,United-States,Female,White,Divorced,State-gov,Masters,Adm-clerical,Not-in-family,31
12891,United-States,Male,White,Married-civ-spouse,Private,11th,Machine-op-inspct,Husband,51
12915,United-States,Male,White,Never-married,Private,HS-grad,Sales,Other-relative,18
13132,United-States,Female,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Wife,50
13149,United-States,Female,White,Divorced,Private,HS-grad,Sales,Unmarried,47
13157,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Other-relative,44
13218,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,36
13257,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,49
13351,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Machine-op-inspct,Husband,26
1337,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,40
13453,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,25
13574,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,32
13707,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Protective-serv,Husband,50
14015,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Sales,Husband,49
14077,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Tech-support,Husband,40
14152,Germany,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,37
14158,United-States,Male,White,Separated,Private,HS-grad,Craft-repair,Unmarried,56
14246,?,Male,White,Married-civ-spouse,Self-emp-inc,1st-4th,Sales,Husband,42
1428,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,19
14432,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,21
