record_id,occupation,relationship,workclass
100,Exec-managerial,Husband,Private
10018,Sales,Own-child,Private
10139,?,Husband,?
10512,Craft-repair,Husband,Private
10685,Prof-specialty,Own-child,Private
10737,Exec-managerial,Husband,Private
10857,Craft-repair,Husband,Private
10988,Craft-repair,Unmarried,Private
11093,Prof-specialty,Husband,Private
11135,Prof-specialty,Unmarried,Local-gov
1136,Exec-managerial,Husband,Self-emp-not-inc
11377,Craft-repair,Husband,Private
11516,?,Own-child,?
11629,Farming-fishing,Not-in-family,Private
11639,Transport-moving,Husband,Private
11661,Adm-clerical,Not-in-family,State-gov
1168,Prof-specialty,Husband,Self-emp-not-inc
11809,Craft-repair,Husband,Private
11864,?,Other-relative,?
11890,Sales,Not-in-family,Self-emp-inc
11893,Exec-managerial,Not-in-family,Private
11920,Prof-specialty,Husband,State-gov
12033,Sales,Unmarried,Private
12055,Adm-clerical,Not-in-family,State-gov
12127,Exec-managerial,Not-in-family,Private
12136,Other-service,Own-child,Private
12365,Prof-specialty,Husband,Self-emp-not-inc
12497,Craft-repair,Husband,Self-emp-not-inc
12509,Craft-repair,Husband,Private
12589,?,Unmarried,?
12646,Transport-moving,Husband,Private
12737,Craft-repair,Husband,Private
12818,Sales,Husband,Self-emp-inc
12849,?,Not-in-family,?
12898,Other-service,Husband,Private
12911,Other-service,Own-child,Private
1292,Transport-moving,Husband,Private
13083,Prof-specialty,Unmarried,Local-gov
1324,Adm-clerical,Husband,Private
13241,Prof-specialty,Husband,Local-gov
13270,Prof-specialty,Husband,Private
13452,Adm-clerical,Own-child,Private
1349,?,Husband,?
13502,Prof-specialty,Husband,Private
13523,Prof-specialty,Wife,Private
13677,Exec-managerial,Husband,Self-emp-not-inc
13850,Priv-house-serv,Unmarried,Private
13889,Sales,Husband,Private
14081,Exec-managerial,Unmarried,Private
14301,Adm-clerical,Own-child,Private
14370,?,Other-relative,?
14495,Adm-clerical,Not-in-family,Federal-gov
14618,?,Husband,?
14908,Sales,Own-child,Private
14976,Transport-moving,Husband,Private
15092,Adm-clerical,Own-child,Private
15128,Adm-clerical,Other-relative,Private
15175,Adm-clerical,Not-in-family,Private
15393,Farming-fishing,Own-child,Private
15428,Handlers-cleaners,Own-child,Private
15503,Adm-clerical,Wife,Private
15670,Craft-repair,Husband,Private
15729,Sales,Wife,Private
15730,Prof-specialty,Not-in-family,Local-gov
15749,Prof-specialty,Husband,Federal-gov
15801,Craft-repair,Husband,Private
15803,Sales,Own-child,Private
15815,Machine-op-inspct,Husband,Private
15935,Machine-op-inspct,Unmarried,Private
15955,Transport-moving,Husband,Private
16475,Craft-repair,Not-in-family,Private
16499,Sales,Husband,Private
16696,Exec-managerial,Husband,State-gov
16748,?,Own-child,?
16770,Craft-repair,Other-relative,Private
16789,Protective-serv,Husband,Local-gov
16801,Transport-moving,Husband,Private
16943,Craft-repair,Not-in-family,Private
1696,Exec-managerial,Wife,Private
17099,Sales,Own-child,Private
17125,Exec-managerial,Not-in-family,Private
17220,Craft-repair,Own-child,Private
17348,Machine-op-inspct,Unmarried,Private
17425,Adm-clerical,Not-in-family,Local-gov
17494,Machine-op-inspct,Wife,Private
1754,Exec-managerial,Husband,Self-emp-not-inc
17548,Exec-managerial,Husband,Federal-gov
17551,Exec-managerial,Husband,Private
17566,Prof-specialty,Husband,Private
17728,Craft-repair,Unmarried,Private
17829,Tech-support,Not-in-family,Private
17890,Machine-op-inspct,Husband,Private
17897,Craft-repair,Husband,Private
18010,?,Not-in-family,?
18201,?,Unmarried,?
18216,Adm-clerical,Husband,Private
18262,Prof-specialty,Husband,Private
18272,Prof-specialty,Husband,Private
18453,Exec-managerial,Husband,Federal-gov
18532,Craft-repair,Husband,Self-emp-not-inc
18734,Sales,Not-in-family,Private
18897,Handlers-cleaners,Not-in-family,Local-gov
19013,Craft-repair,Husband,Private
19053,Transport-moving,Not-in-family,Private
19067,Sales,Own-child,Private
19097,Prof-specialty,Unmarried,Local-gov
19127,Prof-specialty,Not-in-family,Private
19406,Handlers-cleaners,Own-child,Private
19491,Prof-specialty,Own-child,Private
19561,?,Own-child,?
19616,?,Husband,?
19671,Handlers-cleaners,Own-child,Private
19697,Craft-repair,Husband,Private
19924,Machine-op-inspct,Husband,Private
20142,Prof-specialty,Not-in-family,Private
20505,Handlers-cleaners,Husband,Private
2064,Adm-clerical,Not-in-family,Private
20900,Prof-specialty,Husband,Self-emp-not-inc
20916,Craft-repair,Not-in-family,Private
21092,Other-service,Own-child,Private
21125,?,Own-child,?
21132,Prof-specialty,Husband,Private
2117,Prof-specialty,Not-in-family,Local-gov
21203,Exec-managerial,Husband,Private
21271,Transport-moving,Husband,Private
21380,Machine-op-inspct,Wife,Private
21530,Prof-specialty,Husband,Private
21690,Adm-clerical,Not-in-family,Federal-gov
21739,Other-service,Not-in-family,Private
21797,Exec-managerial,Not-in-family,Self-emp-not-inc
21844,Farming-fishing,Not-in-family,Private
21914,?,Own-child,?
21945,Prof-specialty,Not-in-family,Private
21981,Machine-op-inspct,Husband,Private
22061,Adm-clerical,Wife,Private
22065,Handlers-cleaners,Own-child,Private
22075,?,Other-relative,?
22423,Other-service,Own-child,Private
22470,Sales,Husband,Private
22571,Other-service,Husband,Local-gov
22591,Exec-managerial,Not-in-family,Private
22619,Adm-clerical,Own-child,Private
22685,Other-service,Husband,Local-gov
22809,Craft-repair,Unmarried,Private
22818,Adm-clerical,Unmarried,Private
2291,Craft-repair,Not-in-family,Private
23131,Sales,Husband,Self-emp-not-inc
23205,Craft-repair,Husband,State-gov
23251,Tech-support,Unmarried,Private
23473,Other-service,Not-in-family,Private
23485,Transport-moving,Husband,Private
23712,Adm-clerical,Husband,Private
23735,Exec-managerial,Husband,Private
23776,Other-service,Unmarried,Private
23826,Prof-specialty,Own-child,Private
23908,Other-service,Not-in-family,Private
2394,Sales,Own-child,Private
23953,Craft-repair,Own-child,Private
24070,Adm-clerical,Not-in-family,Private
24274,Transport-moving,Husband,Self-emp-not-inc
24495,Craft-repair,Not-in-family,Private
24520,Farming-fishing,Not-in-family,Private
24690,Craft-repair,Husband,Self-emp-not-inc
24739,Handlers-cleaners,Own-child,Private
2478,Machine-op-inspct,Husband,Self-emp-inc
24829,Other-service,Own-child,Private
24838,Handlers-cleaners,Not-in-family,Private
24888,Exec-managerial,Unmarried,Private
25207,Adm-clerical,Not-in-family,Private
2539,Exec-managerial,Unmarried,Federal-gov
25467,Machine-op-inspct,Husband,Private
25479,Machine-op-inspct,Not-in-family,Private
25560,Other-service,Husband,Local-gov
25720,Adm-clerical,Husband,Private
25722,Farming-fishing,Husband,Private
25737,Exec-managerial,Unmarried,Self-emp-not-inc
25778,Exec-managerial,Not-in-family,Private
25891,Farming-fishing,Own-child,Private
26060,Prof-specialty,Wife,Local-gov
26250,Farming-fishing,Husband,Self-emp-not-inc
26254,Transport-moving,Husband,Private
2639,Machine-op-inspct,Not-in-family,Private
26405,Prof-specialty,Husband,Federal-gov
26486,Sales,Not-in-family,Self-emp-inc
26493,Adm-clerical,Husband,Private
26804,Prof-specialty,Not-in-family,Private
26815,Machine-op-inspct,Not-in-family,Private
2686,Prof-specialty,Not-in-family,Private
27073,Exec-managerial,Wife,Private
27178,Craft-repair,Not-in-family,Private
27234,Sales,Own-child,Private
27309,Machine-op-inspct,Not-in-family,Private
27368,Sales,Husband,Self-emp-inc
27410,Craft-repair,Not-in-family,Private
27424,Other-service,Own-child,Private
27429,Other-service,Own-child,Private
2750,Sales,Not-in-family,Private
27551,Craft-repair,Husband,Private
2770,Adm-clerical,Unmarried,Federal-gov
27922,Sales,Own-child,Private
28315,Craft-repair,Husband,Private
28373,Machine-op-inspct,Unmarried,Private
28576,Adm-clerical,Unmarried,Private
28627,Other-service,Husband,Private
28801,Sales,Husband,Private
28835,Exec-managerial,Husband,Private
28970,Exec-managerial,Wife,Private
29113,Machine-op-inspct,Husband,Private
2922,Craft-repair,Unmarried,Private
29366,Adm-clerical,Not-in-family,Private
29435,Craft-repair,Not-in-family,Self-emp-inc
29494,Exec-managerial,Unmarried,State-gov
29504,Exec-managerial,Husband,Private
29685,Machine-op-inspct,Husband,Private
29711,Prof-specialty,Wife,Private
29783,Adm-clerical,Wife,Local-gov
29866,Craft-repair,Own-child,Private
29926,Transport-moving,Husband,Self-emp-not-inc
30094,Sales,Husband,Private
30119,Handlers-cleaners,Husband,Private
30131,Sales,Not-in-family,Private
3014,Handlers-cleaners,Husband,Private
30144,Sales,Own-child,Private
30146,Craft-repair,Not-in-family,Private
3022,Craft-repair,Husband,Private
30280,Transport-moving,Husband,Private
30288,Exec-managerial,Unmarried,Private
30553,Adm-clerical,Not-in-family,Private
30691,Farming-fishing,Own-child,Private
30886,Craft-repair,Husband,Private
31172,Prof-specialty,Not-in-family,Local-gov
31204,Exec-managerial,Husband,Local-gov
31236,Craft-repair,Not-in-family,Private
31273,?,Other-relative,?
31278,Sales,Husband,Private
31357,Prof-specialty,Husband,Private
3145,Sales,Husband,Private
31453,Machine-op-inspct,Husband,Private
31567,Adm-clerical,Not-in-family,Private
31651,Prof-specialty,Not-in-family,State-gov
31714,Sales,Unmarried,Private
31726,Prof-specialty,Wife,Private
31868,Tech-support,Unmarried,Private
31888,Farming-fishing,Own-child,Private
31931,Sales,Not-in-family,Private
3201,Machine-op-inspct,Not-in-family,Private
32186,Prof-specialty,Not-in-family,Self-emp-not-inc
32367,Protective-serv,Husband,Local-gov
3242,Handlers-cleaners,Not-in-family,Private
32458,Prof-specialty,Husband,Private
32552,Sales,Husband,Private
3597,?,Own-child,?
3791,Exec-managerial,Own-child,Private
3888,Craft-repair,Unmarried,Self-emp-not-inc
3960,Prof-specialty,Unmarried,Private
3999,Craft-repair,Husband,Private
4076,Craft-repair,Own-child,Self-emp-not-inc
4132,Farming-fishing,Husband,Self-emp-inc
4390,Prof-specialty,Wife,Self-emp-not-inc
4416,Adm-clerical,Own-child,Private
4494,Craft-repair,Husband,Private
453,Exec-managerial,Husband,Private
4716,Other-service,Unmarried,State-gov
4756,Craft-repair,Husband,Self-emp-not-inc
4788,Prof-specialty,Husband,Private
5104,Other-service,Not-in-family,Private
5228,?,Not-in-family,?
5450,Sales,Own-child,Private
