record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10068,United-States,Male,White,Never-married,Self-emp-not-inc,Some-college,Prof-specialty,Unmarried,28
10095,United-States,Female,White,Divorced,Private,Some-college,Other-service,Unmarried,31
10104,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,51
10109,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Machine-op-inspct,Husband,56
10262,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Other-relative,39
10329,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,46
10433,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Not-in-family,27
10469,United-States,Male,White,Divorced,Private,HS-grad,Transport-moving,Not-in-family,48
10527,United-States,Male,White,Never-married,State-gov,Bachelors,Adm-clerical,Not-in-family,41
10529,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,39
10539,United-States,Female,Black,Never-married,?,Some-college,?,Not-in-family,22
10599,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,23
10765,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,34
10883,United-States,Female,White,Divorced,Private,HS-grad,Handlers-cleaners,Not-in-family,46
10925,United-States,Male,White,Never-married,Private,Assoc-voc,Craft-repair,Own-child,22
10931,United-States,Male,White,Divorced,?,10th,?,Not-in-family,28
10990,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,30
11038,United-States,Male,White,Never-married,Private,Bachelors,Other-service,Not-in-family,30
11582,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,51
11716,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
11794,United-States,Female,White,Divorced,Private,Bachelors,Sales,Own-child,36
11893,United-States,Female,Black,Separated,Private,Some-college,Exec-managerial,Not-in-family,41
11985,United-States,Female,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Wife,43
12014,United-States,Female,White,Divorced,Local-gov,Bachelors,Protective-serv,Unmarried,41
12017,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,65
12257,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,27
12385,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Protective-serv,Husband,34
12386,United-States,Male,White,Never-married,Local-gov,Bachelors,Prof-specialty,Other-relative,28
12447,United-States,Male,Black,Never-married,Private,HS-grad,Adm-clerical,Own-child,23
12490,Italy,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Other-relative,24
12593,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,10th,Farming-fishing,Husband,36
12633,United-States,Female,White,Divorced,State-gov,Masters,Exec-managerial,Unmarried,45
12665,United-States,Male,White,Separated,Federal-gov,Some-college,Exec-managerial,Not-in-family,37
12668,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,53
12744,United-States,Female,White,Divorced,Private,Masters,Prof-specialty,Not-in-family,60
12925,United-States,Male,White,Never-married,Private,11th,Adm-clerical,Not-in-family,22
1293,United-States,Male,Black,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,46
13133,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Unmarried,63
13168,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,21
13194,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,37
13265,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,43
13345,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Wife,33
1345,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,35
13466,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Doctorate,Prof-specialty,Husband,42
13491,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,21
13495,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Transport-moving,Husband,65
13515,United-States,Male,White,Never-married,?,11th,?,Not-in-family,34
1391,?,Male,Black,Married-civ-spouse,Local-gov,7th-8th,Craft-repair,Husband,40
13932,United-States,Male,Amer-Indian-Eskimo,Never-married,State-gov,Some-college,Other-service,Own-child,30
13965,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,52
13995,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,29
14002,United-States,Female,White,Never-married,Self-emp-not-inc,HS-grad,Other-service,Not-in-family,28
14056,United-States,Female,Black,Never-married,Private,Some-college,Adm-clerical,Own-child,46
14107,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Prof-specialty,Husband,37
14141,United-States,Male,White,Married-civ-spouse,Private,10th,Transport-moving,Husband,52
14145,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,51
14200,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,24
14207,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,58
14347,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,41
14387,United-States,Female,White,Married-civ-spouse,Federal-gov,Assoc-acdm,Exec-managerial,Wife,24
14424,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,31
14458,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,25
1447,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Exec-managerial,Husband,44
14506,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,57
14615,United-States,Female,White,Widowed,Federal-gov,Bachelors,Adm-clerical,Not-in-family,67
1462,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Not-in-family,30
14815,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Sales,Husband,36
14957,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,23
15025,United-States,Male,Black,Never-married,Private,11th,Handlers-cleaners,Not-in-family,37
15058,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,25
15080,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,52
15198,United-States,Male,White,Divorced,Private,10th,Craft-repair,Unmarried,32
15495,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,36
15512,United-States,Male,White,Never-married,Private,Some-college,Exec-managerial,Own-child,24
15551,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,43
15573,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Transport-moving,Husband,39
16080,United-States,Male,White,Never-married,Private,Some-college,Exec-managerial,Not-in-family,27
16115,United-States,Male,White,Married-civ-spouse,Private,Some-college,Farming-fishing,Husband,28
16144,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Not-in-family,28
16475,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,39
16612,United-States,Male,White,Never-married,Private,Bachelors,Tech-support,Not-in-family,24
