record_id,occupation,sex,workclass,capital-loss,education,marital-status
10017,Exec-managerial,Male,Local-gov,0,Masters,Married-civ-spouse
10056,?,Male,?,0,11th,Never-married
10064,?,Male,?,0,Assoc-acdm,Never-married
10196,Prof-specialty,Female,Private,0,Bachelors,Divorced
10200,Machine-op-inspct,Male,Private,0,Some-college,Married-civ-spouse
10323,Transport-moving,Male,Private,0,HS-grad,Separated
10334,Craft-repair,Male,Self-emp-not-inc,0,HS-grad,Divorced
10388,Craft-repair,Male,Private,0,HS-grad,Married-civ-spouse
10457,Exec-managerial,Male,Private,0,Assoc-voc,Married-civ-spouse
10530,Exec-managerial,Male,Local-gov,0,Assoc-acdm,Married-civ-spouse
10644,Transport-moving,Male,Private,0,7th-8th,Married-civ-spouse
10892,Sales,Female,Private,0,Some-college,Married-civ-spouse
10986,Sales,Male,Private,1977,HS-grad,Married-civ-spouse
10987,Other-service,Female,Private,0,Some-college,Never-married
10988,Craft-repair,Male,Private,0,Some-college,Divorced
11120,Adm-clerical,Female,Federal-gov,1980,HS-grad,Never-married
1115,Machine-op-inspct,Male,Self-emp-inc,2415,Assoc-voc,Married-civ-spouse
11349,Other-service,Male,Private,0,Some-college,Never-married
11359,Sales,Male,Private,0,Bachelors,Married-civ-spouse
11364,Exec-managerial,Male,Self-emp-inc,0,Some-college,Never-married
11644,Sales,Female,Private,1974,Some-college,Never-married
11824,Protective-serv,Male,Local-gov,0,Some-college,Married-civ-spouse
11905,Transport-moving,Male,Private,0,5th-6th,Married-civ-spouse
12001,Craft-repair,Female,Private,0,HS-grad,Never-married
12069,Sales,Male,Private,0,HS-grad,Married-civ-spouse
12110,Exec-managerial,Male,Private,0,Masters,Married-civ-spouse
12724,Craft-repair,Male,Private,0,HS-grad,Married-civ-spouse
12725,Craft-repair,Male,Private,0,Bachelors,Married-civ-spouse
12784,?,Male,?,0,Some-college,Never-married
12794,?,Male,?,0,Bachelors,Never-married
12803,Exec-managerial,Male,Private,0,Some-college,Married-civ-spouse
12877,Other-service,Female,Private,0,Assoc-acdm,Divorced
12879,Adm-clerical,Male,Federal-gov,0,Bachelors,Widowed
1294,Handlers-cleaners,Male,Private,0,HS-grad,Married-civ-spouse
12946,Craft-repair,Female,Self-emp-not-inc,0,Some-college,Widowed
12999,Machine-op-inspct,Male,Private,0,Bachelors,Married-civ-spouse
13113,Prof-specialty,Female,Local-gov,0,Bachelors,Divorced
13180,Machine-op-inspct,Male,Private,0,Some-college,Married-civ-spouse
13236,Tech-support,Male,Private,1887,HS-grad,Married-civ-spouse
13245,Prof-specialty,Male,Private,0,Masters,Married-civ-spouse
13356,Adm-clerical,Female,Private,0,HS-grad,Divorced
13364,Transport-moving,Male,Private,0,HS-grad,Divorced
1337,Exec-managerial,Male,Private,0,HS-grad,Married-civ-spouse
13424,Adm-clerical,Female,Private,0,Some-college,Never-married
13426,Adm-clerical,Female,Private,0,Assoc-voc,Married-civ-spouse
1344,Sales,Male,Private,0,HS-grad,Never-married
13533,Prof-specialty,Female,Private,0,Masters,Married-civ-spouse
13593,Prof-specialty,Male,Private,0,Bachelors,Married-civ-spouse
13606,Other-service,Female,Private,0,11th,Never-married
13626,?,Female,?,0,10th,Never-married
13813,Prof-specialty,Female,Private,0,Bachelors,Married-civ-spouse
13853,Craft-repair,Male,Private,0,Some-college,Never-married
13876,Machine-op-inspct,Male,Private,0,HS-grad,Married-civ-spouse
14001,Adm-clerical,Male,Private,0,Assoc-acdm,Married-civ-spouse
14069,Exec-managerial,Female,Private,0,Bachelors,Never-married
14171,Protective-serv,Male,Private,0,HS-grad,Divorced
14239,Machine-op-inspct,Male,Private,0,HS-grad,Married-civ-spouse
14550,Exec-managerial,Male,Self-emp-not-inc,0,Some-college,Married-civ-spouse
14565,Machine-op-inspct,Male,Private,0,HS-grad,Married-civ-spouse
14796,Transport-moving,Male,Private,0,Bachelors,Married-civ-spouse
14936,Machine-op-inspct,Male,Private,0,10th,Separated
15090,Prof-specialty,Male,Private,0,Assoc-voc,Married-civ-spouse
15246,Machine-op-inspct,Female,Private,0,9th,Married-civ-spouse
15254,Craft-repair,Male,Private,0,HS-grad,Never-married
15260,Machine-op-inspct,Female,Private,0,9th,Separated
15276,Craft-repair,Male,Private,0,HS-grad,Never-married
1529,Exec-managerial,Female,Private,0,HS-grad,Divorced
15375,Protective-serv,Male,Local-gov,0,HS-grad,Married-civ-spouse
1539,Other-service,Male,Private,0,HS-grad,Separated
15544,Exec-managerial,Male,Private,0,Some-college,Never-married
15675,Adm-clerical,Female,Private,0,Some-college,Divorced
15681,Craft-repair,Male,Private,0,HS-grad,Married-civ-spouse
15791,Tech-support,Male,Private,0,Assoc-voc,Married-civ-spouse
15827,Farming-fishing,Male,Self-emp-not-inc,0,HS-grad,Never-married
15869,Craft-repair,Male,Self-emp-not-inc,0,Assoc-voc,Married-civ-spouse
15903,Other-service,Female,Local-gov,0,HS-grad,Never-married
15905,Farming-fishing,Male,Self-emp-not-inc,0,HS-grad,Married-civ-spouse
16112,Adm-clerical,Female,Private,0,Some-college,Married-civ-spouse
16126,Craft-repair,Male,Private,0,HS-grad,Married-civ-spouse
16205,Machine-op-inspct,Male,Private,1887,Some-college,Married-civ-spouse
16326,Exec-managerial,Male,Private,0,Bachelors,Married-civ-spouse
16785,Prof-specialty,Male,Private,0,Assoc-acdm,Married-civ-spouse
16809,Craft-repair,Male,Private,0,Some-college,Married-civ-spouse
16884,Tech-support,Female,Private,0,Bachelors,Never-married
16976,Adm-clerical,Female,Private,0,Bachelors,Never-married
17051,Sales,Male,Self-emp-inc,1902,Some-college,Married-civ-spouse
17101,Tech-support,Male,Local-gov,0,Assoc-acdm,Divorced
17228,Prof-specialty,Male,Local-gov,1974,Masters,Divorced
17346,Exec-managerial,Male,Self-emp-not-inc,2246,Some-college,Married-civ-spouse
17467,Craft-repair,Male,Local-gov,0,11th,Never-married
17644,?,Male,?,0,Some-college,Married-civ-spouse
17819,Prof-specialty,Female,Private,0,Bachelors,Divorced
1800,Adm-clerical,Male,Private,0,Bachelors,Married-civ-spouse
18003,Prof-specialty,Female,Federal-gov,0,Prof-school,Never-married
18045,Exec-managerial,Female,Private,0,Some-college,Married-civ-spouse
18056,?,Male,?,0,Some-college,Never-married
18258,Craft-repair,Male,Private,0,HS-grad,Married-civ-spouse
18284,Exec-managerial,Male,Private,0,Some-college,Married-civ-spouse
18413,Prof-specialty,Female,Private,0,Bachelors,Never-married
18472,Adm-clerical,Female,Private,0,Assoc-acdm,Divorced
18473,Sales,Male,Private,0,Bachelors,Married-civ-spouse
18562,Transport-moving,Male,Private,0,9th,Married-civ-spouse
18564,?,Female,?,0,Some-college,Never-married
18823,Handlers-cleaners,Male,Private,0,7th-8th,Divorced
19076,Prof-specialty,Male,State-gov,0,Bachelors,Married-civ-spouse
19080,Sales,Male,Private,0,Some-college,Married-civ-spouse
19149,Craft-repair,Male,Private,0,Some-college,Never-married
19181,Exec-managerial,Female,Private,0,HS-grad,Never-married
1922,Tech-support,Male,Private,0,Some-college,Married-civ-spouse
19262,Sales,Female,Private,0,Bachelors,Never-married
19311,?,Male,?,0,Some-college,Never-married
19373,Exec-managerial,Male,Private,0,Assoc-acdm,Married-civ-spouse
19402,Other-service,Female,Private,0,HS-grad,Separated
19571,Farming-fishing,Male,Self-emp-not-inc,0,5th-6th,Married-civ-spouse
19590,Craft-repair,Male,Private,0,Some-college,Married-civ-spouse
19676,Transport-moving,Male,Private,0,Some-college,Married-civ-spouse
19903,Craft-repair,Male,Private,0,HS-grad,Never-married
19926,Prof-specialty,Male,Private,0,Prof-school,Never-married
19965,Other-service,Female,Private,0,11th,Separated
2011,Other-service,Female,Private,0,Some-college,Never-married
20162,Sales,Male,Self-emp-inc,0,Prof-school,Married-civ-spouse
20362,Tech-support,Male,Local-gov,0,Some-college,Married-civ-spouse
20543,Prof-specialty,Male,Private,0,Doctorate,Married-civ-spouse
20679,Machine-op-inspct,Male,Private,0,HS-grad,Married-civ-spouse
20732,Tech-support,Male,Private,0,Some-college,Divorced
20861,Sales,Male,Self-emp-not-inc,0,HS-grad,Widowed
20959,Transport-moving,Female,Private,0,HS-grad,Separated
21074,Handlers-cleaners,Male,Private,0,11th,Never-married
21148,Transport-moving,Male,Private,0,7th-8th,Divorced
21201,Transport-moving,Male,Private,0,HS-grad,Married-civ-spouse
21362,Prof-specialty,Male,Private,0,Assoc-acdm,Married-civ-spouse
2139,Exec-managerial,Male,Private,0,Bachelors,Married-civ-spouse
21438,Adm-clerical,Female,Private,0,HS-grad,Married-civ-spouse
2163,?,Male,?,0,Bachelors,Married-civ-spouse
21799,?,Female,?,0,Prof-school,Divorced
21994,Craft-repair,Male,Private,0,HS-grad,Never-married
22068,Craft-repair,Male,Private,0,10th,Married-civ-spouse
22407,Exec-managerial,Male,Private,0,HS-grad,Divorced
22492,Prof-specialty,Male,Self-emp-not-inc,0,Bachelors,Married-civ-spouse
22596,Craft-repair,Male,Self-emp-not-inc,0,HS-grad,Married-civ-spouse
2276,Other-service,Female,Private,0,Assoc-acdm,Widowed
22838,Prof-specialty,Male,Local-gov,0,Masters,Never-married
