record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10038,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,42
10101,United-States,Male,White,Never-married,Private,11th,Other-service,Not-in-family,26
10171,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,36
10228,United-States,Female,White,Married-civ-spouse,State-gov,Some-college,Exec-managerial,Wife,25
10380,United-States,Male,White,Separated,Private,Some-college,Exec-managerial,Unmarried,38
10431,Italy,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,50
10540,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Exec-managerial,Husband,51
10655,United-States,Female,White,Separated,Private,Some-college,Adm-clerical,Unmarried,40
10677,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,25
10748,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Craft-repair,Husband,35
10971,United-States,Male,White,Married-civ-spouse,Private,1st-4th,Farming-fishing,Husband,58
11043,United-States,Female,White,Married-spouse-absent,Private,Assoc-voc,Adm-clerical,Unmarried,34
1119,Japan,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,53
11216,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,66
11401,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Assoc-acdm,Exec-managerial,Husband,22
11508,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,39
11575,United-States,Female,White,Divorced,Private,HS-grad,Priv-house-serv,Unmarried,39
11769,United-States,Female,Other,Never-married,Private,Some-college,Tech-support,Not-in-family,25
11816,United-States,Female,Black,Divorced,State-gov,Some-college,Adm-clerical,Unmarried,35
11958,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,31
12080,United-States,Female,White,Never-married,Private,HS-grad,Sales,Own-child,18
12260,?,Male,Black,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,31
12318,United-States,Female,White,Never-married,Private,11th,Sales,Own-child,17
12405,United-States,Female,White,Never-married,?,HS-grad,?,Own-child,18
12486,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,59
12619,El-Salvador,Male,White,Never-married,Private,1st-4th,Other-service,Not-in-family,40
1267,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Craft-repair,Husband,50
12677,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Exec-managerial,Husband,47
12954,United-States,Male,White,Separated,Private,HS-grad,Other-service,Own-child,38
1310,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Exec-managerial,Husband,45
13161,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,?,Some-college,?,Husband,65
13400,United-States,Male,White,Divorced,Private,HS-grad,Sales,Not-in-family,37
1342,United-States,Male,White,Divorced,Private,Some-college,Adm-clerical,Not-in-family,47
13423,United-States,Male,White,Never-married,Local-gov,Bachelors,Protective-serv,Not-in-family,36
1343,United-States,Male,White,Never-married,State-gov,HS-grad,Adm-clerical,Own-child,59
1351,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Craft-repair,Husband,32
13532,United-States,Female,White,Divorced,Private,Assoc-voc,Other-service,Unmarried,52
13534,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,50
13701,United-States,Female,White,Divorced,Private,HS-grad,Machine-op-inspct,Own-child,59
13724,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Own-child,29
13757,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,48
13894,United-States,Female,White,Divorced,Private,Assoc-voc,Adm-clerical,Unmarried,48
13994,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,19
14018,United-States,Female,White,Never-married,Private,12th,Adm-clerical,Own-child,17
14067,United-States,Female,White,Never-married,?,HS-grad,?,Own-child,20
14192,England,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,54
14274,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,22
14304,United-States,Female,White,Never-married,Private,10th,Sales,Not-in-family,22
14331,United-States,Female,White,Divorced,Private,HS-grad,Sales,Not-in-family,36
1440,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Craft-repair,Husband,50
14526,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,48
14630,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,25
1469,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Prof-specialty,Husband,40
14800,United-States,Male,Black,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,50
14830,United-States,Female,White,Married-civ-spouse,Self-emp-inc,HS-grad,Adm-clerical,Wife,60
14960,United-States,Male,White,Married-civ-spouse,State-gov,Masters,Prof-specialty,Husband,33
15058,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,25
15100,United-States,Male,White,Divorced,Self-emp-inc,Bachelors,Sales,Not-in-family,62
15105,United-States,Male,White,Divorced,Self-emp-inc,Some-college,Sales,Own-child,44
1533,United-States,Male,Black,Married-civ-spouse,Private,10th,Transport-moving,Husband,49
15389,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Transport-moving,Husband,55
15589,United-States,Male,Black,Never-married,Private,Masters,Prof-specialty,Not-in-family,30
15755,United-States,Male,White,Married-civ-spouse,Private,11th,Craft-repair,Husband,58
15774,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,39
15842,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Own-child,18
15925,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,21
15926,United-States,Male,White,Never-married,Private,Bachelors,Craft-repair,Not-in-family,37
16000,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,27
16075,United-States,Male,White,Divorced,Private,Bachelors,Transport-moving,Not-in-family,44
16087,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,40
16114,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,60
16464,United-States,Female,White,Widowed,Local-gov,7th-8th,Other-service,Not-in-family,67
16629,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Protective-serv,Husband,46
16639,United-States,Male,White,Never-married,Private,Some-college,Machine-op-inspct,Not-in-family,39
16649,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,39
16669,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,47
16693,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,21
16789,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Protective-serv,Husband,30
16827,United-States,Male,White,Never-married,?,Assoc-acdm,?,Own-child,23
16828,United-States,Male,White,Never-married,Private,12th,Other-service,Own-child,17
1683,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Wife,50
16840,United-States,Female,White,Never-married,Private,HS-grad,Sales,Own-child,17
16903,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Adm-clerical,Husband,40
16987,United-States,Male,White,Divorced,Private,Bachelors,Sales,Not-in-family,40
17302,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,60
17328,United-States,Male,White,Never-married,Private,11th,Transport-moving,Own-child,28
17377,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Masters,Prof-specialty,Wife,51
17381,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,21
