record_id,education,occupation,relationship
10157,Some-college,Craft-repair,Not-in-family
10167,5th-6th,Machine-op-inspct,Not-in-family
10169,Some-college,Sales,Own-child
10323,HS-grad,Transport-moving,Not-in-family
10455,Prof-school,Prof-specialty,Husband
10712,HS-grad,Adm-clerical,Not-in-family
11069,Bachelors,Prof-specialty,Husband
11162,HS-grad,Other-service,Own-child
1120,Some-college,Tech-support,Husband
1150,HS-grad,Other-service,Own-child
11672,Assoc-voc,Craft-repair,Not-in-family
11702,HS-grad,Machine-op-inspct,Own-child
11714,HS-grad,Other-service,Unmarried
11790,HS-grad,Sales,Husband
11950,HS-grad,Craft-repair,Not-in-family
11967,HS-grad,Adm-clerical,Not-in-family
12239,HS-grad,Machine-op-inspct,Husband
12480,HS-grad,Adm-clerical,Own-child
1255,HS-grad,Craft-repair,Husband
12563,Masters,Exec-managerial,Husband
12565,Masters,Exec-managerial,Not-in-family
12647,Bachelors,Exec-managerial,Husband
12889,Assoc-voc,Craft-repair,Husband
13074,Bachelors,?,Husband
13458,7th-8th,Craft-repair,Husband
13480,11th,Sales,Husband
13508,Some-college,Prof-specialty,Not-in-family
1360,HS-grad,Craft-repair,Not-in-family
13601,9th,Other-service,Not-in-family
13728,HS-grad,Exec-managerial,Not-in-family
13763,HS-grad,Farming-fishing,Husband
13889,HS-grad,Sales,Husband
13900,Assoc-acdm,Craft-repair,Own-child
13909,HS-grad,Craft-repair,Not-in-family
13922,Assoc-voc,Tech-support,Husband
13980,Some-college,Craft-repair,Own-child
14054,HS-grad,Adm-clerical,Wife
14076,HS-grad,Adm-clerical,Husband
14309,HS-grad,Handlers-cleaners,Husband
14378,HS-grad,Adm-clerical,Not-in-family
14402,HS-grad,Craft-repair,Husband
14548,HS-grad,?,Not-in-family
1459,Prof-school,Prof-specialty,Husband
14755,Some-college,Adm-clerical,Own-child
14776,11th,Transport-moving,Husband
14977,HS-grad,Craft-repair,Husband
14994,Bachelors,Prof-specialty,Own-child
15027,HS-grad,Craft-repair,Not-in-family
15086,HS-grad,Craft-repair,Not-in-family
15167,HS-grad,Other-service,Other-relative
15239,Some-college,Craft-repair,Husband
15303,HS-grad,Adm-clerical,Own-child
15379,HS-grad,Other-service,Unmarried
15507,HS-grad,Sales,Husband
1553,Some-college,Adm-clerical,Not-in-family
15606,HS-grad,Machine-op-inspct,Husband
15673,Bachelors,Tech-support,Own-child
15731,HS-grad,Sales,Husband
15945,HS-grad,Machine-op-inspct,Husband
16092,Bachelors,Prof-specialty,Wife
16104,HS-grad,Exec-managerial,Husband
1645,HS-grad,Adm-clerical,Wife
16554,9th,Craft-repair,Husband
16600,Some-college,Adm-clerical,Not-in-family
16686,HS-grad,Handlers-cleaners,Not-in-family
16707,Bachelors,Prof-specialty,Husband
16717,Bachelors,Adm-clerical,Own-child
16742,Bachelors,Adm-clerical,Not-in-family
16777,HS-grad,Adm-clerical,Own-child
17099,Some-college,Sales,Own-child
1721,HS-grad,Protective-serv,Husband
17238,Some-college,Transport-moving,Husband
17284,HS-grad,Sales,Unmarried
17575,10th,Other-service,Not-in-family
17598,Assoc-acdm,Sales,Own-child
17616,10th,Craft-repair,Husband
