record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10171,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,36
10356,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,29
10417,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,54
10562,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,36
10636,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,46
10642,United-States,Female,White,Never-married,Private,Some-college,Prof-specialty,Own-child,18
10680,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,34
10957,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,44
10960,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
10975,United-States,Male,Black,Never-married,Private,HS-grad,Farming-fishing,Own-child,29
11035,United-States,Male,White,Married-civ-spouse,Private,11th,Transport-moving,Husband,38
11081,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,43
11316,United-States,Female,Asian-Pac-Islander,Widowed,?,Some-college,?,Not-in-family,65
11457,United-States,Female,White,Widowed,Federal-gov,HS-grad,Exec-managerial,Not-in-family,62
11682,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Sales,Wife,56
11749,United-States,Male,Black,Never-married,Private,Bachelors,Handlers-cleaners,Not-in-family,35
11904,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,57
11969,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,51
12001,United-States,Female,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,31
12111,United-States,Male,White,Never-married,Private,Some-college,Exec-managerial,Own-child,23
12201,United-States,Male,White,Divorced,Private,Some-college,Sales,Unmarried,44
12273,United-States,Female,Black,Never-married,Private,Assoc-acdm,Sales,Own-child,23
12286,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,35
12383,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,45
12405,United-States,Female,White,Never-married,?,HS-grad,?,Own-child,18
1241,United-States,Female,White,Separated,Private,HS-grad,Adm-clerical,Not-in-family,55
12422,United-States,Female,White,Never-married,Private,11th,Adm-clerical,Own-child,17
12436,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,20
12533,United-States,Female,White,Divorced,Self-emp-not-inc,HS-grad,Exec-managerial,Not-in-family,50
1261,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,53
12647,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,27
1269,United-States,Male,White,Divorced,Local-gov,Bachelors,Protective-serv,Not-in-family,44
12816,Yugoslavia,Male,White,Married-civ-spouse,Private,Bachelors,Other-service,Husband,31
12942,United-States,Male,White,Never-married,Private,Assoc-voc,Machine-op-inspct,Own-child,24
12955,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,45
13067,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Craft-repair,Husband,48
13090,United-States,Female,White,Divorced,Private,Assoc-voc,Adm-clerical,Unmarried,51
13092,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Protective-serv,Husband,46
13463,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Craft-repair,Husband,42
13523,United-States,Female,White,Married-civ-spouse,Private,Prof-school,Prof-specialty,Wife,27
13598,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,36
13603,?,Male,White,Never-married,Self-emp-not-inc,HS-grad,Sales,Own-child,18
13683,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,32
13720,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,51
13749,United-States,Female,Black,Divorced,Private,HS-grad,Other-service,Not-in-family,43
13766,United-States,Male,White,Married-civ-spouse,Private,10th,Farming-fishing,Husband,61
13813,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Wife,31
13829,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,34
13895,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,37
13898,United-States,Female,White,Divorced,Federal-gov,HS-grad,Adm-clerical,Not-in-family,42
13974,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Own-child,36
14021,United-States,Female,Black,Never-married,Private,Bachelors,Exec-managerial,Unmarried,29
14057,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Sales,Wife,24
14061,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Adm-clerical,Husband,34
14151,United-States,Male,Amer-Indian-Eskimo,Divorced,?,Some-college,?,Unmarried,33
14247,United-States,Male,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,54
14408,United-States,Male,White,Never-married,Private,Assoc-voc,Craft-repair,Own-child,21
14546,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,38
1457,United-States,Male,White,Never-married,Private,Some-college,Transport-moving,Not-in-family,22
14589,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Farming-fishing,Husband,42
14663,United-States,Male,White,Never-married,Self-emp-not-inc,Some-college,Craft-repair,Own-child,30
14675,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Not-in-family,48
1472,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,28
14818,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,44
15031,United-States,Female,White,Divorced,Local-gov,Some-college,Adm-clerical,Not-in-family,49
15158,Ireland,Female,White,Never-married,Private,HS-grad,Other-service,Not-in-family,30
15286,United-States,Male,White,Never-married,?,Assoc-voc,?,Not-in-family,70
15309,United-States,Female,White,Widowed,?,HS-grad,?,Other-relative,67
15517,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,49
15646,United-States,Female,Black,Never-married,Private,HS-grad,Craft-repair,Not-in-family,30
15702,United-States,Female,White,Never-married,Private,HS-grad,Sales,Not-in-family,18
1573,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Own-child,19
15749,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Prof-specialty,Husband,49
15900,United-States,Male,White,Never-married,Federal-gov,Bachelors,Prof-specialty,Own-child,22
15942,United-States,Male,White,Separated,Private,10th,Adm-clerical,Unmarried,38
16141,?,Male,White,Married-civ-spouse,Local-gov,Some-college,Handlers-cleaners,Husband,33
16172,United-States,Female,White,Separated,Private,HS-grad,Adm-clerical,Unmarried,45
16229,United-States,Male,White,Never-married,Private,Masters,Prof-specialty,Not-in-family,52
16257,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,19
16348,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Other-relative,57
1636,United-States,Female,White,Divorced,Private,10th,Other-service,Not-in-family,27
16542,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,33
16556,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,63
16700,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,53
1671,United-States,Male,White,Never-married,Private,Some-college,Exec-managerial,Unmarried,43
1685,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,37
16992,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,19
17041,United-States,Male,White,Never-married,Local-gov,HS-grad,Other-service,Own-child,24
17322,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Sales,Husband,47
1752,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,37
17761,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Other-service,Husband,66
17782,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Unmarried,36
17843,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Exec-managerial,Husband,57
17900,United-States,Male,White,Divorced,Private,HS-grad,Other-service,Not-in-family,52
17963,United-States,Male,Black,Never-married,Private,Some-college,Tech-support,Not-in-family,32
17989,United-States,Male,White,Divorced,Private,HS-grad,Prof-specialty,Not-in-family,51
17995,United-States,Female,Black,Never-married,State-gov,Assoc-acdm,Adm-clerical,Unmarried,26
18010,Philippines,Male,Asian-Pac-Islander,Married-spouse-absent,?,HS-grad,?,Not-in-family,46
1812,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Transport-moving,Husband,51
18137,United-States,Male,White,Never-married,Private,Prof-school,Prof-specialty,Other-relative,29
18678,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Exec-managerial,Husband,70
18840,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,38
18841,Mexico,Male,White,Married-civ-spouse,Private,5th-6th,Handlers-cleaners,Husband,44
19026,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,21
19034,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Unmarried,44
19088,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,43
19259,United-States,Male,White,Never-married,Self-emp-not-inc,Assoc-acdm,Sales,Not-in-family,25
19333,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,55
19388,United-States,Female,Black,Never-married,Private,9th,Priv-house-serv,Not-in-family,62
19485,United-States,Female,White,Never-married,Federal-gov,Masters,Prof-specialty,Not-in-family,46
19516,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,30
19582,United-States,Female,White,Never-married,Private,Bachelors,Sales,Other-relative,24
19627,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,53
1981,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Adm-clerical,Husband,49
19919,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Prof-specialty,Husband,58
19938,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,30
20255,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,49
20361,United-States,Male,White,Never-married,Self-emp-inc,HS-grad,Sales,Own-child,26
20372,United-States,Male,White,Married-civ-spouse,Private,9th,Machine-op-inspct,Husband,28
20382,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,58
20469,United-States,Female,White,Divorced,Private,Assoc-voc,Prof-specialty,Unmarried,30
20556,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,38
20591,United-States,Male,White,Divorced,Private,Some-college,Machine-op-inspct,Unmarried,35
20619,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,26
20650,United-States,Male,White,Married-civ-spouse,Private,11th,Machine-op-inspct,Husband,48
20682,United-States,Female,White,Never-married,Private,HS-grad,Sales,Not-in-family,68
20890,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,35
20967,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,20
21028,United-States,Female,White,Never-married,Private,10th,Other-service,Not-in-family,31
21051,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,34
21283,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,46
21290,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Prof-specialty,Husband,53
21297,United-States,Female,White,Divorced,Private,Assoc-voc,Adm-clerical,Unmarried,39
21346,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,27
21365,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,30
21375,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,25
21393,?,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Transport-moving,Husband,37
21421,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,47
2163,United-States,Male,White,Married-civ-spouse,?,Bachelors,?,Husband,61
2164,United-States,Female,White,Married-civ-spouse,?,HS-grad,?,Wife,47
217,Poland,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,38
21739,United-States,Female,Black,Divorced,Private,11th,Other-service,Not-in-family,59
2176,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,60
21925,United-States,Male,White,Married-civ-spouse,Private,10th,Machine-op-inspct,Husband,39
22030,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,30
22072,United-States,Male,White,Married-civ-spouse,Private,11th,Craft-repair,Husband,36
22144,United-States,Male,White,Divorced,Federal-gov,Some-college,Adm-clerical,Own-child,57
22186,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,31
22233,United-States,Female,White,Never-married,Private,Some-college,Tech-support,Not-in-family,36
22285,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,38
22360,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,40
22452,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,51
22642,United-States,Male,White,Never-married,Private,Some-college,Exec-managerial,Not-in-family,18
22675,United-States,Male,White,Divorced,Private,Some-college,Craft-repair,Not-in-family,53
22776,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,26
22790,?,Female,Asian-Pac-Islander,Married-civ-spouse,Self-emp-not-inc,12th,Sales,Wife,31
22808,United-States,Male,White,Married-civ-spouse,Federal-gov,Some-college,Adm-clerical,Husband,36
23315,Italy,Female,White,Never-married,?,Some-college,?,Own-child,22
23520,United-States,Female,White,Never-married,Federal-gov,Some-college,Adm-clerical,Not-in-family,22
23524,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Not-in-family,22
23562,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,55
23760,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,51
23762,United-States,Male,White,Never-married,Private,Some-college,Prof-specialty,Not-in-family,31
2388,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Transport-moving,Husband,27
24075,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,29
2411,United-States,Female,White,Divorced,Local-gov,Some-college,Adm-clerical,Unmarried,36
24136,United-States,Male,White,Married-civ-spouse,Federal-gov,Prof-school,Exec-managerial,Husband,55
24234,United-States,Female,White,Never-married,Private,Some-college,Other-service,Unmarried,23
24319,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,44
24321,United-States,Male,Black,Divorced,Private,HS-grad,Craft-repair,Not-in-family,47
24410,United-States,Female,Black,Never-married,Private,HS-grad,Other-service,Unmarried,38
24441,United-States,Male,White,Never-married,Self-emp-not-inc,Bachelors,Exec-managerial,Not-in-family,25
24467,United-States,Male,White,Never-married,Private,Assoc-voc,Exec-managerial,Own-child,27
24655,United-States,Male,Black,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,23
24658,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,22
24711,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Other-service,Husband,40
24782,United-States,Female,Black,Never-married,Local-gov,Bachelors,Prof-specialty,Own-child,29
24794,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,19
24847,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,72
24920,United-States,Female,White,Never-married,Private,12th,Sales,Own-child,19
24943,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,41
25068,United-States,Male,White,Married-civ-spouse,Federal-gov,Some-college,Craft-repair,Husband,55
25171,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,28
25187,United-States,Male,White,Married-civ-spouse,Federal-gov,Some-college,Handlers-cleaners,Husband,36
25317,Mexico,Male,White,Never-married,Private,5th-6th,Handlers-cleaners,Not-in-family,21
2547,United-States,Female,Asian-Pac-Islander,Never-married,Private,Some-college,Adm-clerical,Own-child,26
25480,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,26
25494,United-States,Female,White,Never-married,Private,Assoc-acdm,Other-service,Not-in-family,23
25549,?,Male,Black,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,67
25717,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,34
25855,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,47
25906,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Tech-support,Husband,46
26083,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Exec-managerial,Husband,71
26300,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Doctorate,Prof-specialty,Husband,50
26329,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Not-in-family,29
26361,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,31
26430,Mexico,Female,White,Never-married,Private,1st-4th,Priv-house-serv,Not-in-family,28
26465,Canada,Male,White,Married-civ-spouse,Self-emp-not-inc,Doctorate,Prof-specialty,Husband,34
26549,United-States,Male,White,Married-civ-spouse,?,Some-college,?,Husband,67
26626,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,25
26722,United-States,Male,White,Married-civ-spouse,Private,Masters,Sales,Husband,52
26730,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,31
26767,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,10th,Farming-fishing,Husband,53
26862,Japan,Male,Asian-Pac-Islander,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,48
26900,?,Male,Black,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,23
27041,Hungary,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Transport-moving,Husband,57
27069,United-States,Male,White,Never-married,State-gov,Bachelors,Prof-specialty,Not-in-family,27
27092,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,37
27113,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,57
27173,United-States,Female,White,Never-married,Private,Some-college,Tech-support,Not-in-family,19
27179,United-States,Female,White,Never-married,?,HS-grad,?,Own-child,26
27363,United-States,Male,White,Divorced,State-gov,Bachelors,Prof-specialty,Not-in-family,62
27473,United-States,Female,White,Never-married,Private,Assoc-voc,Adm-clerical,Not-in-family,25
27537,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Sales,Husband,46
28088,Philippines,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,48
28291,United-States,Male,White,Never-married,Private,Assoc-acdm,Craft-repair,Not-in-family,25
28322,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,28
28429,United-States,Male,White,Never-married,Federal-gov,Some-college,Tech-support,Not-in-family,31
28451,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,34
28481,United-States,Male,White,Married-civ-spouse,Private,9th,Handlers-cleaners,Husband,52
28497,United-States,Female,Black,Never-married,State-gov,Bachelors,Protective-serv,Not-in-family,25
2876,Mexico,Male,White,Never-married,Private,5th-6th,Craft-repair,Not-in-family,25
28933,United-States,Male,White,Never-married,?,Some-college,?,Own-child,22
28949,United-States,Female,White,Never-married,Private,Some-college,Machine-op-inspct,Own-child,22
29049,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Transport-moving,Husband,34
29061,United-States,Male,White,Married-civ-spouse,?,Assoc-voc,?,Husband,37
2938,United-States,Female,Black,Married-civ-spouse,Private,11th,Machine-op-inspct,Wife,47
29395,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,53
29512,United-States,Female,White,Never-married,Private,HS-grad,Exec-managerial,Not-in-family,23
29518,United-States,Male,White,Married-civ-spouse,Private,11th,Transport-moving,Husband,70
29690,United-States,Male,White,Divorced,Local-gov,Bachelors,Prof-specialty,Unmarried,44
29740,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Craft-repair,Husband,50
29744,United-States,Male,Black,Married-civ-spouse,State-gov,Prof-school,Exec-managerial,Husband,66
29748,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,42
29862,United-States,Female,Black,Never-married,State-gov,Bachelors,Prof-specialty,Unmarried,36
29928,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Doctorate,Transport-moving,Husband,47
29955,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,35
30120,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,44
30290,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,47
30345,United-States,Female,White,Never-married,Private,Bachelors,Sales,Not-in-family,23
30406,United-States,Female,White,Divorced,Private,11th,Other-service,Unmarried,28
30542,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Sales,Husband,27
30704,United-States,Male,White,Never-married,Private,Assoc-voc,Other-service,Not-in-family,37
30720,United-States,Male,White,Widowed,Private,HS-grad,Craft-repair,Not-in-family,52
31019,United-States,Male,Black,Separated,Private,HS-grad,Handlers-cleaners,Not-in-family,41
31125,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,56
31306,United-States,Female,White,Married-spouse-absent,State-gov,Masters,Exec-managerial,Unmarried,52
31416,United-States,Female,Black,Separated,Private,Assoc-acdm,Adm-clerical,Unmarried,42
32008,United-States,Male,Amer-Indian-Eskimo,Married-spouse-absent,?,1st-4th,?,Unmarried,58
32010,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,31
32066,United-States,Female,White,Never-married,Self-emp-inc,Bachelors,Sales,Own-child,29
32086,United-States,Male,White,Married-civ-spouse,Private,11th,Craft-repair,Husband,53
32160,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,23
32192,United-States,Female,White,Separated,State-gov,Some-college,Adm-clerical,Not-in-family,64
32234,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,41
32239,United-States,Female,White,Separated,Private,HS-grad,Adm-clerical,Not-in-family,36
32357,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,35
3259,United-States,Female,White,Divorced,Private,Assoc-acdm,Prof-specialty,Unmarried,45
350,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,33
375,United-States,Female,White,Never-married,Local-gov,Some-college,Adm-clerical,Own-child,20
3755,United-States,Male,Black,Never-married,Local-gov,HS-grad,Protective-serv,Other-relative,28
3974,United-States,Female,White,Separated,Private,Some-college,Adm-clerical,Not-in-family,41
415,United-States,Male,White,Divorced,Private,12th,Craft-repair,Not-in-family,35
4220,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,25
4365,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,32
4401,United-States,Female,White,Married-civ-spouse,Local-gov,Some-college,Exec-managerial,Wife,48
4453,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,25
4574,United-States,Male,White,Never-married,Self-emp-inc,HS-grad,Farming-fishing,Not-in-family,36
4595,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Sales,Husband,42
4617,United-States,Male,Asian-Pac-Islander,Never-married,Federal-gov,Assoc-voc,Prof-specialty,Other-relative,32
4638,United-States,Female,Black,Divorced,State-gov,10th,Other-service,Not-in-family,66
4645,United-States,Male,Black,Married-civ-spouse,Private,9th,Adm-clerical,Husband,45
4700,Guatemala,Male,Other,Never-married,Private,12th,Craft-repair,Other-relative,26
4818,United-States,Female,White,Never-married,?,Some-college,?,Own-child,20
4872,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Prof-specialty,Husband,39
4952,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,45
507,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,43
5185,?,Male,White,Never-married,Private,Some-college,Sales,Own-child,21
5404,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,29
5445,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Own-child,32
5569,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,39
5724,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Own-child,21
5776,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,34
5827,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,54
5859,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,20
5919,United-States,Female,White,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,57
6458,United-States,Female,White,Divorced,Private,10th,Sales,Unmarried,47
6761,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,53
6773,United-States,Female,Black,Divorced,Private,11th,Priv-house-serv,Unmarried,54
6805,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,35
6958,Honduras,Male,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,47
6972,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Sales,Husband,69
7039,United-States,Male,White,Never-married,Private,HS-grad,Farming-fishing,Not-in-family,21
7102,United-States,Female,White,Never-married,?,Some-college,?,Own-child,18
7311,United-States,Female,White,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,64
7431,United-States,Female,White,Divorced,Private,HS-grad,Tech-support,Not-in-family,46
7679,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Adm-clerical,Husband,37
