record_id,marital-status,occupation,native-country
10068,Never-married,Prof-specialty,United-States
10095,Divorced,Other-service,United-States
10104,Married-civ-spouse,Craft-repair,United-States
10109,Married-civ-spouse,Machine-op-inspct,United-States
10262,Divorced,Exec-managerial,United-States
10329,Divorced,Adm-clerical,United-States
10433,Never-married,Other-service,United-States
10469,Divorced,Transport-moving,United-States
10527,Never-married,Adm-clerical,United-States
10529,Married-civ-spouse,Exec-managerial,United-States
10539,Never-married,?,United-States
10599,Never-married,Adm-clerical,United-States
10765,Married-civ-spouse,Adm-clerical,United-States
10883,Divorced,Handlers-cleaners,United-States
10925,Never-married,Craft-repair,United-States
10931,Divorced,?,United-States
10990,Never-married,Handlers-cleaners,United-States
11038,Never-married,Other-service,United-States
11582,Married-civ-spouse,Craft-repair,United-States
11716,Married-civ-spouse,Craft-repair,United-States
11794,Divorced,Sales,United-States
11893,Separated,Exec-managerial,United-States
11985,Married-civ-spouse,Prof-specialty,United-States
12014,Divorced,Protective-serv,United-States
12017,Married-civ-spouse,Craft-repair,United-States
12257,Married-civ-spouse,Handlers-cleaners,United-States
12385,Married-civ-spouse,Protective-serv,United-States
12386,Never-married,Prof-specialty,United-States
12447,Never-married,Adm-clerical,United-States
12490,Never-married,Handlers-cleaners,Italy
12593,Married-civ-spouse,Farming-fishing,United-States
12633,Divorced,Exec-managerial,United-States
12665,Separated,Exec-managerial,United-States
12668,Married-civ-spouse,Adm-clerical,United-States
12744,Divorced,Prof-specialty,United-States
12925,Never-married,Adm-clerical,United-States
1293,Married-civ-spouse,Prof-specialty,United-States
13133,Widowed,Adm-clerical,United-States
13168,Never-married,Craft-repair,United-States
13194,Married-civ-spouse,Craft-repair,United-States
13265,Married-civ-spouse,Machine-op-inspct,United-States
13345,Married-civ-spouse,Machine-op-inspct,United-States
1345,Never-married,Adm-clerical,United-States
13466,Married-civ-spouse,Prof-specialty,United-States
13491,Never-married,Adm-clerical,United-States
13495,Married-civ-spouse,Transport-moving,United-States
13515,Never-married,?,United-States
1391,Married-civ-spouse,Craft-repair,?
13932,Never-married,Other-service,United-States
13965,Married-civ-spouse,Sales,United-States
13995,Never-married,Exec-managerial,United-States
14002,Never-married,Other-service,United-States
14056,Never-married,Adm-clerical,United-States
14107,Married-civ-spouse,Prof-specialty,United-States
14141,Married-civ-spouse,Transport-moving,United-States
14145,Married-civ-spouse,Prof-specialty,United-States
14200,Never-married,Handlers-cleaners,United-States
14207,Married-civ-spouse,Tech-support,United-States
14347,Never-married,Prof-specialty,United-States
14387,Married-civ-spouse,Exec-managerial,United-States
14424,Married-civ-spouse,Machine-op-inspct,United-States
14458,Never-married,Exec-managerial,United-States
1447,Married-civ-spouse,Exec-managerial,United-States
14506,Married-civ-spouse,Farming-fishing,United-States
14615,Widowed,Adm-clerical,United-States
1462,Never-married,Craft-repair,United-States
14815,Married-civ-spouse,Sales,United-States
14957,Never-married,Other-service,United-States
15025,Never-married,Handlers-cleaners,United-States
15058,Married-civ-spouse,Craft-repair,United-States
15080,Married-civ-spouse,Adm-clerical,United-States
15198,Divorced,Craft-repair,United-States
15495,Married-civ-spouse,Prof-specialty,United-States
15512,Never-married,Exec-managerial,United-States
15551,Married-civ-spouse,Exec-managerial,United-States
15573,Married-civ-spouse,Transport-moving,United-States
16080,Never-married,Exec-managerial,United-States
16115,Married-civ-spouse,Farming-fishing,United-States
16144,Never-married,Other-service,United-States
16475,Never-married,Craft-repair,United-States
16612,Never-married,Tech-support,United-States
16682,Married-civ-spouse,Exec-managerial,United-States
16687,Never-married,Adm-clerical,United-States
16808,Never-married,Prof-specialty,United-States
16991,Married-civ-spouse,Prof-specialty,United-States
17077,Married-civ-spouse,Sales,United-States
17266,Never-married,Prof-specialty,United-States
17327,Married-civ-spouse,Exec-managerial,United-States
17490,Married-civ-spouse,Machine-op-inspct,United-States
17623,Divorced,Tech-support,?
17710,Never-married,?,United-States
17848,Separated,Prof-specialty,United-States
18076,Married-civ-spouse,Prof-specialty,United-States
18197,Divorced,Protective-serv,United-States
18328,Married-civ-spouse,Other-service,United-States
18555,Never-married,Other-service,?
18599,Married-civ-spouse,?,United-States
18697,Married-civ-spouse,Craft-repair,United-States
18702,Married-civ-spouse,Prof-specialty,United-States
18739,Married-civ-spouse,Protective-serv,United-States
18855,Divorced,Tech-support,United-States
18916,Married-civ-spouse,Exec-managerial,United-States
18945,Never-married,Sales,United-States
19082,Married-civ-spouse,Handlers-cleaners,United-States
19089,Widowed,Prof-specialty,United-States
19103,Married-civ-spouse,Handlers-cleaners,United-States
19414,Married-civ-spouse,Exec-managerial,?
196,Divorced,Craft-repair,United-States
19626,Married-civ-spouse,Prof-specialty,?
19654,Married-civ-spouse,Sales,United-States
19671,Never-married,Handlers-cleaners,United-States
19679,Married-civ-spouse,Sales,United-States
19805,Married-civ-spouse,Exec-managerial,United-States
19871,Never-married,Craft-repair,United-States
19913,Divorced,Adm-clerical,United-States
