record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10020,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,21
10179,United-States,Female,White,Married-civ-spouse,Self-emp-inc,Doctorate,Prof-specialty,Wife,43
10268,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,47
10390,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Protective-serv,Husband,64
10493,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,48
10496,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,49
10546,United-States,Male,White,Married-civ-spouse,?,7th-8th,?,Husband,78
10690,United-States,Female,White,Never-married,Private,Masters,Prof-specialty,Not-in-family,44
10724,Philippines,Female,Asian-Pac-Islander,Never-married,Private,Bachelors,Tech-support,Unmarried,27
10731,United-States,Male,White,Married-civ-spouse,Local-gov,Assoc-voc,Protective-serv,Husband,30
1093,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,34
11015,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,35
11046,United-States,Male,White,Never-married,?,HS-grad,?,Own-child,23
11107,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,45
1112,United-States,Male,White,Never-married,State-gov,Bachelors,Adm-clerical,Not-in-family,37
11411,United-States,Female,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,21
11422,United-States,Female,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Wife,42
11468,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Craft-repair,Husband,56
11488,United-States,Female,White,Never-married,State-gov,Assoc-acdm,Exec-managerial,Not-in-family,27
11697,United-States,Female,Black,Separated,Private,11th,Adm-clerical,Unmarried,55
11828,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,23
11829,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Protective-serv,Husband,44
11971,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,46
12029,United-States,Male,White,Married-civ-spouse,?,7th-8th,?,Husband,52
12071,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Federal-gov,HS-grad,Handlers-cleaners,Husband,27
12078,United-States,Male,Black,Never-married,Private,HS-grad,Craft-repair,Own-child,25
12170,United-States,Female,White,Never-married,Private,Some-college,Other-service,Not-in-family,19
12281,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,55
12336,United-States,Female,White,Never-married,Private,Masters,Prof-specialty,Not-in-family,29
12378,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Craft-repair,Unmarried,27
1258,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Prof-specialty,Husband,43
12676,United-States,Male,Asian-Pac-Islander,Never-married,Private,Some-college,Sales,Own-child,23
13010,United-States,Female,White,Married-civ-spouse,Self-emp-inc,Masters,Prof-specialty,Wife,39
13074,United-States,Male,White,Married-civ-spouse,?,Bachelors,?,Husband,62
13141,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,12th,Craft-repair,Not-in-family,28
13256,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Other-relative,55
1334,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,51
1335,United-States,Female,White,Never-married,Private,Some-college,Prof-specialty,Not-in-family,33
1341,United-States,Female,White,Married-spouse-absent,Private,Masters,Prof-specialty,Not-in-family,57
13435,United-States,Female,White,Never-married,Private,HS-grad,Craft-repair,Own-child,18
13439,United-States,Male,White,Divorced,Local-gov,Some-college,Protective-serv,Not-in-family,38
13496,France,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,34
13556,United-States,Male,White,Divorced,?,Some-college,?,Not-in-family,32
13579,United-States,Male,White,Divorced,State-gov,Some-college,Adm-clerical,Own-child,29
13633,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Protective-serv,Husband,68
13666,Philippines,Male,White,Separated,Private,HS-grad,Craft-repair,Unmarried,37
13719,United-States,Female,White,Never-married,Local-gov,Some-college,Protective-serv,Own-child,24
13788,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,57
14002,United-States,Female,White,Never-married,Self-emp-not-inc,HS-grad,Other-service,Not-in-family,28
14060,United-States,Female,White,Divorced,Private,Some-college,Handlers-cleaners,Unmarried,34
14094,United-States,Male,White,Never-married,State-gov,10th,Other-service,Own-child,17
1410,United-States,Female,White,Widowed,Private,HS-grad,Other-service,Unmarried,48
14102,?,Male,White,Married-spouse-absent,Private,Some-college,Craft-repair,Not-in-family,30
14114,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,33
14235,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,48
14302,United-States,Male,White,Never-married,Private,Prof-school,Exec-managerial,Not-in-family,36
14305,United-States,Male,White,Never-married,Private,Masters,Adm-clerical,Own-child,25
14309,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,43
1432,United-States,Male,White,Divorced,Private,Assoc-voc,Sales,Not-in-family,32
14376,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Craft-repair,Husband,33
