record_id,marital-status,sex,age,hours-per-week,occupation
10021,Separated,Female,45,25,Adm-clerical
10387,Married-civ-spouse,Male,42,38,Handlers-cleaners
10520,Divorced,Female,26,25,Adm-clerical
10536,Never-married,Female,19,24,Sales
10645,Never-married,Female,20,25,Other-service
10949,Married-spouse-absent,Male,21,40,Handlers-cleaners
10969,Married-civ-spouse,Male,29,55,Farming-fishing
10981,Married-civ-spouse,Female,24,25,Other-service
10989,Married-civ-spouse,Male,60,40,Prof-specialty
11044,Married-civ-spouse,Male,47,60,Prof-specialty
11163,Never-married,Male,23,40,Craft-repair
11315,Married-civ-spouse,Male,66,30,Craft-repair
11791,Never-married,Female,23,30,Adm-clerical
11808,Married-civ-spouse,Female,46,45,Prof-specialty
11862,Never-married,Male,23,40,Handlers-cleaners
12016,Married-civ-spouse,Male,45,40,Other-service
12223,Never-married,Female,20,20,Other-service
12654,Divorced,Male,40,40,Prof-specialty
12701,Divorced,Male,49,40,Other-service
12747,Never-married,Female,30,48,Sales
1278,Married-civ-spouse,Male,47,35,Transport-moving
12781,Married-civ-spouse,Male,68,40,Adm-clerical
12922,Never-married,Male,27,40,Craft-repair
13061,Married-civ-spouse,Male,40,40,Machine-op-inspct
13297,Married-civ-spouse,Male,39,40,Craft-repair
1331,Never-married,Female,20,40,Machine-op-inspct
13498,Married-civ-spouse,Male,63,30,?
13588,Never-married,Female,34,40,Craft-repair
13810,Married-civ-spouse,Female,41,12,Sales
13823,Never-married,Male,30,50,Craft-repair
13899,Married-civ-spouse,Female,43,50,Adm-clerical
13925,Divorced,Male,33,40,Handlers-cleaners
14111,Divorced,Male,37,40,Machine-op-inspct
14144,Married-civ-spouse,Male,57,40,Other-service
14159,Married-civ-spouse,Male,90,20,Adm-clerical
14160,Divorced,Female,27,38,Adm-clerical
14244,Married-civ-spouse,Male,41,40,Craft-repair
14366,Married-civ-spouse,Male,42,35,Prof-specialty
14587,Married-civ-spouse,Female,33,35,Other-service
14675,Divorced,Female,48,48,Adm-clerical
14733,Married-civ-spouse,Male,45,65,Transport-moving
14858,Divorced,Female,26,40,Adm-clerical
14969,Married-civ-spouse,Male,59,40,Craft-repair
15004,Divorced,Male,36,40,Prof-specialty
15041,Never-married,Female,37,40,Adm-clerical
15238,Married-civ-spouse,Male,73,30,?
15301,Never-married,Male,39,40,Transport-moving
15382,Married-civ-spouse,Male,51,47,Prof-specialty
15491,Never-married,Female,19,40,Other-service
15614,Never-married,Male,49,40,Craft-repair
15615,Never-married,Male,36,40,Exec-managerial
15687,Married-spouse-absent,Male,30,40,Craft-repair
15746,Married-civ-spouse,Male,31,40,Sales
15842,Never-married,Female,18,27,Other-service
15844,Divorced,Male,59,60,Exec-managerial
16036,Never-married,Female,28,80,Exec-managerial
16045,Never-married,Male,28,60,Sales
16054,Never-married,Male,42,40,Protective-serv
16069,Married-civ-spouse,Male,44,40,Exec-managerial
16119,Divorced,Female,30,20,Other-service
16128,Married-civ-spouse,Male,27,40,Craft-repair
16362,Separated,Female,59,40,Protective-serv
16516,Divorced,Male,45,56,Craft-repair
16561,Never-married,Male,32,35,Prof-specialty
16771,Never-married,Male,33,40,Other-service
16793,Married-civ-spouse,Male,50,40,Craft-repair
1684,Never-married,Male,20,80,Transport-moving
16893,Married-civ-spouse,Male,54,40,Other-service
16937,Never-married,Male,23,15,Handlers-cleaners
17026,Divorced,Male,36,40,Craft-repair
17123,Divorced,Female,46,40,Exec-managerial
17624,Never-married,Male,25,40,Tech-support
17678,Divorced,Female,46,60,Prof-specialty
17702,Married-civ-spouse,Male,62,50,Exec-managerial
17935,Never-married,Female,23,40,Adm-clerical
18063,Never-married,Male,17,12,Sales
1815,Never-married,Male,22,40,Handlers-cleaners
18183,Married-civ-spouse,Male,48,50,Prof-specialty
18216,Married-civ-spouse,Male,54,45,Adm-clerical
18285,Married-civ-spouse,Male,50,65,Sales
18353,Divorced,Female,40,48,Other-service
1837,Married-civ-spouse,Male,70,30,Farming-fishing
18420,Separated,Female,46,40,Exec-managerial
18436,Married-civ-spouse,Female,33,40,Tech-support
18536,Married-civ-spouse,Male,53,40,Craft-repair
18780,Never-married,Female,26,35,Prof-specialty
18826,Married-civ-spouse,Male,50,52,Protective-serv
18843,Widowed,Female,35,40,Exec-managerial
18900,Married-spouse-absent,Male,44,32,Transport-moving
18920,Divorced,Female,45,40,Machine-op-inspct
19004,Never-married,Female,21,40,Prof-specialty
19083,Married-civ-spouse,Male,61,40,Handlers-cleaners
1912,Married-civ-spouse,Male,52,40,Exec-managerial
19139,Divorced,Male,36,40,Prof-specialty
19217,Never-married,Female,23,32,Exec-managerial
1923,Never-married,Female,21,40,?
19339,Divorced,Male,62,40,Transport-moving
19487,Married-civ-spouse,Male,29,30,Machine-op-inspct
19565,Divorced,Male,28,40,Protective-serv
1959,Married-civ-spouse,Male,32,40,Exec-managerial
196,Divorced,Male,36,40,Craft-repair
19815,Divorced,Male,45,35,Adm-clerical
19837,Divorced,Female,43,40,Prof-specialty
20010,Never-married,Male,41,40,Prof-specialty
20060,Never-married,Female,25,16,Tech-support
20178,Never-married,Male,22,35,Transport-moving
20356,Never-married,Male,63,40,Machine-op-inspct
20476,Never-married,Male,24,38,Exec-managerial
20494,Married-civ-spouse,Male,37,40,Craft-repair
20634,Divorced,Male,45,50,Exec-managerial
20687,Married-civ-spouse,Male,45,40,Protective-serv
20826,Widowed,Male,81,5,?
20958,Married-spouse-absent,Female,52,50,Adm-clerical
21043,Never-married,Male,29,40,Craft-repair
21345,Married-civ-spouse,Male,54,40,Machine-op-inspct
21402,Divorced,Male,62,40,Exec-managerial
216,Divorced,Female,50,40,Sales
21780,Never-married,Female,25,40,Adm-clerical
21860,Married-civ-spouse,Male,51,30,Exec-managerial
21884,Married-civ-spouse,Male,57,40,Exec-managerial
2201,Married-civ-spouse,Male,28,60,Adm-clerical
22316,Married-civ-spouse,Male,50,40,Transport-moving
22383,Never-married,Male,19,35,Farming-fishing
22461,Never-married,Female,21,30,Prof-specialty
22479,Never-married,Female,17,13,Sales
22519,Married-civ-spouse,Female,40,40,Adm-clerical
