record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10017,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Exec-managerial,Husband,41
10024,United-States,Female,White,Separated,Private,Assoc-voc,Prof-specialty,Own-child,49
10136,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Prof-specialty,Husband,36
10262,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Other-relative,39
10334,United-States,Male,White,Divorced,Self-emp-not-inc,HS-grad,Craft-repair,Not-in-family,35
10353,?,Female,White,Married-civ-spouse,Private,Bachelors,Other-service,Wife,33
10429,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Prof-specialty,Husband,28
1053,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Sales,Husband,52
10554,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Machine-op-inspct,Husband,49
10660,United-States,Male,White,Married-civ-spouse,Federal-gov,Some-college,Other-service,Husband,52
10919,United-States,Male,White,Married-civ-spouse,State-gov,Masters,Exec-managerial,Husband,53
11002,United-States,Male,White,Never-married,Private,10th,Craft-repair,Own-child,25
11019,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Unmarried,30
1102,Mexico,Male,White,Married-civ-spouse,Self-emp-inc,9th,Exec-managerial,Husband,39
11094,United-States,Male,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,47
11124,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,47
11263,United-States,Female,Amer-Indian-Eskimo,Never-married,Private,HS-grad,Sales,Own-child,18
1132,Mexico,Female,White,Never-married,Private,HS-grad,Other-service,Unmarried,31
11475,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Exec-managerial,Husband,28
11541,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,63
11583,United-States,Female,White,Separated,Private,Some-college,Other-service,Own-child,20
11646,United-States,Male,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,23
11780,United-States,Male,White,Married-civ-spouse,State-gov,Masters,Exec-managerial,Husband,43
11843,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,26
11954,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,24
1199,?,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
12041,United-States,Female,White,Never-married,Private,Assoc-voc,Adm-clerical,Not-in-family,25
12320,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,41
12432,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,40
12682,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,19
12863,United-States,Female,Black,Never-married,Federal-gov,HS-grad,Craft-repair,Own-child,44
1290,United-States,Male,White,Married-civ-spouse,?,12th,?,Husband,58
13138,United-States,Male,Black,Married-civ-spouse,Local-gov,Some-college,Craft-repair,Husband,42
13197,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,41
13392,United-States,Male,White,Married-civ-spouse,Private,10th,Machine-op-inspct,Husband,57
13408,United-States,Female,White,Divorced,Private,Assoc-acdm,Prof-specialty,Unmarried,26
1352,United-States,Female,White,Separated,Private,HS-grad,Sales,Own-child,42
13581,United-States,Female,White,Widowed,Private,Some-college,Other-service,Not-in-family,55
13655,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,49
13719,United-States,Female,White,Never-married,Local-gov,Some-college,Protective-serv,Own-child,24
13756,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,27
13826,?,Male,Black,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,26
13901,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Exec-managerial,Husband,55
14008,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,43
14270,United-States,Male,White,Never-married,Private,Some-college,Other-service,Not-in-family,20
14539,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Protective-serv,Husband,30
14639,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,25
14670,United-States,Male,White,Never-married,Private,HS-grad,Transport-moving,Not-in-family,22
14682,United-States,Male,Black,Married-civ-spouse,Federal-gov,Some-college,Adm-clerical,Husband,26
14707,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Exec-managerial,Husband,45
14752,United-States,Female,Asian-Pac-Islander,Never-married,Private,Assoc-voc,Adm-clerical,Not-in-family,28
14943,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,31
14956,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,61
14957,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,23
15040,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Own-child,25
15110,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Adm-clerical,Husband,29
15155,United-States,Female,White,Divorced,Federal-gov,Some-college,Adm-clerical,Unmarried,47
15168,United-States,Male,White,Never-married,State-gov,Bachelors,Prof-specialty,Not-in-family,24
15213,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Wife,24
15245,United-States,Male,White,Divorced,Self-emp-not-inc,Some-college,Other-service,Not-in-family,44
1525,United-States,Male,Black,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,20
15376,United-States,Male,White,Divorced,Self-emp-not-inc,HS-grad,Exec-managerial,Not-in-family,55
15496,Germany,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,67
15506,United-States,Female,White,Divorced,Private,Some-college,Other-service,Unmarried,36
15659,United-States,Male,White,Never-married,Local-gov,Bachelors,Protective-serv,Not-in-family,26
15705,United-States,Male,White,Never-married,Self-emp-not-inc,Some-college,Craft-repair,Not-in-family,27
1572,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,24
15813,United-States,Male,White,Married-civ-spouse,Federal-gov,Prof-school,Prof-specialty,Husband,32
1605,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,67
16052,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,51
16062,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,27
16151,United-States,Female,White,Married-civ-spouse,?,HS-grad,?,Wife,46
1627,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Sales,Wife,52
16274,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,48
16499,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,69
16610,United-States,Male,Black,Divorced,Private,HS-grad,Craft-repair,Own-child,51
