record_id,native-country,relationship,age,capital-gain,capital-loss,education,hours-per-week,occupation,race,workclass
10054,United-States,Not-in-family,35,0,0,HS-grad,40,Handlers-cleaners,White,Private
10066,United-States,Other-relative,27,0,0,HS-grad,30,Other-service,Black,Private
10107,India,Husband,31,0,0,Bachelors,60,Adm-clerical,Asian-Pac-Islander,Private
10194,United-States,Own-child,19,0,0,HS-grad,16,Handlers-cleaners,White,Private
10531,United-States,Not-in-family,60,0,0,HS-grad,50,Sales,White,Private
10628,United-States,Husband,47,0,0,HS-grad,45,Sales,White,Private
10681,United-States,Wife,57,0,0,10th,40,?,White,?
10971,United-States,Husband,58,0,0,1st-4th,40,Farming-fishing,White,Private
10974,Germany,Not-in-family,30,0,0,HS-grad,50,Handlers-cleaners,White,Private
11469,United-States,Husband,37,0,0,HS-grad,40,Machine-op-inspct,White,State-gov
11474,United-States,Not-in-family,54,0,0,HS-grad,20,?,White,?
11478,United-States,Husband,73,0,0,5th-6th,20,Protective-serv,White,Local-gov
11581,United-States,Not-in-family,56,0,0,Some-college,32,Exec-managerial,Black,Private
11848,United-States,Husband,40,0,0,Masters,40,Prof-specialty,White,Local-gov
12040,United-States,Husband,37,0,0,HS-grad,40,Transport-moving,White,Private
12056,United-States,Own-child,17,0,0,11th,30,Protective-serv,White,Private
12459,United-States,Own-child,28,0,0,Some-college,40,Craft-repair,White,Private
12541,Cuba,Not-in-family,40,0,0,Prof-school,40,Exec-managerial,White,Private
12735,United-States,Unmarried,32,0,0,Bachelors,40,Exec-managerial,White,Private
12789,United-States,Not-in-family,20,0,0,10th,36,Sales,White,Private
12837,United-States,Husband,69,0,0,Doctorate,50,Prof-specialty,White,State-gov
1284,United-States,Wife,50,5178,0,HS-grad,40,Adm-clerical,White,Private
1294,United-States,Husband,36,0,0,HS-grad,40,Handlers-cleaners,White,Private
1297,United-States,Husband,41,0,0,Assoc-acdm,40,Tech-support,White,Private
12992,United-States,Own-child,19,0,0,Some-college,25,Other-service,White,Private
13102,United-States,Not-in-family,33,0,0,HS-grad,40,Exec-managerial,White,Private
13195,United-States,Wife,46,0,0,Assoc-acdm,40,Exec-managerial,White,Self-emp-inc
13203,United-States,Husband,63,0,0,HS-grad,20,?,White,?
13219,United-States,Other-relative,62,0,0,HS-grad,30,Adm-clerical,White,Self-emp-not-inc
13237,Mexico,Unmarried,23,0,0,10th,60,Other-service,White,Private
13253,Mexico,Unmarried,31,0,0,HS-grad,40,Craft-repair,White,Private
