record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10003,United-States,Male,White,Separated,Self-emp-inc,Masters,Exec-managerial,Not-in-family,49
10285,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Other-service,Wife,39
10510,United-States,Female,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Wife,35
10607,Mexico,Female,White,Never-married,Private,HS-grad,Adm-clerical,Unmarried,25
10738,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,36
10744,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,38
10823,United-States,Female,White,Never-married,Private,Some-college,Sales,Own-child,23
10974,Germany,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,30
11017,Germany,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,54
11065,United-States,Male,White,Married-civ-spouse,Private,9th,Craft-repair,Husband,27
11091,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,49
11193,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,45
11267,United-States,Female,Black,Never-married,Private,HS-grad,Exec-managerial,Not-in-family,45
11452,United-States,Male,White,Married-civ-spouse,Private,11th,Transport-moving,Husband,23
11681,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,48
11740,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Not-in-family,49
11811,England,Female,White,Widowed,Private,HS-grad,Other-service,Unmarried,68
11906,United-States,Male,White,Never-married,Local-gov,Masters,Prof-specialty,Not-in-family,45
12089,United-States,Female,White,Divorced,State-gov,Some-college,Adm-clerical,Unmarried,39
12112,United-States,Male,White,Married-spouse-absent,Federal-gov,7th-8th,Handlers-cleaners,Unmarried,48
12129,United-States,Male,Asian-Pac-Islander,Never-married,Private,HS-grad,Transport-moving,Other-relative,33
12133,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,35
12164,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,28
12372,Puerto-Rico,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,29
12457,United-States,Male,White,Never-married,Private,HS-grad,Tech-support,Own-child,23
12706,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,25
12842,United-States,Male,White,Never-married,Private,Assoc-acdm,Sales,Not-in-family,24
12898,Mexico,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,48
12969,United-States,Male,White,Never-married,State-gov,Some-college,Prof-specialty,Not-in-family,23
1297,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,41
13228,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,43
13281,?,Female,White,Never-married,Private,Some-college,Sales,Unmarried,26
13429,United-States,Female,White,Never-married,Private,Some-college,Sales,Own-child,31
13603,?,Male,White,Never-married,Self-emp-not-inc,HS-grad,Sales,Own-child,18
13643,United-States,Male,Black,Separated,Federal-gov,HS-grad,Adm-clerical,Other-relative,30
13847,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,23
13856,United-States,Male,White,Divorced,Self-emp-not-inc,Some-college,Craft-repair,Unmarried,58
13961,Iran,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,35
13992,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,31
14021,United-States,Female,Black,Never-married,Private,Bachelors,Exec-managerial,Unmarried,29
1422,United-States,Female,White,Never-married,Private,Assoc-acdm,Adm-clerical,Own-child,40
14457,United-States,Male,White,Never-married,Private,Some-college,Sales,Own-child,21
14462,Mexico,Female,White,Married-civ-spouse,Private,HS-grad,Other-service,Wife,26
14499,United-States,Female,White,Never-married,?,Bachelors,?,Not-in-family,28
14504,United-States,Female,Black,Never-married,Private,HS-grad,Sales,Unmarried,27
14627,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Handlers-cleaners,Husband,43
14671,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Other-service,Husband,37
15004,United-States,Male,White,Divorced,Private,Assoc-voc,Prof-specialty,Not-in-family,36
15116,United-States,Female,White,Widowed,Private,Assoc-voc,Craft-repair,Not-in-family,60
15120,United-States,Male,White,Married-civ-spouse,State-gov,Some-college,Adm-clerical,Husband,31
15152,?,Male,Black,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,32
15194,United-States,Male,White,Never-married,State-gov,HS-grad,Other-service,Own-child,18
1531,United-States,Male,White,Married-civ-spouse,Private,10th,Machine-op-inspct,Husband,40
1541,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,62
15560,Jamaica,Male,Black,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,53
15584,France,Female,White,Divorced,?,Assoc-voc,?,Not-in-family,33
15602,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,32
15623,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,36
15788,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,67
15888,United-States,Female,Black,Never-married,Private,11th,Handlers-cleaners,Other-relative,41
1599,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,24
16025,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,38
16065,United-States,Male,White,Never-married,?,5th-6th,?,Not-in-family,23
16087,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,40
16185,United-States,Female,White,Never-married,?,Some-college,?,Own-child,23
16423,United-States,Female,Amer-Indian-Eskimo,Divorced,Private,HS-grad,Adm-clerical,Unmarried,55
16455,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,26
16503,United-States,Female,White,Never-married,State-gov,Some-college,Prof-specialty,Not-in-family,21
16638,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,35
16688,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Craft-repair,Husband,47
16802,United-States,Female,White,Married-civ-spouse,?,Bachelors,?,Wife,26
17084,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,50
17297,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,30
17360,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,30
17460,Puerto-Rico,Male,Other,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,28
17493,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,34
17687,United-States,Female,Black,Never-married,Private,Bachelors,Adm-clerical,Own-child,26
17901,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Craft-repair,Husband,57
17984,South,Female,Asian-Pac-Islander,Married-civ-spouse,Self-emp-inc,Bachelors,Adm-clerical,Wife,53
1799,United-States,Female,White,Divorced,Private,7th-8th,Sales,Not-in-family,63
18008,United-States,Female,White,Widowed,?,HS-grad,?,Not-in-family,71
18025,United-States,Male,White,Never-married,Private,Some-college,Other-service,Not-in-family,27
18056,United-States,Male,White,Never-married,?,Some-college,?,Own-child,21
18102,United-States,Male,White,Widowed,Private,Some-college,Exec-managerial,Not-in-family,56
18193,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,52
18226,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,45
18264,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
18305,United-States,Male,Black,Never-married,Private,Some-college,Other-service,Own-child,21
18478,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Machine-op-inspct,Husband,32
18568,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
18628,United-States,Female,White,Divorced,Private,HS-grad,Craft-repair,Unmarried,41
18688,United-States,Male,White,Married-civ-spouse,Local-gov,5th-6th,Prof-specialty,Husband,73
18733,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,45
18752,United-States,Male,White,Never-married,Private,Bachelors,Tech-support,Not-in-family,29
18756,United-States,Female,White,Married-civ-spouse,Private,Some-college,Sales,Own-child,23
18794,United-States,Male,White,Married-civ-spouse,?,Masters,?,Husband,59
18919,United-States,Female,White,Divorced,State-gov,Some-college,Adm-clerical,Unmarried,46
18964,United-States,Male,White,Never-married,?,Some-college,?,Not-in-family,19
19128,United-States,Male,White,Divorced,Private,Assoc-voc,Craft-repair,Not-in-family,42
19200,Taiwan,Male,Asian-Pac-Islander,Never-married,Private,Bachelors,Prof-specialty,Own-child,25
19508,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,29
19545,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,24
19587,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Prof-specialty,Husband,61
19608,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,33
19624,United-States,Female,White,Never-married,Private,10th,Other-service,Own-child,18
19914,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,25
20245,United-States,Female,White,Divorced,State-gov,HS-grad,Exec-managerial,Not-in-family,41
20360,Vietnam,Female,Asian-Pac-Islander,Divorced,Self-emp-not-inc,HS-grad,Prof-specialty,Not-in-family,50
20447,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,37
20519,United-States,Male,White,Married-civ-spouse,Private,11th,Handlers-cleaners,Own-child,28
20522,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Craft-repair,Husband,27
20565,United-States,Male,White,Married-civ-spouse,Private,11th,Transport-moving,Husband,25
20599,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,40
20700,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Unmarried,33
20888,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Adm-clerical,Husband,37
20938,United-States,Female,White,Never-married,?,Some-college,?,Own-child,21
20950,United-States,Female,White,Divorced,Private,Some-college,Craft-repair,Unmarried,38
20953,Canada,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,80
20960,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,35
21030,Mexico,Male,White,Married-civ-spouse,Private,5th-6th,Farming-fishing,Husband,41
