record_id,occupation,sex,capital-gain,marital-status,race,relationship,workclass
10041,Handlers-cleaners,Male,0,Widowed,White,Unmarried,Local-gov
10204,Prof-specialty,Female,0,Never-married,White,Not-in-family,Private
10237,Sales,Male,0,Married-civ-spouse,White,Husband,Private
10291,Transport-moving,Male,0,Married-civ-spouse,Black,Husband,Private
10535,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,State-gov
10632,Exec-managerial,Male,0,Divorced,White,Not-in-family,State-gov
10672,Craft-repair,Male,3137,Married-civ-spouse,White,Husband,Self-emp-not-inc
11026,Sales,Male,0,Married-civ-spouse,White,Husband,Private
11083,Adm-clerical,Male,0,Married-civ-spouse,White,Husband,Local-gov
11261,?,Male,0,Married-civ-spouse,White,Husband,?
11381,Exec-managerial,Male,0,Married-civ-spouse,White,Husband,State-gov
11405,Other-service,Male,0,Never-married,White,Other-relative,Private
11695,Adm-clerical,Female,3887,Never-married,Black,Unmarried,Federal-gov
11790,Sales,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
11919,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,Private
12135,Exec-managerial,Female,0,Never-married,White,Own-child,Private
12287,Handlers-cleaners,Male,0,Never-married,Black,Not-in-family,Private
12327,Sales,Male,0,Married-civ-spouse,White,Husband,Private
12408,Adm-clerical,Female,0,Divorced,White,Not-in-family,Private
12432,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
12661,Adm-clerical,Female,0,Never-married,White,Not-in-family,Private
12671,Other-service,Male,0,Never-married,White,Own-child,Private
12713,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
12742,Craft-repair,Male,0,Never-married,White,Not-in-family,Private
1278,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Private
13016,Prof-specialty,Female,0,Separated,Black,Own-child,Local-gov
13145,Exec-managerial,Male,0,Never-married,White,Own-child,Private
13179,Exec-managerial,Female,0,Divorced,White,Not-in-family,Private
1331,Machine-op-inspct,Female,0,Never-married,White,Not-in-family,Private
13342,Sales,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
13401,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
13416,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
13430,Transport-moving,Male,0,Never-married,Asian-Pac-Islander,Not-in-family,Private
13469,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
13491,Adm-clerical,Male,0,Never-married,White,Not-in-family,Private
13589,Exec-managerial,Male,0,Never-married,Asian-Pac-Islander,Own-child,Self-emp-not-inc
13690,Adm-clerical,Male,0,Never-married,White,Not-in-family,Federal-gov
13694,Sales,Female,0,Never-married,White,Not-in-family,Self-emp-not-inc
14051,Handlers-cleaners,Male,0,Married-civ-spouse,White,Husband,Private
14053,?,Female,0,Never-married,Black,Not-in-family,?
14067,?,Female,0,Never-married,White,Own-child,?
14110,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
14159,Adm-clerical,Male,0,Married-civ-spouse,Asian-Pac-Islander,Husband,Local-gov
14195,Other-service,Female,0,Married-civ-spouse,White,Wife,Self-emp-not-inc
14243,Adm-clerical,Male,0,Never-married,White,Own-child,Private
14483,Craft-repair,Male,0,Separated,White,Not-in-family,Private
14546,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,Local-gov
14567,Adm-clerical,Female,0,Widowed,White,Not-in-family,State-gov
14675,Adm-clerical,Female,0,Divorced,White,Not-in-family,Private
14732,Craft-repair,Male,0,Married-civ-spouse,Amer-Indian-Eskimo,Husband,Private
14848,Transport-moving,Male,0,Married-civ-spouse,White,Husband,Private
15003,Sales,Male,0,Married-civ-spouse,White,Husband,Private
15338,Sales,Female,0,Widowed,Black,Unmarried,Private
15364,Tech-support,Male,0,Married-civ-spouse,White,Husband,Private
15430,Sales,Female,0,Never-married,White,Not-in-family,Private
15727,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,State-gov
15745,Exec-managerial,Male,14084,Divorced,White,Not-in-family,Self-emp-inc
16044,Sales,Female,0,Divorced,White,Other-relative,Private
16053,Sales,Male,7298,Married-civ-spouse,White,Husband,Private
16107,Handlers-cleaners,Male,0,Married-civ-spouse,White,Husband,Private
16269,Prof-specialty,Male,0,Married-civ-spouse,White,Husband,Self-emp-not-inc
16308,Other-service,Male,0,Never-married,White,Not-in-family,Private
16754,Prof-specialty,Female,0,Never-married,White,Not-in-family,Local-gov
16793,Craft-repair,Male,0,Married-civ-spouse,White,Husband,Private
