record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10016,United-States,Female,White,Never-married,?,Some-college,?,Not-in-family,23
10028,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,35
10073,United-States,Male,White,Divorced,Private,7th-8th,Handlers-cleaners,Not-in-family,62
10115,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,21
10151,United-States,Female,Black,Married-civ-spouse,Local-gov,HS-grad,Other-service,Wife,52
10199,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,45
10206,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,19
10386,Mexico,Female,White,Never-married,Self-emp-not-inc,Some-college,Prof-specialty,Not-in-family,26
10402,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,22
10516,United-States,Female,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,46
10573,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Husband,44
10796,United-States,Male,White,Never-married,Private,12th,Craft-repair,Unmarried,29
11117,United-States,Female,White,Never-married,Private,Some-college,Sales,Unmarried,29
11344,United-States,Female,White,Never-married,Private,11th,Prof-specialty,Not-in-family,21
11421,United-States,Female,White,Never-married,?,Assoc-acdm,?,Own-child,31
11733,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,47
11809,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,45
11962,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Prof-specialty,Husband,51
12082,?,Female,Black,Divorced,Private,HS-grad,Adm-clerical,Unmarried,36
12221,United-States,Female,Asian-Pac-Islander,Never-married,Federal-gov,Some-college,Adm-clerical,Own-child,33
12321,Trinadad&Tobago,Female,Black,Divorced,Private,Some-college,Tech-support,Not-in-family,45
12403,United-States,Female,White,Never-married,Private,HS-grad,Craft-repair,Own-child,22
12483,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,25
12504,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,28
12560,?,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,34
12680,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,43
12726,United-States,Female,White,Never-married,Private,Masters,Prof-specialty,Own-child,25
12736,United-States,Female,White,Divorced,Private,Assoc-voc,Adm-clerical,Not-in-family,58
12738,United-States,Female,White,Never-married,Private,Some-college,Other-service,Not-in-family,29
12756,United-States,Male,White,Married-civ-spouse,State-gov,Assoc-acdm,Tech-support,Husband,46
12803,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,64
12986,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,10th,Craft-repair,Husband,53
13036,United-States,Male,White,Divorced,Private,Some-college,Other-service,Not-in-family,40
13105,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,34
13176,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,43
13247,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Other-relative,44
13397,United-States,Female,White,Divorced,Local-gov,Masters,Prof-specialty,Not-in-family,49
13527,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,43
13573,Mexico,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Other-relative,35
13752,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,46
13781,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,39
13783,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Other-relative,47
13979,United-States,Male,White,Never-married,Private,HS-grad,Farming-fishing,Not-in-family,33
14017,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,40
14075,United-States,Male,White,Never-married,Private,12th,Other-service,Own-child,18
1413,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,53
14213,United-States,Female,Black,Never-married,?,11th,?,Not-in-family,28
14327,United-States,Female,Black,Married-civ-spouse,Private,1st-4th,Other-service,Other-relative,75
14394,United-States,Female,White,Never-married,Local-gov,Masters,Exec-managerial,Not-in-family,43
14500,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Unmarried,64
14540,United-States,Female,White,Widowed,Private,HS-grad,Other-service,Not-in-family,65
14579,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,55
14625,Mexico,Female,White,Married-spouse-absent,Private,HS-grad,Farming-fishing,Own-child,27
1488,United-States,Female,White,Divorced,Federal-gov,HS-grad,Adm-clerical,Unmarried,57
15136,?,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,26
15233,United-States,Male,White,Divorced,Self-emp-not-inc,HS-grad,Exec-managerial,Unmarried,42
15344,United-States,Female,White,Never-married,Private,11th,Sales,Own-child,18
15516,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,62
15651,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,45
15767,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,35
15813,United-States,Male,White,Married-civ-spouse,Federal-gov,Prof-school,Prof-specialty,Husband,32
15942,United-States,Male,White,Separated,Private,10th,Adm-clerical,Unmarried,38
16255,United-States,Female,White,Widowed,Private,11th,Tech-support,Unmarried,64
16284,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Assoc-acdm,Sales,Husband,51
16504,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Other-relative,30
16606,United-States,Male,Black,Never-married,Private,11th,Adm-clerical,Unmarried,23
16663,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,35
16738,United-States,Female,White,Never-married,Private,Some-college,Machine-op-inspct,Not-in-family,19
16762,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,81
17215,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Unmarried,43
17309,United-States,Female,Black,Never-married,Private,Some-college,Adm-clerical,Other-relative,20
17433,United-States,Male,White,Divorced,Private,Some-college,Sales,Own-child,41
17540,China,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Doctorate,Prof-specialty,Husband,48
17606,United-States,Male,White,Never-married,Private,Some-college,Other-service,Not-in-family,26
17622,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Prof-specialty,Husband,40
17673,United-States,Male,White,Never-married,Private,HS-grad,Farming-fishing,Not-in-family,19
17694,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Tech-support,Husband,50
17852,Mexico,Male,Other,Married-civ-spouse,Private,Bachelors,Machine-op-inspct,Husband,31
1789,Puerto-Rico,Female,White,Married-spouse-absent,Private,5th-6th,Handlers-cleaners,Unmarried,66
17906,United-States,Male,White,Divorced,Private,Some-college,Machine-op-inspct,Not-in-family,41
18213,United-States,Female,Asian-Pac-Islander,Never-married,Private,Some-college,Adm-clerical,Own-child,21
18341,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Exec-managerial,Husband,38
18345,United-States,Male,White,Never-married,Private,HS-grad,Transport-moving,Own-child,23
18664,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,47
18683,United-States,Female,White,Never-married,Private,7th-8th,Machine-op-inspct,Own-child,37
18690,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,34
18801,United-States,Female,White,Never-married,Local-gov,HS-grad,Other-service,Not-in-family,23
18817,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,58
18853,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Sales,Wife,36
18990,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,68
18996,United-States,Male,White,Divorced,Private,Bachelors,Exec-managerial,Not-in-family,58
19026,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,21
19238,United-States,Female,White,Never-married,Private,11th,Other-service,Own-child,18
19348,Italy,Male,White,Married-civ-spouse,Private,Bachelors,Handlers-cleaners,Husband,59
19412,United-States,Female,White,Divorced,Local-gov,Some-college,Protective-serv,Unmarried,43
1960,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,32
19628,United-States,Female,White,Divorced,State-gov,Some-college,Exec-managerial,Not-in-family,36
19709,?,Female,White,Married-civ-spouse,Self-emp-not-inc,10th,Craft-repair,Wife,58
19784,?,Male,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,35
19810,United-States,Female,White,Married-civ-spouse,Local-gov,Doctorate,Prof-specialty,Wife,46
19827,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,23
19922,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,33
20054,United-States,Male,White,Never-married,Private,HS-grad,Sales,Own-child,24
20261,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,66
20491,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Sales,Husband,43
20505,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Handlers-cleaners,Husband,49
20551,United-States,Female,Other,Never-married,?,Some-college,?,Unmarried,21
20667,United-States,Female,White,Divorced,Private,Bachelors,Exec-managerial,Not-in-family,33
20723,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,46
20767,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,29
20783,United-States,Female,White,Never-married,Private,10th,Other-service,Own-child,17
20908,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,55
21043,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,29
21051,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,34
21061,United-States,Female,Black,Divorced,Private,Some-college,Exec-managerial,Own-child,38
21138,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,28
21327,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,27
21438,United-States,Female,Amer-Indian-Eskimo,Married-civ-spouse,Private,HS-grad,Adm-clerical,Own-child,30
21488,Canada,Female,White,Never-married,Private,Some-college,Tech-support,Not-in-family,20
21581,United-States,Female,White,Never-married,Private,Bachelors,Sales,Own-child,23
21662,United-States,Female,White,Never-married,Private,Some-college,Other-service,Not-in-family,21
21975,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,57
22002,?,Female,White,Divorced,Private,Assoc-voc,Other-service,Unmarried,32
2202,United-States,Female,White,Widowed,Private,Bachelors,Adm-clerical,Unmarried,55
22116,United-States,Female,White,Never-married,Private,Some-college,Exec-managerial,Not-in-family,42
22194,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,55
22208,United-States,Female,Black,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Wife,35
22302,United-States,Male,Black,Never-married,Private,HS-grad,Other-service,Other-relative,42
2232,United-States,Male,Black,Never-married,Private,HS-grad,Sales,Not-in-family,45
2241,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,54
22502,United-States,Female,White,Never-married,?,10th,?,Not-in-family,19
22649,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,40
22782,Germany,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,34
22886,United-States,Male,White,Never-married,Private,HS-grad,Tech-support,Not-in-family,28
22894,United-States,Female,White,Divorced,State-gov,HS-grad,Tech-support,Unmarried,45
23006,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,40
23022,India,Male,Asian-Pac-Islander,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,34
23141,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,36
23205,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Craft-repair,Husband,29
23252,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Unmarried,23
23301,United-States,Male,White,Divorced,Private,Bachelors,Sales,Not-in-family,45
23315,Italy,Female,White,Never-married,?,Some-college,?,Own-child,22
23329,United-States,Male,Black,Never-married,Private,12th,Transport-moving,Not-in-family,44
23454,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,37
23487,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,43
23488,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Farming-fishing,Husband,40
23520,United-States,Female,White,Never-married,Federal-gov,Some-college,Adm-clerical,Not-in-family,22
23693,United-States,Female,White,Never-married,Private,HS-grad,Exec-managerial,Own-child,22
23703,United-States,Female,White,Divorced,Private,Bachelors,Exec-managerial,Not-in-family,38
23729,?,Female,White,Married-civ-spouse,?,Assoc-voc,?,Wife,41
23764,United-States,Female,White,Divorced,Private,HS-grad,Sales,Not-in-family,48
