record_id,race,sex,age,capital-loss,education,hours-per-week,marital-status,native-country,relationship,workclass
10021,Black,Female,45,0,11th,25,Separated,United-States,Unmarried,Private
10387,White,Male,42,0,Some-college,38,Married-civ-spouse,United-States,Husband,Private
10520,White,Female,26,0,HS-grad,25,Divorced,United-States,Unmarried,Local-gov
10536,White,Female,19,0,HS-grad,24,Never-married,United-States,Own-child,Private
10645,Black,Female,20,0,HS-grad,25,Never-married,United-States,Unmarried,Private
10949,White,Male,21,0,9th,40,Married-spouse-absent,United-States,Own-child,Private
10969,White,Male,29,0,HS-grad,55,Married-civ-spouse,United-States,Husband,Private
10981,White,Female,24,0,HS-grad,25,Married-civ-spouse,United-States,Wife,Private
10989,White,Male,60,0,Bachelors,40,Married-civ-spouse,United-States,Husband,Local-gov
11044,White,Male,47,0,Bachelors,60,Married-civ-spouse,United-States,Husband,State-gov
11163,Amer-Indian-Eskimo,Male,23,0,HS-grad,40,Never-married,United-States,Own-child,Private
11315,Asian-Pac-Islander,Male,66,0,Bachelors,30,Married-civ-spouse,Philippines,Husband,Private
11791,White,Female,23,0,HS-grad,30,Never-married,United-States,Not-in-family,Private
11808,White,Female,46,0,7th-8th,45,Married-civ-spouse,United-States,Wife,Private
11862,White,Male,23,0,HS-grad,40,Never-married,United-States,Own-child,Private
12016,White,Male,45,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Self-emp-inc
12223,White,Female,20,0,Some-college,20,Never-married,United-States,Own-child,Private
12654,White,Male,40,0,Assoc-voc,40,Divorced,United-States,Unmarried,Private
12701,White,Male,49,0,HS-grad,40,Divorced,Columbia,Unmarried,Private
12747,White,Female,30,0,Some-college,48,Never-married,United-States,Not-in-family,Private
1278,White,Male,47,0,HS-grad,35,Married-civ-spouse,United-States,Husband,Private
12781,White,Male,68,0,Some-college,40,Married-civ-spouse,United-States,Husband,Private
12922,Black,Male,27,0,Some-college,40,Never-married,United-States,Not-in-family,Private
13061,White,Male,40,0,9th,40,Married-civ-spouse,Mexico,Husband,Private
13297,White,Male,39,0,HS-grad,40,Married-civ-spouse,United-States,Husband,Private
1331,White,Female,20,0,Some-college,40,Never-married,United-States,Not-in-family,Private
13498,White,Male,63,0,Prof-school,30,Married-civ-spouse,United-States,Husband,?
13588,White,Female,34,0,Assoc-voc,40,Never-married,United-States,Own-child,Local-gov
13810,White,Female,41,0,Bachelors,12,Married-civ-spouse,United-States,Wife,Private
13823,White,Male,30,0,7th-8th,50,Never-married,United-States,Not-in-family,Private
13899,White,Female,43,0,HS-grad,50,Married-civ-spouse,Canada,Wife,Private
13925,White,Male,33,0,7th-8th,40,Divorced,United-States,Own-child,Private
14111,White,Male,37,0,Some-college,40,Divorced,United-States,Not-in-family,Private
14144,White,Male,57,0,Assoc-acdm,40,Married-civ-spouse,Iran,Husband,Self-emp-not-inc
14159,Asian-Pac-Islander,Male,90,0,Assoc-acdm,20,Married-civ-spouse,Philippines,Husband,Local-gov
14160,White,Female,27,0,Some-college,38,Divorced,United-States,Not-in-family,Private
