record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
1023,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,34
10236,United-States,Male,White,Married-civ-spouse,State-gov,10th,Handlers-cleaners,Husband,33
10306,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,28
10386,Mexico,Female,White,Never-married,Self-emp-not-inc,Some-college,Prof-specialty,Not-in-family,26
10819,United-States,Male,White,Separated,Self-emp-not-inc,Some-college,Sales,Unmarried,44
11010,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,37
11024,United-States,Male,White,Divorced,Private,Assoc-acdm,Machine-op-inspct,Own-child,45
11349,United-States,Male,White,Never-married,Private,Some-college,Other-service,Other-relative,21
11369,United-States,Male,Black,Never-married,Private,10th,Handlers-cleaners,Other-relative,28
11624,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Adm-clerical,Husband,49
11635,United-States,Male,White,Divorced,Private,HS-grad,Other-service,Own-child,39
11821,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,41
11903,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Unmarried,34
12040,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,37
12161,United-States,Male,White,Never-married,?,Some-college,?,Own-child,20
12309,United-States,Female,White,Never-married,Private,Some-college,Exec-managerial,Own-child,22
12345,United-States,Female,Black,Divorced,Private,10th,Other-service,Not-in-family,60
12399,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,35
1256,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,38
12604,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,46
12623,United-States,Female,Black,Never-married,Private,HS-grad,Other-service,Unmarried,25
12739,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,58
12766,United-States,Male,White,Never-married,Private,Some-college,Sales,Not-in-family,22
12769,United-States,Female,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Wife,44
1289,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
12967,United-States,Male,Black,Divorced,Self-emp-not-inc,HS-grad,Sales,Unmarried,52
13116,El-Salvador,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,48
13326,United-States,Female,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Wife,51
1338,United-States,Female,White,Divorced,Private,Bachelors,Tech-support,Own-child,71
13437,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,42
13493,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,64
13549,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,57
13665,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Wife,30
13698,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,37
13774,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,37
1378,United-States,Male,White,Married-civ-spouse,Private,Masters,Sales,Husband,65
1399,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,50
14011,United-States,Female,Black,Never-married,Private,Some-college,Sales,Unmarried,38
14106,United-States,Male,White,Never-married,Private,10th,Sales,Own-child,17
14123,Mexico,Male,White,Married-civ-spouse,?,5th-6th,?,Husband,41
14247,United-States,Male,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,54
14308,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Farming-fishing,Husband,45
14374,China,Male,Asian-Pac-Islander,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,34
14614,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,22
14796,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Transport-moving,Husband,42
14864,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Sales,Husband,37
14875,United-States,Male,Black,Married-civ-spouse,Federal-gov,Some-college,Protective-serv,Husband,25
1488,United-States,Female,White,Divorced,Federal-gov,HS-grad,Adm-clerical,Unmarried,57
14890,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,28
14996,Germany,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,35
15071,United-States,Male,White,Separated,Private,HS-grad,Exec-managerial,Not-in-family,39
1517,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Wife,59
15256,United-States,Female,White,Widowed,?,HS-grad,?,Not-in-family,74
15281,United-States,Male,Black,Never-married,Private,HS-grad,Transport-moving,Own-child,29
15297,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Exec-managerial,Not-in-family,42
15303,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,21
1531,United-States,Male,White,Married-civ-spouse,Private,10th,Machine-op-inspct,Husband,40
15311,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,41
15427,United-States,Male,White,Never-married,Private,Some-college,Machine-op-inspct,Not-in-family,35
15429,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Wife,36
15506,United-States,Female,White,Divorced,Private,Some-college,Other-service,Unmarried,36
1556,United-States,Male,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,23
15571,United-States,Male,White,Married-civ-spouse,Federal-gov,Some-college,Exec-managerial,Husband,50
15640,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,24
15687,United-States,Male,White,Married-spouse-absent,Private,HS-grad,Craft-repair,Other-relative,30
15978,China,Male,Asian-Pac-Islander,Never-married,Private,Some-college,Exec-managerial,Own-child,25
15986,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Not-in-family,38
16113,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,54
16285,United-States,Male,White,Married-civ-spouse,Private,12th,Prof-specialty,Husband,56
16331,United-States,Male,Black,Married-civ-spouse,Federal-gov,Assoc-voc,Craft-repair,Husband,44
16675,Mexico,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,40
16795,United-States,Female,White,Never-married,Private,HS-grad,Exec-managerial,Own-child,63
1685,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,37
17238,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,50
17394,United-States,Female,White,Divorced,Private,Some-college,Other-service,Not-in-family,45
17492,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,26
17510,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Own-child,36
17783,Mexico,Male,White,Never-married,Private,HS-grad,Transport-moving,Unmarried,24
17945,United-States,Male,Black,Married-civ-spouse,Private,Assoc-acdm,Machine-op-inspct,Husband,58
17975,Dominican-Republic,Male,White,Married-spouse-absent,Private,11th,Handlers-cleaners,Own-child,21
17985,United-States,Male,White,Married-civ-spouse,State-gov,Some-college,Exec-managerial,Husband,44
17991,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,43
17997,United-States,Male,White,Married-civ-spouse,Private,9th,Craft-repair,Husband,30
18146,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,46
18149,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
1816,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,46
18225,United-States,Male,White,Never-married,Private,HS-grad,Sales,Not-in-family,22
18261,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,34
18285,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,50
18288,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,30
18568,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
18574,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,24
18593,United-States,Female,Black,Never-married,Private,11th,Other-service,Own-child,17
18633,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,36
18666,United-States,Male,White,Divorced,Federal-gov,HS-grad,Machine-op-inspct,Not-in-family,44
18805,Canada,Female,White,Married-civ-spouse,?,Bachelors,?,Wife,31
19022,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Prof-specialty,Husband,37
19080,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,47
19539,United-States,Female,Black,Never-married,Local-gov,12th,Handlers-cleaners,Unmarried,21
196,United-States,Male,White,Divorced,Private,Some-college,Craft-repair,Not-in-family,36
19656,United-States,Male,White,Never-married,Private,Masters,Adm-clerical,Own-child,33
19721,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,37
19727,?,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,38
19764,United-States,Female,White,Married-civ-spouse,?,HS-grad,?,Own-child,22
19767,United-States,Male,White,Never-married,Local-gov,11th,Protective-serv,Own-child,18
19830,United-States,Male,White,Married-spouse-absent,?,HS-grad,?,Not-in-family,42
20062,United-States,Female,White,Divorced,Private,11th,Other-service,Unmarried,32
20088,United-States,Male,White,Married-civ-spouse,Self-emp-inc,7th-8th,Craft-repair,Husband,48
20319,United-States,Female,White,Divorced,Private,7th-8th,Other-service,Other-relative,50
20451,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,20
20493,United-States,Female,White,Married-civ-spouse,State-gov,Bachelors,Prof-specialty,Wife,34
20729,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,40
20899,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,22
20964,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Exec-managerial,Husband,49
20966,United-States,Male,White,Divorced,Private,HS-grad,Other-service,Not-in-family,47
20972,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,25
21021,United-States,Female,White,Separated,Local-gov,HS-grad,Adm-clerical,Not-in-family,28
21026,United-States,Female,Black,Divorced,Private,11th,Handlers-cleaners,Unmarried,46
21045,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Farming-fishing,Husband,36
21210,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,32
21368,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,41
21389,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,19
21408,United-States,Male,White,Married-civ-spouse,Self-emp-inc,11th,Transport-moving,Husband,60
2141,United-States,Male,White,Widowed,Private,HS-grad,Tech-support,Unmarried,49
21486,United-States,Female,Black,Never-married,Private,Some-college,Adm-clerical,Unmarried,28
21499,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,34
21661,United-States,Female,White,Never-married,Private,HS-grad,Sales,Own-child,21
21716,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,26
21735,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,42
21831,England,Male,White,Divorced,Private,Bachelors,Exec-managerial,Not-in-family,34
22006,United-States,Male,White,Widowed,?,9th,?,Not-in-family,76
2214,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Other-service,Not-in-family,64
22170,United-States,Male,Black,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Husband,35
22253,United-States,Male,White,Never-married,Private,12th,Other-service,Own-child,17
22276,United-States,Male,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,39
22284,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Doctorate,Prof-specialty,Husband,54
22350,Puerto-Rico,Female,White,Separated,?,10th,?,Other-relative,26
22358,Trinadad&Tobago,Female,Other,Separated,Private,9th,Other-service,Unmarried,45
2241,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,54
22511,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Not-in-family,51
22541,Guatemala,Male,White,Married-civ-spouse,Private,9th,Craft-repair,Husband,36
22612,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Craft-repair,Husband,40
22655,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,38
2266,Mexico,Male,White,Never-married,Private,12th,Machine-op-inspct,Own-child,23
22744,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,44
22748,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Masters,Sales,Wife,41
