record_id,native-country,sex,race,age,is_member
22542,United-States,Male,White,42,0
17315,United-States,Male,White,57,1
6008,United-States,Male,White,51,1
2953,United-States,Male,Black,34,1
16496,United-States,Male,White,51,0
23146,United-States,Female,White,28,0
15753,United-States,Male,White,38,1
10690,United-States,Female,White,44,0
14587,United-States,Female,White,33,0
22613,United-States,Male,White,39,0
31900,United-States,Male,White,37,0
15370,United-States,Male,White,39,0
6187,United-States,Male,Black,33,0
20455,Mexico,Male,White,25,1
1385,United-States,Male,White,45,0
12147,United-States,Male,White,17,1
5342,United-States,Male,White,28,1
11149,United-States,Male,White,42,1
15782,United-States,Female,White,18,0
8023,United-States,Male,Black,42,0
22924,United-States,Male,White,39,1
18498,United-States,Female,Black,62,1
7576,United-States,Female,White,40,0
30330,United-States,Male,White,28,0
3122,United-States,Female,White,26,0
26230,United-States,Male,White,54,1
26372,Peru,Male,White,41,1
15382,United-States,Male,White,51,0
8864,United-States,Male,White,33,1
6179,United-States,Male,White,58,0
22795,United-States,Male,White,25,1
25521,United-States,Male,White,34,1
30410,United-States,Male,White,64,1
12272,United-States,Female,White,41,1
23951,United-States,Male,White,29,0
30378,United-States,Female,Black,22,1
16735,United-States,Female,White,17,0
18718,United-States,Male,White,40,1
18839,Hungary,Male,White,66,0
12445,United-States,Male,White,46,1
11808,United-States,Female,White,46,0
21479,United-States,Male,White,29,1
14220,United-States,Male,White,41,1
14194,China,Male,Asian-Pac-Islander,34,0
20210,United-States,Male,White,43,0
3411,United-States,Female,Black,35,1
31577,United-States,Female,Black,66,1
10773,United-States,Female,White,49,1
22955,United-States,Male,White,56,0
25750,United-States,Male,Black,53,1
11142,United-States,Male,White,36,0
10387,United-States,Male,White,42,0
22842,United-States,Female,Black,25,0
17213,United-States,Male,White,58,0
27914,Italy,Male,White,38,0
6230,United-States,Male,White,31,1
17362,United-States,Male,White,30,1
10814,United-States,Male,White,44,1
11315,Philippines,Male,Asian-Pac-Islander,66,0
17114,United-States,Female,White,40,1
31733,United-States,Male,White,41,0
2019,United-States,Male,White,23,1
30138,United-States,Male,White,36,1
15483,United-States,Female,Black,39,0
9668,United-States,Male,White,31,1
1441,United-States,Male,White,61,0
9188,United-States,Male,White,28,0
12092,United-States,Male,White,52,0
30933,United-States,Female,White,25,1
17681,United-States,Male,White,22,0
27232,United-States,Male,White,44,1
9831,United-States,Male,White,67,0
3280,United-States,Male,White,27,1
13729,United-States,Male,White,39,0
4038,United-States,Male,White,35,1
25693,United-States,Female,White,49,1
4884,United-States,Female,White,26,0
16115,United-States,Male,White,28,1
3813,United-States,Female,White,46,0
14000,United-States,Male,White,54,1
4273,United-States,Female,White,72,0
11948,United-States,Female,White,25,1
31739,United-States,Female,White,36,0
13182,United-States,Male,White,62,1
18781,United-States,Male,White,47,0
13112,United-States,Male,White,60,1
29714,United-States,Female,Black,26,0
24976,United-States,Male,White,25,1
26195,United-States,Male,White,48,1
