record_id,age,sex,native-country,relationship,is_member
16841,42,Male,United-States,Not-in-family,0
27089,25,Male,United-States,Not-in-family,1
18310,18,Male,United-States,Own-child,0
5426,39,Male,United-States,Other-relative,1
31982,30,Male,United-States,Husband,0
4040,38,Female,United-States,Not-in-family,1
7327,53,Male,?,Husband,0
11958,31,Female,United-States,Own-child,0
1487,25,Female,United-States,Own-child,0
12644,39,Female,United-States,Unmarried,1
29658,41,Female,United-States,Not-in-family,1
25834,22,Female,United-States,Own-child,0
11782,48,Male,United-States,Husband,0
9295,36,Male,United-States,Not-in-family,0
23286,41,Male,Mexico,Husband,1
19922,33,Male,United-States,Husband,1
18554,37,Female,United-States,Not-in-family,1
25538,37,Male,United-States,Husband,1
7375,39,Male,United-States,Own-child,0
1562,75,Female,United-States,Not-in-family,1
24801,29,Male,United-States,Husband,0
13514,38,Male,United-States,Husband,0
14785,17,Male,United-States,Own-child,1
13844,24,Male,Mexico,Husband,1
3692,46,Male,United-States,Husband,1
12845,38,Male,United-States,Not-in-family,0
17016,42,Female,United-States,Not-in-family,0
20332,21,Male,United-States,Husband,0
9988,43,Male,United-States,Husband,1
19332,26,Male,United-States,Husband,0
21377,57,Female,United-States,Unmarried,0
19113,25,Male,El-Salvador,Husband,1
10241,31,Male,United-States,Husband,0
31445,54,Male,United-States,Husband,0
11324,65,Male,United-States,Husband,1
27901,28,Female,United-States,Not-in-family,1
29920,36,Male,United-States,Not-in-family,0
3638,22,Male,United-States,Not-in-family,1
9188,28,Male,United-States,Husband,0
19759,34,Male,United-States,Not-in-family,0
26929,41,Male,United-States,Husband,0
18089,20,Male,United-States,Not-in-family,0
11224,42,Male,United-States,Not-in-family,1
17706,36,Male,United-States,Husband,1
20840,39,Male,United-States,Husband,1
17236,23,Male,United-States,Husband,1
30427,42,Female,United-States,Unmarried,1
14160,27,Female,United-States,Not-in-family,0
23623,56,Female,United-States,Unmarried,1
13297,39,Male,United-States,Husband,0
14215,22,Female,United-States,Not-in-family,1
23129,31,Male,United-States,Own-child,1
6321,20,Male,India,Own-child,1
15208,20,Male,United-States,Own-child,0
13234,68,Male,United-States,Husband,1
1884,27,Male,United-States,Unmarried,1
27286,29,Female,United-States,Wife,1
4449,56,Male,United-States,Not-in-family,0
16002,50,Female,United-States,Unmarried,1
23961,58,Male,United-States,Husband,1
14212,18,Male,United-States,Own-child,1
7468,54,Female,United-States,Wife,0
23011,47,Male,United-States,Not-in-family,0
6672,26,Female,Jamaica,Own-child,0
16515,24,Male,United-States,Own-child,1
23811,19,Female,United-States,Own-child,1
19926,27,Male,India,Not-in-family,1
12385,34,Male,United-States,Husband,1
6422,44,Female,Puerto-Rico,Not-in-family,0
25882,40,Male,United-States,Husband,1
30851,29,Male,United-States,Husband,0
7741,19,Male,United-States,Not-in-family,1
16407,40,Male,United-States,Husband,1
32457,33,Male,United-States,Husband,0
2008,28,Male,United-States,Own-child,1
27918,59,Male,United-States,Husband,1
2735,26,Male,?,Not-in-family,1
11206,54,Female,United-States,Not-in-family,0
16401,19,Female,United-States,Own-child,0
6443,21,Male,United-States,Own-child,1
18882,43,Male,United-States,Husband,1
1022,42,Female,United-States,Not-in-family,1
25585,50,Female,United-States,Unmarried,0
22514,39,Female,United-States,Not-in-family,0
31031,53,Female,United-States,Unmarried,1
18391,39,Female,United-States,Unmarried,0
18314,57,Male,United-States,Husband,1
24412,60,Female,United-States,Not-in-family,0
26067,56,Male,United-States,Husband,1
6268,21,Male,United-States,Own-child,0
10300,23,Male,United-States,Own-child,0
31499,22,Male,United-States,Own-child,0
30152,48,Male,India,Husband,1
12642,30,Female,United-States,Wife,1
843,62,Female,United-States,Not-in-family,0
8952,37,Male,United-States,Husband,0
19274,45,Female,United-States,Unmarried,0
31718,34,Male,United-States,Not-in-family,0
32399,42,Male,United-States,Husband,0
10043,28,Male,United-States,Husband,1
10462,25,Female,United-States,Not-in-family,0
24890,32,Female,?,Unmarried,0
25089,39,Male,United-States,Husband,1
14889,48,Male,United-States,Husband,1
15764,33,Male,United-States,Not-in-family,1
28287,43,Female,United-States,Unmarried,1
30264,34,Male,United-States,Husband,1
11029,32,Male,United-States,Husband,1
5914,24,Female,United-States,Wife,1
9030,77,Male,United-States,Husband,1
9714,30,Female,United-States,Unmarried,1
23267,19,Female,United-States,Own-child,0
8506,27,Male,United-States,Husband,1
30747,64,Female,United-States,Not-in-family,0
7934,43,Male,United-States,Husband,0
5836,41,Male,United-States,Husband,0
23421,64,Male,United-States,Husband,0
28156,21,Female,United-States,Own-child,0
1782,29,Male,United-States,Own-child,1
27408,20,Female,United-States,Not-in-family,0
4437,56,Female,United-States,Not-in-family,1
14724,31,Male,United-States,Husband,0
10515,48,Male,United-States,Husband,0
16201,51,Male,United-States,Husband,0
24903,61,Male,United-States,Not-in-family,1
31900,37,Male,United-States,Not-in-family,0
7138,34,Male,United-States,Husband,1
15842,18,Female,United-States,Own-child,0
6230,31,Male,United-States,Husband,1
30714,40,Female,United-States,Not-in-family,1
11960,27,Male,United-States,Husband,1
25506,18,Male,United-States,Own-child,0
7029,52,Male,Canada,Husband,0
21130,49,Female,India,Unmarried,0
32101,45,Female,Germany,Unmarried,0
27043,45,Male,United-States,Husband,0
21633,35,Female,United-States,Unmarried,1
12774,24,Female,United-States,Not-in-family,0
11161,24,Female,United-States,Own-child,1
4216,34,Male,United-States,Other-relative,0
16507,44,Male,United-States,Husband,0
14202,49,Male,United-States,Not-in-family,0
3745,25,Male,United-States,Husband,0
27048,45,Female,United-States,Wife,0
29109,47,Female,United-States,Not-in-family,1
31915,38,Male,United-States,Not-in-family,1
31910,43,Female,United-States,Unmarried,1
3525,31,Male,United-States,Husband,0
14873,43,Male,United-States,Husband,1
7525,46,Female,El-Salvador,Not-in-family,0
11262,46,Female,United-States,Unmarried,1
1109,41,Male,United-States,Husband,0
1588,22,Female,United-States,Own-child,0
945,54,Female,United-States,Unmarried,1
4639,30,Male,?,Not-in-family,0
14852,26,Female,United-States,Not-in-family,1
10989,60,Male,United-States,Husband,0
31125,56,Male,United-States,Husband,0
30304,40,Male,United-States,Not-in-family,1
22664,19,Male,United-States,Not-in-family,1
16496,51,Male,United-States,Husband,0
597,42,Male,United-States,Husband,1
864,33,Male,United-States,Husband,1
1743,38,Female,United-States,Own-child,1
6348,23,Male,United-States,Other-relative,1
3367,36,Male,United-States,Husband,1
12619,40,Male,El-Salvador,Not-in-family,1
16430,57,Male,United-States,Husband,1
12781,68,Male,United-States,Husband,0
1786,35,Female,United-States,Wife,0
16081,41,Female,United-States,Wife,1
6604,41,Male,Iran,Not-in-family,0
10660,52,Male,United-States,Husband,0
8431,82,Male,United-States,Husband,1
24006,29,Female,Taiwan,Unmarried,0
13053,24,Female,United-States,Not-in-family,0
17125,27,Male,United-States,Not-in-family,1
26484,37,Female,United-States,Not-in-family,1
573,37,Male,United-States,Husband,0
21371,30,Male,Hungary,Not-in-family,1
17507,22,Female,United-States,Own-child,0
850,61,Female,United-States,Not-in-family,0
31903,35,Male,United-States,Husband,0
19126,60,Male,United-States,Husband,0
4413,20,Female,United-States,Own-child,0
24223,44,Male,United-States,Husband,0
19976,26,Female,United-States,Not-in-family,0
24680,43,Female,United-States,Wife,0
11769,25,Female,United-States,Not-in-family,0
22349,21,Male,United-States,Own-child,0
11917,30,Female,United-States,Not-in-family,1
19752,32,Male,United-States,Husband,1
2434,26,Male,United-States,Not-in-family,1
16937,23,Male,United-States,Own-child,0
25706,24,Female,United-States,Own-child,1
5554,58,Male,United-States,Husband,0
30967,21,Male,United-States,Own-child,1
264,26,Male,United-States,Husband,1
3456,22,Female,United-States,Own-child,1
23342,21,Female,United-States,Own-child,0
4241,34,Male,United-States,Not-in-family,0
26812,26,Male,United-States,Other-relative,0
11118,36,Male,United-States,Not-in-family,1
9162,34,Female,United-States,Not-in-family,0
26570,47,Male,Iran,Husband,1
24069,22,Male,United-States,Own-child,1
807,33,Male,United-States,Husband,1
7135,21,Male,United-States,Own-child,1
25840,46,Male,United-States,Husband,1
15877,37,Male,Iran,Husband,0
5094,33,Female,United-States,Not-in-family,0
3876,61,Male,United-States,Husband,0
21055,55,Female,United-States,Unmarried,0
10421,38,Male,United-States,Husband,0
20327,55,Male,United-States,Not-in-family,0
9671,21,Male,United-States,Own-child,1
13736,35,Male,United-States,Husband,0
1120,29,Male,United-States,Husband,1
24590,32,Male,United-States,Husband,1
2973,36,Male,United-States,Husband,1
7528,56,Female,United-States,Not-in-family,0
10450,45,Female,United-States,Unmarried,1
23665,64,Male,United-States,Husband,0
262,17,Male,United-States,Own-child,1
25211,42,Male,United-States,Unmarried,0
7322,28,Female,United-States,Other-relative,1
21879,65,Female,United-States,Not-in-family,0
7144,29,Female,United-States,Unmarried,1
15145,34,Male,United-States,Husband,1
23317,33,Male,United-States,Husband,0
24667,17,Female,United-States,Own-child,0
10806,46,Male,United-States,Husband,1
1281,42,Female,Philippines,Unmarried,0
5114,29,Male,United-States,Husband,0
5991,44,Female,United-States,Own-child,1
13205,30,Male,United-States,Own-child,0
7515,29,Male,Mexico,Husband,0
2001,28,Female,United-States,Other-relative,0
20728,37,Male,United-States,Husband,0
5843,18,Male,United-States,Own-child,0
381,46,Female,United-States,Not-in-family,1
29321,36,Female,United-States,Unmarried,1
20962,27,Male,United-States,Own-child,0
543,27,Male,United-States,Not-in-family,1
27298,36,Female,United-States,Own-child,0
29469,49,Male,United-States,Unmarried,0
20547,33,Male,United-States,Not-in-family,0
18722,36,Male,United-States,Husband,1
30021,46,Male,United-States,Husband,1
9987,67,Male,United-States,Husband,0
12965,33,Female,United-States,Not-in-family,0
29385,24,Male,United-States,Husband,1
19279,32,Male,United-States,Unmarried,1
16036,28,Female,?,Not-in-family,0
8525,50,Male,United-States,Husband,0
18741,31,Male,United-States,Not-in-family,0
8792,57,Male,United-States,Husband,1
21002,42,Male,United-States,Husband,1
22344,26,Male,United-States,Own-child,1
21780,25,Female,United-States,Own-child,0
12306,68,Female,United-States,Not-in-family,1
21957,27,Male,United-States,Unmarried,1
20823,34,Male,United-States,Husband,1
9675,37,Female,United-States,Not-in-family,1
1824,51,Male,United-States,Husband,1
7605,56,Male,United-States,Husband,1
13859,37,Male,United-States,Own-child,1
26044,42,Male,United-States,Husband,0
18727,27,Male,United-States,Own-child,1
17495,21,Female,United-States,Not-in-family,0
22865,61,Male,United-States,Husband,1
16833,42,Male,United-States,Husband,0
17686,24,Female,United-States,Own-child,0
12612,29,Male,United-States,Husband,1
16169,58,Male,Mexico,Husband,0
9401,36,Female,United-States,Own-child,1
20356,63,Male,United-States,Not-in-family,0
30661,57,Male,United-States,Husband,0
26302,42,Male,United-States,Husband,1
20603,49,Male,United-States,Husband,1
18462,42,Male,United-States,Own-child,1
15902,45,Male,Philippines,Unmarried,0
4641,58,Male,United-States,Husband,0
28695,51,Male,United-States,Husband,0
27581,47,Male,United-States,Husband,1
22929,37,Female,United-States,Unmarried,1
22824,35,Female,United-States,Other-relative,0
29158,67,Male,Philippines,Husband,0
1339,38,Male,United-States,Husband,0
3104,28,Male,United-States,Husband,1
30679,51,Female,United-States,Unmarried,0
6483,43,Male,United-States,Husband,0
7465,54,Male,United-States,Not-in-family,1
13588,34,Female,United-States,Own-child,0
22831,33,Female,United-States,Wife,1
29700,37,Male,United-States,Husband,1
28395,36,Male,Puerto-Rico,Not-in-family,0
16304,38,Male,United-States,Husband,1
26367,23,Male,United-States,Not-in-family,1
7627,20,Female,United-States,Own-child,0
18900,44,Male,Canada,Not-in-family,0
14120,40,Female,United-States,Not-in-family,1
21658,39,Male,United-States,Husband,0
15426,34,Male,United-States,Not-in-family,1
30638,25,Male,?,Husband,1
5786,43,Male,China,Husband,1
6103,41,Male,United-States,Husband,1
9663,35,Male,United-States,Husband,1
6948,60,Female,United-States,Not-in-family,0
2226,30,Female,United-States,Unmarried,1
29699,35,Male,United-States,Husband,1
6594,44,Female,United-States,Unmarried,0
169,66,Female,United-States,Not-in-family,1
27120,37,Male,United-States,Husband,0
10152,29,Female,United-States,Not-in-family,0
17684,38,Male,United-States,Not-in-family,1
14299,36,Male,United-States,Husband,1
1838,30,Male,United-States,Unmarried,1
26622,41,Female,United-States,Not-in-family,0
5187,66,Female,United-States,Not-in-family,0
17015,72,Female,United-States,Not-in-family,1
27880,36,Female,United-States,Unmarried,0
2529,49,Male,United-States,Not-in-family,1
31168,27,Female,United-States,Wife,0
27964,30,Female,United-States,Unmarried,1
23533,59,Male,United-States,Husband,0
753,23,Male,United-States,Unmarried,1
8698,44,Male,United-States,Husband,1
19776,20,Male,United-States,Not-in-family,1
13086,22,Male,United-States,Husband,0
27761,38,Male,United-States,Unmarried,1
27395,36,Male,United-States,Unmarried,0
25612,59,Male,United-States,Husband,0
22980,33,Female,United-States,Not-in-family,1
12854,49,Male,United-States,Husband,0
7335,40,Female,United-States,Unmarried,0
6535,25,Male,United-States,Not-in-family,1
29363,46,Male,United-States,Husband,0
5477,19,Male,United-States,Own-child,0
28811,23,Male,United-States,Not-in-family,0
28771,32,Female,United-States,Unmarried,0
29240,31,Male,United-States,Other-relative,0
24897,35,Male,United-States,Husband,0
1082,58,Male,United-States,Husband,1
29151,24,Female,United-States,Not-in-family,1
29137,29,Male,Scotland,Not-in-family,0
7622,35,Female,United-States,Unmarried,1
22570,43,Male,United-States,Husband,1
15544,23,Male,United-States,Own-child,1
17759,37,Female,United-States,Own-child,1
1959,32,Male,United-States,Husband,0
7864,36,Male,United-States,Husband,1
1516,46,Male,United-States,Husband,0
23702,33,Male,United-States,Not-in-family,1
22657,51,Male,United-States,Husband,0
2554,36,Male,United-States,Husband,0
25590,21,Male,United-States,Own-child,0
14683,50,Female,United-States,Unmarried,1
31878,61,Male,United-States,Husband,0
2345,29,Male,United-States,Husband,1
16207,26,Male,United-States,Husband,0
20044,65,Male,United-States,Husband,1
20115,49,Male,United-States,Husband,0
5185,21,Male,?,Own-child,1
10645,20,Female,United-States,Unmarried,0
3368,40,Male,United-States,Husband,1
19712,61,Female,United-States,Unmarried,1
17050,56,Male,United-States,Husband,0
10760,26,Male,United-States,Husband,1
209,17,Female,United-States,Own-child,1
19809,35,Female,United-States,Wife,0
11899,39,Male,United-States,Husband,0
17516,68,Male,United-States,Husband,1
4457,31,Male,United-States,Own-child,0
1441,61,Male,United-States,Husband,0
12092,52,Male,United-States,Husband,0
8354,35,Male,United-States,Not-in-family,1
24629,52,Male,United-States,Husband,0
29325,20,Female,France,Own-child,0
6187,33,Male,United-States,Unmarried,0
24571,29,Female,United-States,Wife,0
24001,23,Male,United-States,Own-child,0
15221,36,Female,United-States,Wife,1
7717,18,Female,United-States,Own-child,1
26272,19,Male,United-States,Other-relative,1
12192,33,Male,United-States,Not-in-family,1
8463,58,Male,United-States,Husband,1
1540,26,Female,United-States,Own-child,1
11142,36,Male,United-States,Own-child,0
24824,18,Female,United-States,Own-child,1
842,51,Male,United-States,Husband,1
29376,35,Male,United-States,Other-relative,0
31816,43,Male,United-States,Husband,1
26792,62,Male,Philippines,Husband,1
16672,40,Male,United-States,Husband,1
1385,45,Male,United-States,Own-child,0
18950,23,Female,United-States,Not-in-family,1
31378,42,Male,United-States,Unmarried,0
15755,58,Male,United-States,Husband,0
10191,38,Male,United-States,Not-in-family,1
26405,64,Male,?,Husband,0
4884,26,Female,United-States,Unmarried,0
11253,34,Female,United-States,Not-in-family,0
24225,29,Male,Mexico,Not-in-family,0
10319,43,Female,United-States,Wife,0
16516,45,Male,United-States,Not-in-family,0
17716,29,Female,United-States,Unmarried,0
14720,17,Female,United-States,Own-child,0
15002,52,Male,United-States,Husband,1
6870,30,Female,United-States,Not-in-family,0
6220,55,Male,United-States,Husband,1
31531,28,Female,United-States,Wife,1
15370,39,Male,United-States,Husband,0
14617,38,Male,United-States,Husband,0
23572,19,Female,United-States,Own-child,1
15236,20,Male,United-States,Own-child,1
5803,27,Male,United-States,Own-child,0
24595,28,Male,United-States,Not-in-family,1
27142,34,Male,United-States,Husband,0
14838,32,Male,United-States,Husband,1
7452,53,Male,United-States,Husband,1
19487,29,Male,United-States,Husband,0
4034,21,Male,United-States,Not-in-family,0
30933,25,Female,United-States,Not-in-family,1
12522,33,Male,United-States,Husband,0
14294,39,Male,United-States,Husband,1
29481,18,Male,United-States,Own-child,0
2677,33,Male,United-States,Unmarried,1
8407,31,Male,United-States,Not-in-family,1
11442,33,Female,United-States,Not-in-family,1
31007,63,Female,United-States,Wife,1
29044,46,Male,United-States,Husband,0
15951,31,Female,United-States,Wife,0
9387,29,Male,United-States,Husband,1
24154,46,Male,India,Husband,0
8256,50,Male,United-States,Husband,0
19518,29,Male,United-States,Husband,1
28435,20,Female,United-States,Own-child,1
24867,48,Male,United-States,Not-in-family,0
20958,52,Female,United-States,Not-in-family,0
10509,30,Male,United-States,Own-child,1
16996,32,Male,United-States,Not-in-family,1
18275,38,Male,United-States,Husband,0
13674,45,Male,United-States,Husband,0
14175,46,Male,United-States,Husband,1
8332,58,Male,United-States,Not-in-family,1
24542,32,Male,United-States,Husband,0
9473,37,Female,United-States,Not-in-family,0
26563,50,Female,United-States,Unmarried,0
32039,24,Male,United-States,Own-child,0
16069,44,Male,Mexico,Husband,0
31580,55,Male,United-States,Not-in-family,1
10428,42,Male,United-States,Husband,0
15547,32,Female,Mexico,Unmarried,0
18696,55,Male,United-States,Husband,0
23583,31,Male,United-States,Husband,0
19644,50,Male,United-States,Husband,0
18098,45,Male,United-States,Husband,0
