record_id,age,sex,race,marital-status,native-country
10019,35,Male,White,Married-civ-spouse,United-States
10021,45,Female,Black,Separated,United-States
1023,34,Male,White,Married-civ-spouse,United-States
10387,42,Male,White,Married-civ-spouse,United-States
10462,25,Female,Black,Never-married,United-States
10520,26,Female,White,Divorced,United-States
10536,19,Female,White,Never-married,United-States
10580,48,Male,White,Divorced,United-States
10628,47,Male,White,Married-civ-spouse,United-States
10645,20,Female,Black,Never-married,United-States
10689,25,Male,White,Married-civ-spouse,United-States
10739,33,Male,White,Never-married,United-States
10949,21,Male,White,Married-spouse-absent,United-States
10969,29,Male,White,Married-civ-spouse,United-States
10981,24,Female,White,Married-civ-spouse,United-States
10989,60,Male,White,Married-civ-spouse,United-States
11044,47,Male,White,Married-civ-spouse,United-States
11057,33,Male,White,Married-civ-spouse,United-States
11163,23,Male,Amer-Indian-Eskimo,Never-married,United-States
11315,66,Male,Asian-Pac-Islander,Married-civ-spouse,Philippines
11682,56,Female,White,Married-civ-spouse,United-States
11782,48,Male,White,Married-civ-spouse,United-States
11791,23,Female,White,Never-married,United-States
11808,46,Female,White,Married-civ-spouse,United-States
11862,23,Male,White,Never-married,United-States
12005,47,Male,White,Married-civ-spouse,United-States
12016,45,Male,White,Married-civ-spouse,United-States
12035,65,Male,White,Married-civ-spouse,United-States
12223,20,Female,White,Never-married,United-States
12430,23,Male,White,Never-married,United-States
12483,25,Male,White,Never-married,United-States
12530,39,Female,White,Never-married,United-States
12593,36,Male,White,Married-civ-spouse,United-States
12654,40,Male,White,Divorced,United-States
12701,49,Male,White,Divorced,Columbia
12747,30,Female,White,Never-married,United-States
1278,47,Male,White,Married-civ-spouse,United-States
12781,68,Male,White,Married-civ-spouse,United-States
1288,37,Male,White,Never-married,United-States
12922,27,Male,Black,Never-married,United-States
12971,17,Female,White,Never-married,United-States
13061,40,Male,White,Married-civ-spouse,Mexico
13297,39,Male,White,Married-civ-spouse,United-States
1331,20,Female,White,Never-married,United-States
13346,36,Male,White,Married-civ-spouse,United-States
13497,58,Male,White,Divorced,United-States
13498,63,Male,White,Married-civ-spouse,United-States
13588,34,Female,White,Never-married,United-States
13613,43,Male,White,Never-married,United-States
13658,34,Male,Black,Separated,United-States
13810,41,Female,White,Married-civ-spouse,United-States
13823,30,Male,White,Never-married,United-States
13899,43,Female,White,Married-civ-spouse,Canada
13906,25,Female,White,Never-married,United-States
13925,33,Male,White,Divorced,United-States
14111,37,Male,White,Divorced,United-States
14144,57,Male,White,Married-civ-spouse,Iran
14159,90,Male,Asian-Pac-Islander,Married-civ-spouse,Philippines
14160,27,Female,White,Divorced,United-States
14244,41,Male,White,Married-civ-spouse,United-States
14351,30,Female,White,Never-married,United-States
14366,42,Male,White,Married-civ-spouse,United-States
14401,37,Female,Asian-Pac-Islander,Divorced,South
14513,51,Female,White,Married-civ-spouse,United-States
1456,25,Male,White,Divorced,United-States
14587,33,Female,White,Married-civ-spouse,United-States
14675,48,Female,White,Divorced,United-States
14720,17,Female,Amer-Indian-Eskimo,Never-married,United-States
14733,45,Male,White,Married-civ-spouse,United-States
14858,26,Female,White,Divorced,United-States
14969,59,Male,White,Married-civ-spouse,United-States
15004,36,Male,White,Divorced,United-States
15041,37,Female,White,Never-married,United-States
15238,73,Male,White,Married-civ-spouse,United-States
15301,39,Male,White,Never-married,United-States
15382,51,Male,White,Married-civ-spouse,United-States
15491,19,Female,White,Never-married,United-States
15614,49,Male,White,Never-married,United-States
15615,36,Male,White,Never-married,United-States
15687,30,Male,White,Married-spouse-absent,United-States
15746,31,Male,White,Married-civ-spouse,United-States
15778,27,Female,White,Divorced,United-States
15821,27,Male,White,Married-civ-spouse,United-States
15842,18,Female,White,Never-married,United-States
15844,59,Male,White,Divorced,United-States
15877,37,Male,Asian-Pac-Islander,Married-civ-spouse,Iran
1588,22,Female,White,Never-married,United-States
15951,31,Female,White,Married-civ-spouse,United-States
16025,38,Male,Asian-Pac-Islander,Married-civ-spouse,United-States
16036,28,Female,White,Never-married,?
16045,28,Male,White,Never-married,United-States
16054,42,Male,White,Never-married,United-States
16069,44,Male,White,Married-civ-spouse,Mexico
16113,54,Male,White,Married-civ-spouse,United-States
16118,27,Male,Black,Divorced,Jamaica
16119,30,Female,White,Divorced,United-States
16128,27,Male,White,Married-civ-spouse,United-States
1616,46,Male,White,Married-civ-spouse,United-States
16169,58,Male,White,Married-civ-spouse,Mexico
16278,27,Female,White,Never-married,United-States
16362,59,Female,Black,Separated,United-States
16384,21,Male,White,Never-married,United-States
16507,44,Male,White,Married-civ-spouse,United-States
16516,45,Male,White,Divorced,United-States
16561,32,Male,White,Never-married,United-States
16635,48,Female,White,Widowed,?
1668,52,Male,White,Married-civ-spouse,United-States
16697,61,Male,White,Divorced,United-States
16771,33,Male,White,Never-married,Cuba
16773,44,Male,White,Divorced,United-States
16793,50,Male,White,Married-civ-spouse,United-States
16815,26,Female,Black,Never-married,United-States
16817,66,Female,Other,Widowed,Puerto-Rico
1684,20,Male,White,Never-married,United-States
16893,54,Male,White,Married-civ-spouse,United-States
16904,48,Female,White,Separated,United-States
16937,23,Male,White,Never-married,United-States
17026,36,Male,White,Divorced,United-States
17050,56,Male,White,Married-civ-spouse,United-States
17077,54,Male,White,Married-civ-spouse,United-States
17123,46,Female,White,Divorced,United-States
17213,58,Male,White,Divorced,United-States
17495,21,Female,White,Never-married,United-States
17603,42,Male,White,Married-civ-spouse,United-States
17620,36,Male,White,Married-civ-spouse,United-States
17624,25,Male,White,Never-married,United-States
17678,46,Female,White,Divorced,United-States
17702,62,Male,White,Married-civ-spouse,United-States
17716,29,Female,White,Never-married,United-States
17781,42,Female,Amer-Indian-Eskimo,Married-spouse-absent,United-States
17935,23,Female,White,Never-married,United-States
18063,17,Male,White,Never-married,United-States
1815,22,Male,Black,Never-married,United-States
18183,48,Male,White,Married-civ-spouse,United-States
18216,54,Male,White,Married-civ-spouse,United-States
18253,22,Male,White,Never-married,United-States
18275,38,Male,White,Married-civ-spouse,United-States
18285,50,Male,White,Married-civ-spouse,United-States
18310,18,Male,White,Never-married,United-States
18353,40,Female,White,Divorced,United-States
1837,70,Male,White,Married-civ-spouse,United-States
18373,31,Male,White,Married-civ-spouse,United-States
18420,46,Female,White,Separated,United-States
18436,33,Female,White,Married-civ-spouse,United-States
18438,31,Male,Black,Never-married,?
18536,53,Male,Other,Married-civ-spouse,Puerto-Rico
18780,26,Female,Black,Never-married,United-States
18826,50,Male,White,Married-civ-spouse,United-States
18843,35,Female,White,Widowed,United-States
18900,44,Male,Other,Married-spouse-absent,Canada
18920,45,Female,White,Divorced,United-States
19004,21,Female,Black,Never-married,United-States
19083,61,Male,White,Married-civ-spouse,United-States
1912,52,Male,White,Married-civ-spouse,United-States
19139,36,Male,White,Divorced,United-States
19217,23,Female,White,Never-married,United-States
1923,21,Female,White,Never-married,United-States
19319,38,Male,White,Never-married,United-States
19339,62,Male,White,Divorced,United-States
19470,43,Female,White,Divorced,United-States
19487,29,Male,White,Married-civ-spouse,United-States
19565,28,Male,White,Divorced,United-States
1959,32,Male,White,Married-civ-spouse,United-States
196,36,Male,White,Divorced,United-States
19635,37,Male,White,Married-civ-spouse,United-States
19636,51,Male,White,Married-civ-spouse,United-States
19815,45,Male,Black,Divorced,United-States
19837,43,Female,Black,Divorced,United-States
20010,41,Male,White,Never-married,United-States
20060,25,Female,White,Never-married,United-States
20117,62,Female,White,Never-married,United-States
20178,22,Male,White,Never-married,United-States
20210,43,Male,White,Married-civ-spouse,United-States
20356,63,Male,White,Never-married,United-States
20476,24,Male,White,Never-married,United-States
20494,37,Male,Asian-Pac-Islander,Married-civ-spouse,Cambodia
20634,45,Male,White,Divorced,United-States
20640,35,Male,White,Married-civ-spouse,United-States
20687,45,Male,White,Married-civ-spouse,United-States
20765,55,Male,White,Married-civ-spouse,United-States
20826,81,Male,White,Widowed,United-States
20958,52,Female,White,Married-spouse-absent,United-States
21041,21,Female,White,Never-married,United-States
21043,29,Male,White,Never-married,United-States
21072,56,Male,Black,Never-married,United-States
21280,36,Male,White,Married-civ-spouse,United-States
21345,54,Male,White,Married-civ-spouse,United-States
21374,44,Male,White,Married-civ-spouse,United-States
21379,26,Female,White,Never-married,United-States
21402,62,Male,Black,Divorced,United-States
21512,32,Male,White,Married-civ-spouse,United-States
21516,78,Male,White,Married-civ-spouse,United-States
216,50,Female,White,Divorced,United-States
21780,25,Female,White,Never-married,United-States
21860,51,Male,White,Married-civ-spouse,United-States
21884,57,Male,Black,Married-civ-spouse,United-States
21933,67,Male,White,Divorced,United-States
2201,28,Male,White,Married-civ-spouse,United-States
22067,48,Female,Black,Never-married,United-States
22184,34,Male,White,Never-married,United-States
222,90,Male,Black,Never-married,United-States
22217,53,Male,Black,Married-civ-spouse,United-States
22255,25,Female,White,Never-married,United-States
22316,50,Male,White,Married-civ-spouse,United-States
22349,21,Male,White,Never-married,United-States
22383,19,Male,White,Never-married,United-States
22461,21,Female,White,Never-married,United-States
22479,17,Female,White,Never-married,United-States
22519,40,Female,White,Married-civ-spouse,United-States
