record_id,age,sex,race,native-country,is_member
3662,37,Male,White,United-States,0
8370,56,Male,White,United-States,0
31264,28,Male,White,United-States,0
12845,38,Male,Amer-Indian-Eskimo,United-States,0
5127,55,Female,Amer-Indian-Eskimo,United-States,1
12351,22,Female,White,United-States,0
2622,42,Male,Amer-Indian-Eskimo,United-States,0
7327,53,Male,White,?,0
17386,21,Female,Amer-Indian-Eskimo,United-States,0
29939,66,Male,White,United-States,1
9000,58,Male,White,United-States,0
3819,24,Female,White,United-States,1
20640,35,Male,White,United-States,0
1959,32,Male,White,United-States,0
5601,34,Male,White,United-States,0
16031,35,Female,Black,United-States,0
28971,58,Male,White,El-Salvador,1
725,43,Male,White,?,0
9778,67,Male,White,United-States,0
16550,28,Female,Black,United-States,1
22822,20,Male,White,United-States,0
3855,30,Female,White,United-States,1
25133,33,Female,Black,United-States,1
8030,34,Male,White,United-States,0
18437,42,Male,White,United-States,1
26330,35,Male,White,United-States,1
11668,28,Male,White,United-States,1
12965,33,Female,White,United-States,0
15288,42,Female,White,United-States,0
4449,56,Male,White,United-States,0
16151,46,Female,White,United-States,1
22782,34,Male,White,Germany,1
16697,61,Male,White,United-States,0
4978,45,Male,White,United-States,1
9714,30,Female,White,United-States,1
12283,46,Male,White,United-States,1
19717,39,Male,White,United-States,0
2958,40,Female,White,United-States,0
6824,27,Male,White,United-States,0
7445,34,Male,White,United-States,1
1732,26,Male,Black,United-States,1
20745,18,Male,White,United-States,1
21191,45,Male,White,United-States,1
7525,46,Female,White,El-Salvador,0
21963,34,Male,White,United-States,1
16124,51,Male,White,United-States,1
1291,63,Female,White,El-Salvador,0
27309,38,Female,Black,United-States,0
938,33,Male,White,United-States,1
10830,47,Female,White,United-States,0
23267,19,Female,White,United-States,0
5880,28,Male,White,United-States,0
25078,74,Female,White,United-States,1
16208,41,Male,White,United-States,0
12473,25,Male,White,United-States,1
18412,43,Male,Asian-Pac-Islander,?,1
7565,34,Male,Black,United-States,0
16297,46,Male,White,United-States,1
16631,27,Male,White,United-States,1
15755,58,Male,White,United-States,0
12099,38,Male,White,United-States,1
30978,41,Male,White,United-States,1
18741,31,Male,White,United-States,0
2504,61,Male,White,United-States,1
28169,30,Male,Black,United-States,0
27737,34,Male,White,United-States,0
20178,22,Male,White,United-States,0
15951,31,Female,White,United-States,0
